Ukazatel;Rok sčítání;Území;Období výstavby domu;value
Počet obydlených domů;2021;Liberecký kraj;1991 - 2000;6328
Počet obydlených domů;2021;Liberecký kraj;2001 - 2010;9185
Počet obydlených domů;2021;Liberecký kraj;2011 - 2015;3588
Počet obydlených domů;2021;Liberecký kraj;2016 a později;3675
Počet obydlených domů;2021;Liberecký kraj;Nezjištěno;4442
Počet obydlených domů;2021;Královéhradecký kraj;Obydlené domy celkem;116863
Počet obydlených domů;2021;Královéhradecký kraj;1919 a dříve;13826
Počet obydlených domů;2021;Královéhradecký kraj;1920 - 1945;17898
Počet obydlených domů;2021;Královéhradecký kraj;1946 - 1970;15888
Počet obydlených domů;2021;Královéhradecký kraj;1971 - 1980;16502
Počet obydlených domů;2021;Královéhradecký kraj;1981 - 1990;13572
Počet obydlených domů;2021;Královéhradecký kraj;1991 - 2000;10292
Počet obydlených domů;2021;Královéhradecký kraj;2001 - 2010;12911
Počet obydlených domů;2021;Královéhradecký kraj;2011 - 2015;4863
Počet obydlených domů;2021;Královéhradecký kraj;2016 a později;4876
Počet obydlených domů;2021;Královéhradecký kraj;Nezjištěno;6235
Počet obydlených domů;2021;Pardubický kraj;Obydlené domy celkem;113293
Počet obydlených domů;2021;Pardubický kraj;1919 a dříve;10546
Počet obydlených domů;2021;Pardubický kraj;1920 - 1945;14444
Počet obydlených domů;2021;Pardubický kraj;1946 - 1970;17241
Počet obydlených domů;2021;Pardubický kraj;1971 - 1980;18416
Počet obydlených domů;2021;Pardubický kraj;1981 - 1990;12756
Počet obydlených domů;2021;Pardubický kraj;1991 - 2000;9847
Počet obydlených domů;2021;Pardubický kraj;2001 - 2010;14015
Počet obydlených domů;2021;Pardubický kraj;2011 - 2015;5076
Počet obydlených domů;2021;Pardubický kraj;2016 a později;6247
Počet obydlených domů;2021;Pardubický kraj;Nezjištěno;4705
Počet obydlených domů;2021;Kraj Vysočina;Obydlené domy celkem;114230
Počet obydlených domů;2021;Kraj Vysočina;1919 a dříve;8919
Počet obydlených domů;2021;Kraj Vysočina;1920 - 1945;12192
Počet obydlených domů;2021;Kraj Vysočina;1946 - 1970;19203
Počet obydlených domů;2021;Kraj Vysočina;1971 - 1980;19127
Počet obydlených domů;2021;Kraj Vysočina;1981 - 1990;14893
Počet obydlených domů;2021;Kraj Vysočina;1991 - 2000;10693
Počet obydlených domů;2021;Kraj Vysočina;2001 - 2010;13767
Počet obydlených domů;2021;Kraj Vysočina;2011 - 2015;4907
Počet obydlených domů;2021;Kraj Vysočina;2016 a později;5608
Počet obydlených domů;2021;Kraj Vysočina;Nezjištěno;4921
Počet obydlených domů;2021;Jihomoravský kraj;Obydlené domy celkem;241367
Počet obydlených domů;2021;Jihomoravský kraj;1919 a dříve;18260
Počet obydlených domů;2021;Jihomoravský kraj;1920 - 1945;33327
Počet obydlených domů;2021;Jihomoravský kraj;1946 - 1970;41688
Počet obydlených domů;2021;Jihomoravský kraj;1971 - 1980;34477
Počet obydlených domů;2021;Jihomoravský kraj;1981 - 1990;27685
Počet obydlených domů;2021;Jihomoravský kraj;1991 - 2000;21937
Počet obydlených domů;2021;Jihomoravský kraj;2001 - 2010;31001
Počet obydlených domů;2021;Jihomoravský kraj;2011 - 2015;11337
Počet obydlených domů;2021;Jihomoravský kraj;2016 a později;13768
Počet obydlených domů;2021;Jihomoravský kraj;Nezjištěno;7887
Počet obydlených domů;2021;Olomoucký kraj;Obydlené domy celkem;126126
Počet obydlených domů;2021;Olomoucký kraj;1919 a dříve;13637
Počet obydlených domů;2021;Olomoucký kraj;1920 - 1945;17227
Počet obydlených domů;2021;Olomoucký kraj;1946 - 1970;20960
Počet obydlených domů;2021;Olomoucký kraj;1971 - 1980;17468
Počet obydlených domů;2021;Olomoucký kraj;1981 - 1990;13941
Počet obydlených domů;2021;Olomoucký kraj;1991 - 2000;12121
Počet obydlených domů;2021;Olomoucký kraj;2001 - 2010;14730
Počet obydlených domů;2021;Olomoucký kraj;2011 - 2015;5345
Počet obydlených domů;2021;Olomoucký kraj;2016 a později;6327
Počet obydlených domů;2021;Olomoucký kraj;Nezjištěno;4370
Počet obydlených domů;2021;Zlínský kraj;Obydlené domy celkem;125469
Počet obydlených domů;2021;Zlínský kraj;1919 a dříve;6055
Počet obydlených domů;2021;Zlínský kraj;1920 - 1945;14465
Počet obydlených domů;2021;Zlínský kraj;1946 - 1970;28298
Počet obydlených domů;2021;Zlínský kraj;1971 - 1980;19747
Počet obydlených domů;2021;Zlínský kraj;1981 - 1990;15166
Počet obydlených domů;2021;Zlínský kraj;1991 - 2000;12064
Počet obydlených domů;2021;Zlínský kraj;2001 - 2010;14695
Počet obydlených domů;2021;Zlínský kraj;2011 - 2015;5734
Počet obydlených domů;2021;Zlínský kraj;2016 a později;5774
Počet obydlených domů;2021;Zlínský kraj;Nezjištěno;3471
Počet obydlených domů;2021;Moravskoslezský kraj;Obydlené domy celkem;190881
Počet obydlených domů;2021;Moravskoslezský kraj;1919 a dříve;12922
Počet obydlených domů;2021;Moravskoslezský kraj;1920 - 1945;21437
Počet obydlených domů;2021;Moravskoslezský kraj;1946 - 1970;45513
Počet obydlených domů;2021;Moravskoslezský kraj;1971 - 1980;27108
Počet obydlených domů;2021;Moravskoslezský kraj;1981 - 1990;20954
Počet obydlených domů;2021;Moravskoslezský kraj;1991 - 2000;16369
Počet obydlených domů;2021;Moravskoslezský kraj;2001 - 2010;21747
Počet obydlených domů;2021;Moravskoslezský kraj;2011 - 2015;9364
Počet obydlených domů;2021;Moravskoslezský kraj;2016 a později;10353
Počet obydlených domů;2021;Moravskoslezský kraj;Nezjištěno;5114
