Území;Kategorie;Měsíce;Rezidence;Ukazatel;value
Česko;Hromadná ubytovací zařízení celkem;září 2024;Malta;Počet hostů;1195.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Malta;Počet přenocování;3426.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Malta;Průměrný počet přenocování ;2.8669456067
Česko;Hromadná ubytovací zařízení celkem;září 2024;Německo;Počet hostů;187453.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Německo;Počet přenocování;516741.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Německo;Průměrný počet přenocování ;2.7566429985
Česko;Hromadná ubytovací zařízení celkem;září 2024;Nizozemské království;Počet hostů;19882.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Nizozemské království;Počet přenocování;49753.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Nizozemské království;Průměrný počet přenocování ;2.502414244
Česko;Hromadná ubytovací zařízení celkem;září 2024;Norsko;Počet hostů;5234.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Norsko;Počet přenocování;13136.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Norsko;Průměrný počet přenocování ;2.5097439817
Česko;Hromadná ubytovací zařízení celkem;září 2024;Polsko;Počet hostů;63493.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Polsko;Počet přenocování;115149.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Polsko;Průměrný počet přenocování ;1.8135699998
Česko;Hromadná ubytovací zařízení celkem;září 2024;Portugalsko;Počet hostů;3720.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Portugalsko;Počet přenocování;10307.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Portugalsko;Průměrný počet přenocování ;2.7706989247
Česko;Hromadná ubytovací zařízení celkem;září 2024;Rakousko;Počet hostů;28020.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Rakousko;Počet přenocování;51891.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Rakousko;Průměrný počet přenocování ;1.8519271949
Česko;Hromadná ubytovací zařízení celkem;září 2024;Rumunsko;Počet hostů;7897.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Rumunsko;Počet přenocování;18013.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Rumunsko;Průměrný počet přenocování ;2.2809927821
