Ukazatel;Činnost;Území;Ekonomická aktivita;2Q čtvrtletí;value
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Celkem;2015;75.66883007
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Celkem;2016;76.5
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Celkem;2017;78.8
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Celkem;2018;80.7
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Celkem;2019;80.9
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Celkem;2020;81.339
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Celkem;2021;82.671
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Celkem;2022;84.54
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Celkem;2023;85.9941
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Celkem;2024;87.687760342
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Zaměstnaní;2015;91.66410118
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Zaměstnaní;2016;92.6
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Zaměstnaní;2017;95.1
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Zaměstnaní;2018;95.4
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Zaměstnaní;2019;96.4
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Zaměstnaní;2020;96.191
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Zaměstnaní;2021;97.011
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Zaměstnaní;2022;97.51
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Zaměstnaní;2023;98.2144
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Zaměstnaní;2024;98.495203547
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Nezaměstnaní;2015;73.95527654
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Nezaměstnaní;2016;68.7
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Nezaměstnaní;2017;72.3
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Nezaměstnaní;2018;80.2
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Nezaměstnaní;2019;72.4
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Nezaměstnaní;2020;80.302
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Nezaměstnaní;2021;86.309
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Nezaměstnaní;2022;88.742
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Nezaměstnaní;2023;84.79
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Nezaměstnaní;2024;89.118316951
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Student;2015;99.02274808
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Student;2016;98.6
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Student;2017;99.7
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Student;2018;99.8
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Student;2019;98.9
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Student;2020;100.0
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Student;2021;100.0
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Student;2022;100.0
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Student;2023;100.0
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Student;2024;100.0
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Důchodce;2015;32.78170576
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Důchodce;2016;35.0
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Důchodce;2017;37.0
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Důchodce;2018;40.8
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Důchodce;2019;40.8
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Důchodce;2020;42.387
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Důchodce;2021;45.59
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Důchodce;2022;49.549
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Důchodce;2023;52.82
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;Důchodce;2024;57.410994096
