Ukazatel,"ČR, kraje, okresy",Druh důchodu,Pohlaví,Roky,value
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Celkem,2016,2386432
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Celkem,2017,2395517
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Celkem,2018,2402119
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Celkem,2019,2407043
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Celkem,2020,2392704
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Celkem,2021,2369826
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Celkem,2022,2358855
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Celkem,2023,2362160
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2016,926010
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2017,937360
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2018,946004
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2019,953890
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2020,955838
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2021,948482
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2022,948007
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2023,955151
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2016,1460422
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2017,1458157
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2018,1456115
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2019,1453153
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2020,1436866
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2021,1421344
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2022,1410848
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2023,1407009
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Celkem,2016,8950
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Celkem,2017,8416
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Celkem,2018,7961
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Celkem,2019,7771
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Celkem,2020,7775
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Celkem,2021,7994
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Celkem,2022,8330
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Celkem,2023,9081
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2016,1691
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2017,1805
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2018,1975
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2019,2271
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2020,2684
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2021,3208
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2022,3754
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2023,4402
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2016,7259
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2017,6611
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2018,5986
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2019,5500
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2020,5091
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2021,4786
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2022,4576
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2023,4679
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Celkem,2016,190837
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Celkem,2017,185457
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Celkem,2018,179108
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Celkem,2019,173364
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Celkem,2020,167979
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Celkem,2021,162822
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Celkem,2022,158788
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Celkem,2023,156409
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2016,101588
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2017,98651
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2018,95121
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2019,92260
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2020,89630
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2021,86987
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2022,84968
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2023,84160
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2016,89249
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2017,86806
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2018,83987
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2019,81104
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2020,78349
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2021,75835
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2022,73820
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2023,72249
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Celkem,2016,71031
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Celkem,2017,72708
