Území;Měsíce;Ukazatel;value
Česko;březen 2025;Dovoz (meziroční růst/pokles v %);8.8485090852
Česko;březen 2025;Vývoz (meziroční růst/pokles v %);5.9979250291
Česko;únor 2025;Dovoz (meziroční růst/pokles v %);1.4602583177
Česko;únor 2025;Vývoz (meziroční růst/pokles v %);0.7964464274
Česko;leden 2025;Dovoz (meziroční růst/pokles v %);8.7868603269
Česko;leden 2025;Vývoz (meziroční růst/pokles v %);12.4175023226
Česko;prosinec 2024;Dovoz (meziroční růst/pokles v %);6.3147256873
Česko;prosinec 2024;Vývoz (meziroční růst/pokles v %);7.7263007298
Česko;listopad 2024;Dovoz (meziroční růst/pokles v %);5.3403807233
Česko;listopad 2024;Vývoz (meziroční růst/pokles v %);3.6016841953
Česko;říjen 2024;Dovoz (meziroční růst/pokles v %);3.8670185181
Česko;říjen 2024;Vývoz (meziroční růst/pokles v %);3.2642585616
Česko;září 2024;Dovoz (meziroční růst/pokles v %);5.5198389454
Česko;září 2024;Vývoz (meziroční růst/pokles v %);8.3322246289
Česko;srpen 2024;Dovoz (meziroční růst/pokles v %);4.9018547344
Česko;srpen 2024;Vývoz (meziroční růst/pokles v %);10.5236613747
Česko;červenec 2024;Dovoz (meziroční růst/pokles v %);12.541704992
Česko;červenec 2024;Vývoz (meziroční růst/pokles v %);12.7410499216
Česko;červen 2024;Dovoz (meziroční růst/pokles v %);-7.2035065276
Česko;červen 2024;Vývoz (meziroční růst/pokles v %);-3.7702213853
Česko;květen 2024;Dovoz (meziroční růst/pokles v %);-0.8807415095
Česko;květen 2024;Vývoz (meziroční růst/pokles v %);-0.4025921092
Česko;duben 2024;Dovoz (meziroční růst/pokles v %);13.2236612961
Česko;duben 2024;Vývoz (meziroční růst/pokles v %);19.0372842238
Česko;březen 2024;Dovoz (meziroční růst/pokles v %);-9.7731562315
Česko;březen 2024;Vývoz (meziroční růst/pokles v %);-3.8845605269
Česko;únor 2024;Dovoz (meziroční růst/pokles v %);4.0127059248
Česko;únor 2024;Vývoz (meziroční růst/pokles v %);9.4467020577
Česko;leden 2024;Dovoz (meziroční růst/pokles v %);-5.4155811799
Česko;leden 2024;Vývoz (meziroční růst/pokles v %);-5.6169817466
Česko;prosinec 2023;Dovoz (meziroční růst/pokles v %);-11.0785871756
Česko;prosinec 2023;Vývoz (meziroční růst/pokles v %);-9.0979026725
Česko;listopad 2023;Dovoz (meziroční růst/pokles v %);-14.0343592707
Česko;listopad 2023;Vývoz (meziroční růst/pokles v %);-1.8507828087
Česko;říjen 2023;Dovoz (meziroční růst/pokles v %);-3.4718238622
Česko;říjen 2023;Vývoz (meziroční růst/pokles v %);6.5886904145
Česko;září 2023;Dovoz (meziroční růst/pokles v %);-14.4538563616
Česko;září 2023;Vývoz (meziroční růst/pokles v %);-8.9917895147
Česko;srpen 2023;Dovoz (meziroční růst/pokles v %);-11.6908015102
Česko;srpen 2023;Vývoz (meziroční růst/pokles v %);-6.2321633953
Česko;červenec 2023;Dovoz (meziroční růst/pokles v %);-8.7873222356
Česko;červenec 2023;Vývoz (meziroční růst/pokles v %);-4.4811598059
Česko;červen 2023;Dovoz (meziroční růst/pokles v %);-5.974668017
Česko;červen 2023;Vývoz (meziroční růst/pokles v %);2.3882055689
Česko;květen 2023;Dovoz (meziroční růst/pokles v %);-10.8238858765
Česko;květen 2023;Vývoz (meziroční růst/pokles v %);-1.9472885273
Česko;duben 2023;Dovoz (meziroční růst/pokles v %);-7.992622221
Česko;duben 2023;Vývoz (meziroční růst/pokles v %);2.4794626001
Česko;březen 2023;Dovoz (meziroční růst/pokles v %);1.4817333838
Česko;březen 2023;Vývoz (meziroční růst/pokles v %);9.3262695239
Česko;únor 2023;Dovoz (meziroční růst/pokles v %);3.7856908247
Česko;únor 2023;Vývoz (meziroční růst/pokles v %);10.9280377883
Česko;leden 2023;Dovoz (meziroční růst/pokles v %);12.1566515241
Česko;leden 2023;Vývoz (meziroční růst/pokles v %);12.0376650715
Česko;prosinec 2022;Dovoz (meziroční růst/pokles v %);
Česko;prosinec 2022;Vývoz (meziroční růst/pokles v %);
Česko;listopad 2022;Dovoz (meziroční růst/pokles v %);
Česko;listopad 2022;Vývoz (meziroční růst/pokles v %);
Česko;říjen 2022;Dovoz (meziroční růst/pokles v %);
Česko;říjen 2022;Vývoz (meziroční růst/pokles v %);
Česko;září 2022;Dovoz (meziroční růst/pokles v %);
Česko;září 2022;Vývoz (meziroční růst/pokles v %);
Česko;srpen 2022;Dovoz (meziroční růst/pokles v %);
Česko;srpen 2022;Vývoz (meziroční růst/pokles v %);
Česko;červenec 2022;Dovoz (meziroční růst/pokles v %);
Česko;červenec 2022;Vývoz (meziroční růst/pokles v %);
Česko;červen 2022;Dovoz (meziroční růst/pokles v %);
Česko;červen 2022;Vývoz (meziroční růst/pokles v %);
Česko;květen 2022;Dovoz (meziroční růst/pokles v %);
Česko;květen 2022;Vývoz (meziroční růst/pokles v %);
Česko;duben 2022;Dovoz (meziroční růst/pokles v %);
Česko;duben 2022;Vývoz (meziroční růst/pokles v %);
