Rok sčítání;Území;Ukazatel;value
2021;Česká republika;Průměrná celková plocha na 1 byt v m²;87.643655909
2021;Hlavní město Praha;Průměrná celková plocha na 1 byt v m²;71.360181779
2021;Středočeský kraj;Průměrná celková plocha na 1 byt v m²;99.266067901
2021;Jihočeský kraj;Průměrná celková plocha na 1 byt v m²;91.389295164
2021;Plzeňský kraj;Průměrná celková plocha na 1 byt v m²;88.075829384
2021;Karlovarský kraj;Průměrná celková plocha na 1 byt v m²;80.134044208
2021;Ústecký kraj;Průměrná celková plocha na 1 byt v m²;80.819587778
2021;Liberecký kraj;Průměrná celková plocha na 1 byt v m²;85.33298651
2021;Královéhradecký kraj;Průměrná celková plocha na 1 byt v m²;89.601771811
2021;Pardubický kraj;Průměrná celková plocha na 1 byt v m²;92.828135982
2021;Kraj Vysočina;Průměrná celková plocha na 1 byt v m²;97.918431329
2021;Jihomoravský kraj;Průměrná celková plocha na 1 byt v m²;92.168892387
2021;Olomoucký kraj;Průměrná celková plocha na 1 byt v m²;89.884327352
2021;Zlínský kraj;Průměrná celková plocha na 1 byt v m²;95.04760777
2021;Moravskoslezský kraj;Průměrná celková plocha na 1 byt v m²;83.861364024
