Ukazatel;Území;Pohlaví;Roky;Věk (roky);Rodinný stav;value
Zemřelí;Česko;Celkem;2023;Celkem;Celkem;112795
Zemřelí;Česko;Celkem;2023;Celkem;Svobodný/svobodná;9999
Zemřelí;Česko;Celkem;2023;Celkem;Ženatý/vdaná;40950
Zemřelí;Česko;Celkem;2023;Celkem;Rozvedený/rozvedená;18439
Zemřelí;Česko;Celkem;2023;Celkem;Vdovec/vdova;43392
Zemřelí;Česko;Celkem;2023;Celkem;Registrované partnerství trvající;15
Zemřelí;Česko;Celkem;2023;Celkem;Registrované partnerství zaniklé rozhodnutím soudu;0
Zemřelí;Česko;Celkem;2023;Celkem;Registrované partnerství zaniklé úmrtím partnera/partnerky;0
Zemřelí;Česko;Celkem;2023;0;Celkem;200
Zemřelí;Česko;Celkem;2023;0;Svobodný/svobodná;200
Zemřelí;Česko;Celkem;2023;0;Ženatý/vdaná;0
Zemřelí;Česko;Celkem;2023;0;Rozvedený/rozvedená;0
Zemřelí;Česko;Celkem;2023;0;Vdovec/vdova;0
Zemřelí;Česko;Celkem;2023;0;Registrované partnerství trvající;0
Zemřelí;Česko;Celkem;2023;0;Registrované partnerství zaniklé rozhodnutím soudu;0
Zemřelí;Česko;Celkem;2023;0;Registrované partnerství zaniklé úmrtím partnera/partnerky;0
Zemřelí;Česko;Celkem;2023;1;Celkem;23
Zemřelí;Česko;Celkem;2023;1;Svobodný/svobodná;23
Zemřelí;Česko;Celkem;2023;1;Ženatý/vdaná;0
Zemřelí;Česko;Celkem;2023;1;Rozvedený/rozvedená;0
Zemřelí;Česko;Celkem;2023;1;Vdovec/vdova;0
Zemřelí;Česko;Celkem;2023;1;Registrované partnerství trvající;0
Zemřelí;Česko;Celkem;2023;1;Registrované partnerství zaniklé rozhodnutím soudu;0
Zemřelí;Česko;Celkem;2023;1;Registrované partnerství zaniklé úmrtím partnera/partnerky;0
Zemřelí;Česko;Celkem;2023;2;Celkem;13
Zemřelí;Česko;Celkem;2023;2;Svobodný/svobodná;13
Zemřelí;Česko;Celkem;2023;2;Ženatý/vdaná;0
Zemřelí;Česko;Celkem;2023;2;Rozvedený/rozvedená;0
Zemřelí;Česko;Celkem;2023;2;Vdovec/vdova;0
Zemřelí;Česko;Celkem;2023;2;Registrované partnerství trvající;0
Zemřelí;Česko;Celkem;2023;2;Registrované partnerství zaniklé rozhodnutím soudu;0
Zemřelí;Česko;Celkem;2023;2;Registrované partnerství zaniklé úmrtím partnera/partnerky;0
Zemřelí;Česko;Celkem;2023;3;Celkem;14
Zemřelí;Česko;Celkem;2023;3;Svobodný/svobodná;14
Zemřelí;Česko;Celkem;2023;3;Ženatý/vdaná;0
Zemřelí;Česko;Celkem;2023;3;Rozvedený/rozvedená;0
Zemřelí;Česko;Celkem;2023;3;Vdovec/vdova;0
Zemřelí;Česko;Celkem;2023;3;Registrované partnerství trvající;0
Zemřelí;Česko;Celkem;2023;3;Registrované partnerství zaniklé rozhodnutím soudu;0
Zemřelí;Česko;Celkem;2023;3;Registrované partnerství zaniklé úmrtím partnera/partnerky;0
Zemřelí;Česko;Celkem;2023;4;Celkem;12
Zemřelí;Česko;Celkem;2023;4;Svobodný/svobodná;12
Zemřelí;Česko;Celkem;2023;4;Ženatý/vdaná;0
Zemřelí;Česko;Celkem;2023;4;Rozvedený/rozvedená;0
Zemřelí;Česko;Celkem;2023;4;Vdovec/vdova;0
Zemřelí;Česko;Celkem;2023;4;Registrované partnerství trvající;0
Zemřelí;Česko;Celkem;2023;4;Registrované partnerství zaniklé rozhodnutím soudu;0
Zemřelí;Česko;Celkem;2023;4;Registrované partnerství zaniklé úmrtím partnera/partnerky;0
Zemřelí;Česko;Celkem;2023;5;Celkem;12
Zemřelí;Česko;Celkem;2023;5;Svobodný/svobodná;12
Zemřelí;Česko;Celkem;2023;5;Ženatý/vdaná;0
Zemřelí;Česko;Celkem;2023;5;Rozvedený/rozvedená;0
Zemřelí;Česko;Celkem;2023;5;Vdovec/vdova;0
Zemřelí;Česko;Celkem;2023;5;Registrované partnerství trvající;0
Zemřelí;Česko;Celkem;2023;5;Registrované partnerství zaniklé rozhodnutím soudu;0
Zemřelí;Česko;Celkem;2023;5;Registrované partnerství zaniklé úmrtím partnera/partnerky;0
Zemřelí;Česko;Celkem;2023;6;Celkem;12
Zemřelí;Česko;Celkem;2023;6;Svobodný/svobodná;12
Zemřelí;Česko;Celkem;2023;6;Ženatý/vdaná;0
Zemřelí;Česko;Celkem;2023;6;Rozvedený/rozvedená;0
Zemřelí;Česko;Celkem;2023;6;Vdovec/vdova;0
Zemřelí;Česko;Celkem;2023;6;Registrované partnerství trvající;0
Zemřelí;Česko;Celkem;2023;6;Registrované partnerství zaniklé rozhodnutím soudu;0
Zemřelí;Česko;Celkem;2023;6;Registrované partnerství zaniklé úmrtím partnera/partnerky;0
Zemřelí;Česko;Celkem;2023;7;Celkem;8
Zemřelí;Česko;Celkem;2023;7;Svobodný/svobodná;8
Zemřelí;Česko;Celkem;2023;7;Ženatý/vdaná;0
Zemřelí;Česko;Celkem;2023;7;Rozvedený/rozvedená;0
Zemřelí;Česko;Celkem;2023;7;Vdovec/vdova;0
Zemřelí;Česko;Celkem;2023;7;Registrované partnerství trvající;0
Zemřelí;Česko;Celkem;2023;7;Registrované partnerství zaniklé rozhodnutím soudu;0
Zemřelí;Česko;Celkem;2023;7;Registrované partnerství zaniklé úmrtím partnera/partnerky;0
Zemřelí;Česko;Celkem;2023;8;Celkem;7
Zemřelí;Česko;Celkem;2023;8;Svobodný/svobodná;7
Zemřelí;Česko;Celkem;2023;8;Ženatý/vdaná;0
Zemřelí;Česko;Celkem;2023;8;Rozvedený/rozvedená;0
Zemřelí;Česko;Celkem;2023;8;Vdovec/vdova;0
Zemřelí;Česko;Celkem;2023;8;Registrované partnerství trvající;0
Zemřelí;Česko;Celkem;2023;8;Registrované partnerství zaniklé rozhodnutím soudu;0
Zemřelí;Česko;Celkem;2023;8;Registrované partnerství zaniklé úmrtím partnera/partnerky;0
Zemřelí;Česko;Celkem;2023;9;Celkem;6
Zemřelí;Česko;Celkem;2023;9;Svobodný/svobodná;6
Zemřelí;Česko;Celkem;2023;9;Ženatý/vdaná;0
Zemřelí;Česko;Celkem;2023;9;Rozvedený/rozvedená;0
Zemřelí;Česko;Celkem;2023;9;Vdovec/vdova;0
Zemřelí;Česko;Celkem;2023;9;Registrované partnerství trvající;0
Zemřelí;Česko;Celkem;2023;9;Registrované partnerství zaniklé rozhodnutím soudu;0
Zemřelí;Česko;Celkem;2023;9;Registrované partnerství zaniklé úmrtím partnera/partnerky;0
Zemřelí;Česko;Celkem;2023;10;Celkem;12
Zemřelí;Česko;Celkem;2023;10;Svobodný/svobodná;12
Zemřelí;Česko;Celkem;2023;10;Ženatý/vdaná;0
