Území;Ukazatel;Typ indexu;Typ zakázek;Očištění;Vybraná odvětví průmyslu;Roky;value
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2015;117.6278773327
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2014;97.9306823457
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2013;96.8082212616
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2012;96.5455494332
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2011;99.5640263849
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2010;93.895431739
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2009;93.6361545
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2008;85.580610787
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2007;95.3058358007
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2006;93.9204439865
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2005;81.9776982618
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2004;92.4483280434
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2003;93.7012497097
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2002;97.7908870866
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2001;156.7977715579
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2024;106.9502393252
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2023;91.5553837295
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2022;117.5089518032
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2021;117.2063848454
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2020;100.8927302275
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2019;102.5219104215
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2018;109.2720785077
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2017;104.0339093259
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2016;101.143287139
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2015;110.0091911284
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2014;110.1389175414
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2013;102.9220704767
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2012;100.9300069861
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2011;100.3844762826
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2010;112.7981833515
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2009;89.2148790119
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2008;89.733120927
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2007;111.759914615
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2006;99.4778809012
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2005;99.5978093607
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2004;114.9852010241
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2003;85.5838826351
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2002;107.709351809
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2001;165.9181329834
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;17 Výroba papíru a výrobků z papíru;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2024;101.3908172449
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2023;81.6931278676
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2022;120.8581656352
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2021;133.2308723622
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2020;90.7463652733
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2019;95.5955255847
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2018;101.6101377567
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2017;121.6903945724
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2016;86.7174505561
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2015;88.3148551726
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2014;111.2886184314
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2013;97.3832652207
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2012;113.5987800327
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2011;102.2066021704
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2010;116.3684269907
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2009;83.3358555643
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2008;106.1462826822
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2007;102.3065619692
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2006;116.2697524663
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2005;102.3375179173
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2004;114.3293610715
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2003;92.4685853756
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2002;91.3703823797
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2001;136.9794781556
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;20 Výroba chemických látek a chemických přípravků;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2024;106.2290930961
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2023;107.5111368731
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2022;111.0503118583
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2021;99.3322582653
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2020;104.495793215
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2019;112.4747908459
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2018;107.7893519781
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2017;108.7741741186
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2016;97.429969337
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2015;107.688586157
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2014;100.6555106542
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2013;102.5641294668
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2012;99.3469616876
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2011;96.9924430255
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2010;112.5179218328
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2009;91.9641069048
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2008;103.6831132905
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2007;120.5616491119
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2006;102.0385848437
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2005;113.9885137109
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2004;113.9141491401
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2003;88.6968472779
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2002;102.6528225326
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2001;150.3154270693
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2024;89.7606211079
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2023;78.8159210628
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2022;109.6081546175
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2021;145.4499810367
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2020;89.9232317133
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2019;92.2388057784
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2018;106.5516112344
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2017;111.6255299547
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2016;95.4679778738
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2015;92.8369756633
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2014;105.0135236311
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2013;98.3582332508
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2012;88.1720529654
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2011;113.8805723349
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2010;135.8922520983
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2009;59.0340268399
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2008;106.1607012243
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2007;94.7767491547
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2006;109.6506377253
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2005;94.0665872043
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2004;138.0230320012
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2003;117.6809247209
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2002;94.2489307254
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2001;98.0461868243
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2024;100.8645979275
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2023;94.2198584012
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2022;116.5066863967
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2021;120.7608594903
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2020;93.7035516182
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2019;100.966803858
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2018;107.6117364569
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2017;107.6979437756
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2016;102.2699550174
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2015;107.6552080179
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2014;108.3180712918
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2013;104.3086095693
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2012;101.1415975515
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2011;106.1501208111
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2010;113.1025068922
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2009;72.8465792021
