Ukazatel;Pohlaví;Rok;ČR, kraje;Věkové skupiny;value
Počet obyvatel k 31. 12.;Celkem;2024;Česko;Celkem;10909500
Počet obyvatel k 31. 12.;Celkem;2024;Česko;0 - 14 let;1690783
Počet obyvatel k 31. 12.;Celkem;2024;Česko;15 - 64 let;6962830
Počet obyvatel k 31. 12.;Celkem;2024;Česko;65 a více let;2255887
Počet obyvatel k 31. 12.;Celkem;2024;Hlavní město Praha;Celkem;1397880
Počet obyvatel k 31. 12.;Celkem;2024;Hlavní město Praha;0 - 14 let;215285
Počet obyvatel k 31. 12.;Celkem;2024;Hlavní město Praha;15 - 64 let;925154
Počet obyvatel k 31. 12.;Celkem;2024;Hlavní město Praha;65 a více let;257441
Počet obyvatel k 31. 12.;Celkem;2024;Středočeský kraj;Celkem;1466215
Počet obyvatel k 31. 12.;Celkem;2024;Středočeský kraj;0 - 14 let;251729
Počet obyvatel k 31. 12.;Celkem;2024;Středočeský kraj;15 - 64 let;939165
Počet obyvatel k 31. 12.;Celkem;2024;Středočeský kraj;65 a více let;275321
Počet obyvatel k 31. 12.;Celkem;2024;Jihočeský kraj;Celkem;653227
Počet obyvatel k 31. 12.;Celkem;2024;Jihočeský kraj;0 - 14 let;100376
Počet obyvatel k 31. 12.;Celkem;2024;Jihočeský kraj;15 - 64 let;410412
Počet obyvatel k 31. 12.;Celkem;2024;Jihočeský kraj;65 a více let;142439
Počet obyvatel k 31. 12.;Celkem;2024;Plzeňský kraj;Celkem;614640
Počet obyvatel k 31. 12.;Celkem;2024;Plzeňský kraj;0 - 14 let;91983
Počet obyvatel k 31. 12.;Celkem;2024;Plzeňský kraj;15 - 64 let;395427
Počet obyvatel k 31. 12.;Celkem;2024;Plzeňský kraj;65 a více let;127230
Počet obyvatel k 31. 12.;Celkem;2024;Karlovarský kraj;Celkem;293195
Počet obyvatel k 31. 12.;Celkem;2024;Karlovarský kraj;0 - 14 let;41623
Počet obyvatel k 31. 12.;Celkem;2024;Karlovarský kraj;15 - 64 let;188324
Počet obyvatel k 31. 12.;Celkem;2024;Karlovarský kraj;65 a více let;63248
Počet obyvatel k 31. 12.;Celkem;2024;Ústecký kraj;Celkem;808356
Počet obyvatel k 31. 12.;Celkem;2024;Ústecký kraj;0 - 14 let;122271
Počet obyvatel k 31. 12.;Celkem;2024;Ústecký kraj;15 - 64 let;518221
Počet obyvatel k 31. 12.;Celkem;2024;Ústecký kraj;65 a více let;167864
Počet obyvatel k 31. 12.;Celkem;2024;Liberecký kraj;Celkem;449494
Počet obyvatel k 31. 12.;Celkem;2024;Liberecký kraj;0 - 14 let;69377
Počet obyvatel k 31. 12.;Celkem;2024;Liberecký kraj;15 - 64 let;285665
Počet obyvatel k 31. 12.;Celkem;2024;Liberecký kraj;65 a více let;94452
Počet obyvatel k 31. 12.;Celkem;2024;Královéhradecký kraj;Celkem;555923
Počet obyvatel k 31. 12.;Celkem;2024;Královéhradecký kraj;0 - 14 let;83689
Počet obyvatel k 31. 12.;Celkem;2024;Královéhradecký kraj;15 - 64 let;346214
Počet obyvatel k 31. 12.;Celkem;2024;Královéhradecký kraj;65 a více let;126020
Počet obyvatel k 31. 12.;Celkem;2024;Pardubický kraj;Celkem;530469
Počet obyvatel k 31. 12.;Celkem;2024;Pardubický kraj;0 - 14 let;83033
Počet obyvatel k 31. 12.;Celkem;2024;Pardubický kraj;15 - 64 let;335020
Počet obyvatel k 31. 12.;Celkem;2024;Pardubický kraj;65 a více let;112416
Počet obyvatel k 31. 12.;Celkem;2024;Kraj Vysočina;Celkem;517647
Počet obyvatel k 31. 12.;Celkem;2024;Kraj Vysočina;0 - 14 let;79965
Počet obyvatel k 31. 12.;Celkem;2024;Kraj Vysočina;15 - 64 let;325396
Počet obyvatel k 31. 12.;Celkem;2024;Kraj Vysočina;65 a více let;112286
Počet obyvatel k 31. 12.;Celkem;2024;Jihomoravský kraj;Celkem;1229343
Počet obyvatel k 31. 12.;Celkem;2024;Jihomoravský kraj;0 - 14 let;195085
Počet obyvatel k 31. 12.;Celkem;2024;Jihomoravský kraj;15 - 64 let;780610
Počet obyvatel k 31. 12.;Celkem;2024;Jihomoravský kraj;65 a více let;253648
Počet obyvatel k 31. 12.;Celkem;2024;Olomoucký kraj;Celkem;631500
Počet obyvatel k 31. 12.;Celkem;2024;Olomoucký kraj;0 - 14 let;95930
Počet obyvatel k 31. 12.;Celkem;2024;Olomoucký kraj;15 - 64 let;396466
Počet obyvatel k 31. 12.;Celkem;2024;Olomoucký kraj;65 a více let;139104
Počet obyvatel k 31. 12.;Celkem;2024;Zlínský kraj;Celkem;578998
Počet obyvatel k 31. 12.;Celkem;2024;Zlínský kraj;0 - 14 let;86154
Počet obyvatel k 31. 12.;Celkem;2024;Zlínský kraj;15 - 64 let;363508
Počet obyvatel k 31. 12.;Celkem;2024;Zlínský kraj;65 a více let;129336
Počet obyvatel k 31. 12.;Celkem;2024;Moravskoslezský kraj;Celkem;1182613
Počet obyvatel k 31. 12.;Celkem;2024;Moravskoslezský kraj;0 - 14 let;174283
Počet obyvatel k 31. 12.;Celkem;2024;Moravskoslezský kraj;15 - 64 let;753248
Počet obyvatel k 31. 12.;Celkem;2024;Moravskoslezský kraj;65 a více let;255082
