Území,Čtvrtletí,Druh cesty ,Věk,Ukazatel,Cíl cesty,value
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,25 až 35 let,Náklady (mil. Kč),Domácí,1012.445223
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,25 až 35 let,Náklady (mil. Kč),Zahraniční,
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,35 až 45 let,Počet cest (v tis.),Domácí,886.99769421
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,35 až 45 let,Počet cest (v tis.),Zahraniční,
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,35 až 45 let,Počet přenocování (v tis.),Domácí,1803.8685998
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,35 až 45 let,Počet přenocování (v tis.),Zahraniční,
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,35 až 45 let,Náklady (mil. Kč),Domácí,1561.6175892
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,35 až 45 let,Náklady (mil. Kč),Zahraniční,
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,45 až 55 let,Počet cest (v tis.),Domácí,820.75661177
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,45 až 55 let,Počet cest (v tis.),Zahraniční,
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,45 až 55 let,Počet přenocování (v tis.),Domácí,1688.8188725
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,45 až 55 let,Počet přenocování (v tis.),Zahraniční,
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,45 až 55 let,Náklady (mil. Kč),Domácí,1923.632447
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,45 až 55 let,Náklady (mil. Kč),Zahraniční,
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,55 až 65 let,Počet cest (v tis.),Domácí,520.25652543
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,55 až 65 let,Počet cest (v tis.),Zahraniční,
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,55 až 65 let,Počet přenocování (v tis.),Domácí,1085.9605123
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,55 až 65 let,Počet přenocování (v tis.),Zahraniční,
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,55 až 65 let,Náklady (mil. Kč),Domácí,1177.2348607
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,55 až 65 let,Náklady (mil. Kč),Zahraniční,
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,65 a více let ,Počet cest (v tis.),Domácí,507.25664087
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,65 a více let ,Počet cest (v tis.),Zahraniční,
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,65 a více let ,Počet přenocování (v tis.),Domácí,1060.3273089
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,65 a více let ,Počet přenocování (v tis.),Zahraniční,
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,65 a více let ,Náklady (mil. Kč),Domácí,1043.3394985
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,65 a více let ,Náklady (mil. Kč),Zahraniční,
