Ukazatel,Kraje,Roky,value
Medián měsíčních mezd (Kč),Hlavní město Praha,2024,49775
Medián měsíčních mezd (Kč),Hlavní město Praha,2023,46429
Medián měsíčních mezd (Kč),Hlavní město Praha,2022,43950
Medián měsíčních mezd (Kč),Hlavní město Praha,2021,41096
Medián měsíčních mezd (Kč),Hlavní město Praha,2020,38732
Medián měsíčních mezd (Kč),Hlavní město Praha,2019,37719
Medián měsíčních mezd (Kč),Hlavní město Praha,2018,34338
Medián měsíčních mezd (Kč),Hlavní město Praha,2017,31878
Medián měsíčních mezd (Kč),Hlavní město Praha,2016,29906
Medián měsíčních mezd (Kč),Hlavní město Praha,2015,28677
Medián měsíčních mezd (Kč),Středočeský kraj,2024,42100
Medián měsíčních mezd (Kč),Středočeský kraj,2023,40426
Medián měsíčních mezd (Kč),Středočeský kraj,2022,38431
Medián měsíčních mezd (Kč),Středočeský kraj,2021,35983
Medián měsíčních mezd (Kč),Středočeský kraj,2020,34518
Medián měsíčních mezd (Kč),Středočeský kraj,2019,32692
Medián měsíčních mezd (Kč),Středočeský kraj,2018,30048
Medián měsíčních mezd (Kč),Středočeský kraj,2017,27709
Medián měsíčních mezd (Kč),Středočeský kraj,2016,25490
Medián měsíčních mezd (Kč),Středočeský kraj,2015,24582
Medián měsíčních mezd (Kč),Jihočeský kraj,2024,38853
Medián měsíčních mezd (Kč),Jihočeský kraj,2023,37542
Medián měsíčních mezd (Kč),Jihočeský kraj,2022,35267
Medián měsíčních mezd (Kč),Jihočeský kraj,2021,33347
Medián měsíčních mezd (Kč),Jihočeský kraj,2020,31508
Medián měsíčních mezd (Kč),Jihočeský kraj,2019,29534
Medián měsíčních mezd (Kč),Jihočeský kraj,2018,27909
Medián měsíčních mezd (Kč),Jihočeský kraj,2017,25457
Medián měsíčních mezd (Kč),Jihočeský kraj,2016,24018
Medián měsíčních mezd (Kč),Jihočeský kraj,2015,22697
Medián měsíčních mezd (Kč),Plzeňský kraj,2024,42249
Medián měsíčních mezd (Kč),Plzeňský kraj,2023,40100
Medián měsíčních mezd (Kč),Plzeňský kraj,2022,37500
Medián měsíčních mezd (Kč),Plzeňský kraj,2021,35593
Medián měsíčních mezd (Kč),Plzeňský kraj,2020,33961
Medián měsíčních mezd (Kč),Plzeňský kraj,2019,31966
Medián měsíčních mezd (Kč),Plzeňský kraj,2018,30055
Medián měsíčních mezd (Kč),Plzeňský kraj,2017,27879
Medián měsíčních mezd (Kč),Plzeňský kraj,2016,25388
Medián měsíčních mezd (Kč),Plzeňský kraj,2015,24135
Medián měsíčních mezd (Kč),Karlovarský kraj,2024,37217
Medián měsíčních mezd (Kč),Karlovarský kraj,2023,35622
Medián měsíčních mezd (Kč),Karlovarský kraj,2022,33679
Medián měsíčních mezd (Kč),Karlovarský kraj,2021,31961
Medián měsíčních mezd (Kč),Karlovarský kraj,2020,30314
Medián měsíčních mezd (Kč),Karlovarský kraj,2019,28675
Medián měsíčních mezd (Kč),Karlovarský kraj,2018,26774
Medián měsíčních mezd (Kč),Karlovarský kraj,2017,24832
Medián měsíčních mezd (Kč),Karlovarský kraj,2016,22735
Medián měsíčních mezd (Kč),Karlovarský kraj,2015,21747
Medián měsíčních mezd (Kč),Ústecký kraj,2024,40303
Medián měsíčních mezd (Kč),Ústecký kraj,2023,37801
Medián měsíčních mezd (Kč),Ústecký kraj,2022,36133
Medián měsíčních mezd (Kč),Ústecký kraj,2021,34044
Medián měsíčních mezd (Kč),Ústecký kraj,2020,32404
Medián měsíčních mezd (Kč),Ústecký kraj,2019,30341
Medián měsíčních mezd (Kč),Ústecký kraj,2018,27901
Medián měsíčních mezd (Kč),Ústecký kraj,2017,25639
Medián měsíčních mezd (Kč),Ústecký kraj,2016,24004
Medián měsíčních mezd (Kč),Ústecký kraj,2015,22644
Medián měsíčních mezd (Kč),Liberecký kraj,2024,40156
Medián měsíčních mezd (Kč),Liberecký kraj,2023,38096
Medián měsíčních mezd (Kč),Liberecký kraj,2022,35643
Medián měsíčních mezd (Kč),Liberecký kraj,2021,33894
Medián měsíčních mezd (Kč),Liberecký kraj,2020,32590
Medián měsíčních mezd (Kč),Liberecký kraj,2019,30889
Medián měsíčních mezd (Kč),Liberecký kraj,2018,28882
Medián měsíčních mezd (Kč),Liberecký kraj,2017,26752
Medián měsíčních mezd (Kč),Liberecký kraj,2016,24764
Medián měsíčních mezd (Kč),Liberecký kraj,2015,23946
Medián měsíčních mezd (Kč),Královéhradecký kraj,2024,40518
Medián měsíčních mezd (Kč),Královéhradecký kraj,2023,38584
Medián měsíčních mezd (Kč),Královéhradecký kraj,2022,36734
Medián měsíčních mezd (Kč),Královéhradecký kraj,2021,34772
Medián měsíčních mezd (Kč),Královéhradecký kraj,2020,32880
Medián měsíčních mezd (Kč),Královéhradecký kraj,2019,30865
Medián měsíčních mezd (Kč),Královéhradecký kraj,2018,28348
Medián měsíčních mezd (Kč),Královéhradecký kraj,2017,25865
Medián měsíčních mezd (Kč),Královéhradecký kraj,2016,23914
Medián měsíčních mezd (Kč),Královéhradecký kraj,2015,22521
Medián měsíčních mezd (Kč),Pardubický kraj,2024,39524
Medián měsíčních mezd (Kč),Pardubický kraj,2023,37328
Medián měsíčních mezd (Kč),Pardubický kraj,2022,35357
Medián měsíčních mezd (Kč),Pardubický kraj,2021,33315
Medián měsíčních mezd (Kč),Pardubický kraj,2020,31734
Medián měsíčních mezd (Kč),Pardubický kraj,2019,29819
Medián měsíčních mezd (Kč),Pardubický kraj,2018,27851
Medián měsíčních mezd (Kč),Pardubický kraj,2017,25507
Medián měsíčních mezd (Kč),Pardubický kraj,2016,23543
Medián měsíčních mezd (Kč),Pardubický kraj,2015,22283
Medián měsíčních mezd (Kč),Kraj Vysočina,2024,39986
Medián měsíčních mezd (Kč),Kraj Vysočina,2023,37903
Medián měsíčních mezd (Kč),Kraj Vysočina,2022,36078
Medián měsíčních mezd (Kč),Kraj Vysočina,2021,34179
Medián měsíčních mezd (Kč),Kraj Vysočina,2020,32354
Medián měsíčních mezd (Kč),Kraj Vysočina,2019,30231
Medián měsíčních mezd (Kč),Kraj Vysočina,2018,28211
Medián měsíčních mezd (Kč),Kraj Vysočina,2017,25783
Medián měsíčních mezd (Kč),Kraj Vysočina,2016,23953
Medián měsíčních mezd (Kč),Kraj Vysočina,2015,22600
Medián měsíčních mezd (Kč),Jihomoravský kraj,2024,41650
Medián měsíčních mezd (Kč),Jihomoravský kraj,2023,39594
Medián měsíčních mezd (Kč),Jihomoravský kraj,2022,37733
Medián měsíčních mezd (Kč),Jihomoravský kraj,2021,35118
Medián měsíčních mezd (Kč),Jihomoravský kraj,2020,32837
Medián měsíčních mezd (Kč),Jihomoravský kraj,2019,30967
Medián měsíčních mezd (Kč),Jihomoravský kraj,2018,28728
Medián měsíčních mezd (Kč),Jihomoravský kraj,2017,26559
Medián měsíčních mezd (Kč),Jihomoravský kraj,2016,24675
Medián měsíčních mezd (Kč),Jihomoravský kraj,2015,23328
Medián měsíčních mezd (Kč),Olomoucký kraj,2024,39313
Medián měsíčních mezd (Kč),Olomoucký kraj,2023,37143
Medián měsíčních mezd (Kč),Olomoucký kraj,2022,35107
Medián měsíčních mezd (Kč),Olomoucký kraj,2021,33135
Medián měsíčních mezd (Kč),Olomoucký kraj,2020,31571
Medián měsíčních mezd (Kč),Olomoucký kraj,2019,29491
Medián měsíčních mezd (Kč),Olomoucký kraj,2018,27253
Medián měsíčních mezd (Kč),Olomoucký kraj,2017,24956
Medián měsíčních mezd (Kč),Olomoucký kraj,2016,23205
Medián měsíčních mezd (Kč),Olomoucký kraj,2015,21918
Medián měsíčních mezd (Kč),Zlínský kraj,2024,39434
Medián měsíčních mezd (Kč),Zlínský kraj,2023,37265
Medián měsíčních mezd (Kč),Zlínský kraj,2022,34968
Medián měsíčních mezd (Kč),Zlínský kraj,2021,32913
Medián měsíčních mezd (Kč),Zlínský kraj,2020,30999
Medián měsíčních mezd (Kč),Zlínský kraj,2019,29170
Medián měsíčních mezd (Kč),Zlínský kraj,2018,27398
Medián měsíčních mezd (Kč),Zlínský kraj,2017,24814
Medián měsíčních mezd (Kč),Zlínský kraj,2016,23242
Medián měsíčních mezd (Kč),Zlínský kraj,2015,21770
Medián měsíčních mezd (Kč),Moravskoslezský kraj,2024,40342
Medián měsíčních mezd (Kč),Moravskoslezský kraj,2023,38073
Medián měsíčních mezd (Kč),Moravskoslezský kraj,2022,35723
Medián měsíčních mezd (Kč),Moravskoslezský kraj,2021,33611
