Území,Kumulace čtvrtletí,Institucionální sektory,Ukazatel,value
Česko,Q1-Q2 2025,Celkem,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4029.5280644751
Česko,Q1-Q2 2025,Celkem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),12.912778848
Česko,Q1-Q2 2025,Celkem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.3214840837
Česko,Q1-Q2 2025,Celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),48147.3456454993
Česko,Q1-Q2 2025,Celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3245.9721573194
Česko,Q1-Q2 2025,Celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.2291155151
Česko,Q1-Q2 2025,Celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4255.0159539823
Česko,Q1-Q2 2025,Celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),22.8874788827
Česko,Q1-Q2 2025,Celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.5408030266
Česko,Q1-Q2 2025,Celkem,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),45595.8526611267
Česko,Q1-Q2 2025,Celkem,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2980.9972380458
Česko,Q1-Q2 2025,Celkem,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.9952067382
Česko,Q1-Q2 2025,Nefinanční podniky,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),2832.5799235828
Česko,Q1-Q2 2025,Nefinanční podniky,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),1.861814299
Česko,Q1-Q2 2025,Nefinanční podniky,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.0657718016
Česko,Q1-Q2 2025,Nefinanční podniky,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),48326.8097727355
Česko,Q1-Q2 2025,Nefinanční podniky,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3375.8783133773
Česko,Q1-Q2 2025,Nefinanční podniky,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.5101409554
Česko,Q1-Q2 2025,Nefinanční podniky,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),2958.2770546947
Česko,Q1-Q2 2025,Nefinanční podniky,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),8.5278564327
Česko,Q1-Q2 2025,Nefinanční podniky,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.289104458
Česko,Q1-Q2 2025,Nefinanční podniky,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),46273.4046210511
Česko,Q1-Q2 2025,Nefinanční podniky,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3136.3759590357
Česko,Q1-Q2 2025,Nefinanční podniky,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.2707278557
Česko,Q1-Q2 2025,Finanční podniky,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),69.4793936593
Česko,Q1-Q2 2025,Finanční podniky,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),0.4394396347
Česko,Q1-Q2 2025,Finanční podniky,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.6365004741
Česko,Q1-Q2 2025,Finanční podniky,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),84979.716398978
Česko,Q1-Q2 2025,Finanční podniky,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),4098.0346479703
Česko,Q1-Q2 2025,Finanční podniky,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.0667030646
Česko,Q1-Q2 2025,Finanční podniky,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),72.24775891
Česko,Q1-Q2 2025,Finanční podniky,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),0.4953547685
Česko,Q1-Q2 2025,Finanční podniky,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.6903667891
Česko,Q1-Q2 2025,Finanční podniky,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),81723.4922968272
Česko,Q1-Q2 2025,Finanční podniky,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3899.3739785583
Česko,Q1-Q2 2025,Finanční podniky,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.0104955415
Česko,Q1-Q2 2025,Domácnosti,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),131.8697842172
Česko,Q1-Q2 2025,Domácnosti,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-7.2557748734
Česko,Q1-Q2 2025,Domácnosti,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),94.7847290456
Česko,Q1-Q2 2025,Domácnosti,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),29534.2737740257
Česko,Q1-Q2 2025,Domácnosti,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),4704.2585568386
Česko,Q1-Q2 2025,Domácnosti,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),118.9458545059
Česko,Q1-Q2 2025,Domácnosti,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),139.7675659538
Česko,Q1-Q2 2025,Domácnosti,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-6.9015899325
Česko,Q1-Q2 2025,Domácnosti,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),95.2944503629
Česko,Q1-Q2 2025,Domácnosti,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),27865.3941135421
Česko,Q1-Q2 2025,Domácnosti,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),4312.4546529965
Česko,Q1-Q2 2025,Domácnosti,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),118.3096239865
Česko,Q1-Q2 2025,Vládní sektor,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),919.1029581678
Česko,Q1-Q2 2025,Vládní sektor,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),13.9007026718
Česko,Q1-Q2 2025,Vládní sektor,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),101.535646049
Česko,Q1-Q2 2025,Vládní sektor,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),48324.7949964892
Česko,Q1-Q2 2025,Vládní sektor,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2555.6508512543
Česko,Q1-Q2 2025,Vládní sektor,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.5837855371
Česko,Q1-Q2 2025,Vládní sektor,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),994.9022835823
Česko,Q1-Q2 2025,Vládní sektor,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),16.2062617463
Česko,Q1-Q2 2025,Vládní sektor,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.6559035068
Česko,Q1-Q2 2025,Vládní sektor,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),44643.0395899792
Česko,Q1-Q2 2025,Vládní sektor,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2310.863318674
Česko,Q1-Q2 2025,Vládní sektor,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.4588814519
Česko,Q1-Q2 2025,Neziskové instituce sloužící domácnostem,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),76.4960048479
Česko,Q1-Q2 2025,Neziskové instituce sloužící domácnostem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),3.9665971159
Česko,Q1-Q2 2025,Neziskové instituce sloužící domácnostem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),105.4689500989
Česko,Q1-Q2 2025,Neziskové instituce sloužící domácnostem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),38002.6364616499
Česko,Q1-Q2 2025,Neziskové instituce sloužící domácnostem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),1614.1201564704
Česko,Q1-Q2 2025,Neziskové instituce sloužící domácnostem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),104.4357954662
Česko,Q1-Q2 2025,Neziskové instituce sloužící domácnostem,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),89.8212908416
Česko,Q1-Q2 2025,Neziskové instituce sloužící domácnostem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),4.5595958676
Česko,Q1-Q2 2025,Neziskové instituce sloužící domácnostem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),105.3477659212
Česko,Q1-Q2 2025,Neziskové instituce sloužící domácnostem,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),32364.8194739345
Česko,Q1-Q2 2025,Neziskové instituce sloužící domácnostem,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),1410.2678822848
Česko,Q1-Q2 2025,Neziskové instituce sloužící domácnostem,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),104.5559305814
Česko,Q1-Q2 2025,Ústřední vládní instituce,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),367.8395331755
Česko,Q1-Q2 2025,Ústřední vládní instituce,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),3.3322465975
Česko,Q1-Q2 2025,Ústřední vládní instituce,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.9141783224
Česko,Q1-Q2 2025,Ústřední vládní instituce,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),54155.2860857532
Česko,Q1-Q2 2025,Ústřední vládní instituce,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3038.3232585555
Česko,Q1-Q2 2025,Ústřední vládní instituce,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.9438649922
Česko,Q1-Q2 2025,Ústřední vládní instituce,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),397.3886539057
Česko,Q1-Q2 2025,Ústřední vládní instituce,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),5.0836600738
Česko,Q1-Q2 2025,Ústřední vládní instituce,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.2958438342
Česko,Q1-Q2 2025,Ústřední vládní instituce,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),50128.3943489137
Česko,Q1-Q2 2025,Ústřední vládní instituce,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2633.4460020784
Česko,Q1-Q2 2025,Ústřední vládní instituce,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.5446865272
Česko,Q1-Q2 2025,Místní vládní instituce,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),545.0212327031
Česko,Q1-Q2 2025,Místní vládní instituce,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),10.4802584373
Česko,Q1-Q2 2025,Místní vládní instituce,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),101.9606089976
Česko,Q1-Q2 2025,Místní vládní instituce,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),44189.9376166645
Česko,Q1-Q2 2025,Místní vládní instituce,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2259.7202129511
Česko,Q1-Q2 2025,Místní vládní instituce,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.3892403924
Česko,Q1-Q2 2025,Místní vládní instituce,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),591.0991000905
Česko,Q1-Q2 2025,Místní vládní instituce,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),11.0248087808
Česko,Q1-Q2 2025,Místní vládní instituce,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.900585657
Česko,Q1-Q2 2025,Místní vládní instituce,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40745.2054473162
Česko,Q1-Q2 2025,Místní vládní instituce,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2106.3283277052
Česko,Q1-Q2 2025,Místní vládní instituce,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.451318684
Česko,Q1-Q2 2025,Fondy sociálního zabezpečení,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),6.2421922892
Česko,Q1-Q2 2025,Fondy sociálního zabezpečení,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),0.0881976371
Česko,Q1-Q2 2025,Fondy sociálního zabezpečení,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),101.4331770185
Česko,Q1-Q2 2025,Fondy sociálního zabezpečení,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),65770.5801790289
Česko,Q1-Q2 2025,Fondy sociálního zabezpečení,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3305.8148181461
Česko,Q1-Q2 2025,Fondy sociálního zabezpečení,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.2922872583
Česko,Q1-Q2 2025,Fondy sociálního zabezpečení,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),6.4145295862
Česko,Q1-Q2 2025,Fondy sociálního zabezpečení,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),0.0977928917
Česko,Q1-Q2 2025,Fondy sociálního zabezpečení,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.5481552653
Česko,Q1-Q2 2025,Fondy sociálního zabezpečení,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),64003.5411690159
Česko,Q1-Q2 2025,Fondy sociálního zabezpečení,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3148.0946669918
Česko,Q1-Q2 2025,Fondy sociálního zabezpečení,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.1730697053
