Ukazatel;Území;Pohlaví;Věk (roky);Roky;value
Počet obyvatel - celkem;Česko;Celkem;Celkem;2024;10909438
Počet obyvatel - celkem;Česko;Celkem;Celkem;2025;10914878
Počet obyvatel - celkem;Česko;Celkem;Celkem;2026;10861738
Počet obyvatel - celkem;Česko;Celkem;Celkem;2027;10804689
Počet obyvatel - celkem;Česko;Celkem;Celkem;2028;10743971
Počet obyvatel - celkem;Česko;Celkem;Celkem;2029;10747129
Počet obyvatel - celkem;Česko;Celkem;Celkem;2030;10748352
Počet obyvatel - celkem;Česko;Celkem;Celkem;2031;10747922
Počet obyvatel - celkem;Česko;Celkem;Celkem;2032;10746128
Počet obyvatel - celkem;Česko;Celkem;Celkem;2033;10743259
Počet obyvatel - celkem;Česko;Celkem;Celkem;2034;10739597
Počet obyvatel - celkem;Česko;Celkem;Celkem;2035;10735415
Počet obyvatel - celkem;Česko;Celkem;Celkem;2036;10730972
Počet obyvatel - celkem;Česko;Celkem;Celkem;2037;10726495
Počet obyvatel - celkem;Česko;Celkem;Celkem;2038;10722164
Počet obyvatel - celkem;Česko;Celkem;Celkem;2039;10718105
Počet obyvatel - celkem;Česko;Celkem;Celkem;2040;10714384
Počet obyvatel - celkem;Česko;Celkem;Celkem;2041;10711032
Počet obyvatel - celkem;Česko;Celkem;Celkem;2042;10708051
Počet obyvatel - celkem;Česko;Celkem;Celkem;2043;10705423
Počet obyvatel - celkem;Česko;Celkem;Celkem;2044;10703114
Počet obyvatel - celkem;Česko;Celkem;Celkem;2045;10701076
Počet obyvatel - celkem;Česko;Celkem;Celkem;2046;10699241
Počet obyvatel - celkem;Česko;Celkem;Celkem;2047;10697516
Počet obyvatel - celkem;Česko;Celkem;Celkem;2048;10695767
Počet obyvatel - celkem;Česko;Celkem;Celkem;2049;10693822
Počet obyvatel - celkem;Česko;Celkem;Celkem;2050;10691467
Počet obyvatel - celkem;Česko;Celkem;Celkem;2051;10688468
Počet obyvatel - celkem;Česko;Celkem;Celkem;2052;10684506
Počet obyvatel - celkem;Česko;Celkem;Celkem;2053;10679327
Počet obyvatel - celkem;Česko;Celkem;Celkem;2054;10672685
Počet obyvatel - celkem;Česko;Celkem;Celkem;2055;10664369
Počet obyvatel - celkem;Česko;Celkem;Celkem;2056;10654203
Počet obyvatel - celkem;Česko;Celkem;Celkem;2057;10642057
Počet obyvatel - celkem;Česko;Celkem;Celkem;2058;10627860
Počet obyvatel - celkem;Česko;Celkem;Celkem;2059;10611613
Počet obyvatel - celkem;Česko;Celkem;Celkem;2060;10593389
Počet obyvatel - celkem;Česko;Celkem;Celkem;2061;10573320
Počet obyvatel - celkem;Česko;Celkem;Celkem;2062;10551587
Počet obyvatel - celkem;Česko;Celkem;Celkem;2063;10528400
Počet obyvatel - celkem;Česko;Celkem;Celkem;2064;10503998
Počet obyvatel - celkem;Česko;Celkem;Celkem;2065;10478636
Počet obyvatel - celkem;Česko;Celkem;Celkem;2066;10452569
