Stát,Roky,Ukazatel,Velkost zpravodajské jednotky,value
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,50 až 99 zaměstnanců,8.3526362022
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,100 až 249 zaměstnanců,8.7762951238
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,250 až 499 zaměstnanců,12.2689172124
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,500 až 999 zaměstnanců,13.1666855939
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,1 000 a více zaměstnanců,12.3667473315
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Celkem zaměstnanců,1.1919668533
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,1 až 9 zaměstnanců,0.1928803399
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,10 až 19 zaměstnanců,0.5063052073
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,20 a více zaměstnanců,1.4013384716
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,20 až 49 zaměstnanců,0.5638490703
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,50 až 99 zaměstnanců,0.5027391078
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,100 až 249 zaměstnanců,0.8795242564
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,250 až 499 zaměstnanců,1.5630671635
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,500 až 999 zaměstnanců,2.7805149595
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,1 000 a více zaměstnanců,1.9391273857
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Celkem zaměstnanců,2.6306425045
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),1 až 9 zaměstnanců,0.3189388224
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),10 až 19 zaměstnanců,0.7131836393
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),20 a více zaměstnanců,3.1456589539
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),20 až 49 zaměstnanců,0.8680342796
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),50 až 99 zaměstnanců,0.8776902341
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),100 až 249 zaměstnanců,1.4983285017
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),250 až 499 zaměstnanců,3.8697576758
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),500 až 999 zaměstnanců,3.9854152686
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),1 000 a více zaměstnanců,5.6298683945
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Celkem zaměstnanců,1.9936082497
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,1 až 9 zaměstnanců,0.3953803881
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,10 až 19 zaměstnanců,0.9114215308
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,20 a více zaměstnanců,2.3271838269
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,20 až 49 zaměstnanců,1.080445277
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,50 až 99 zaměstnanců,1.1898502512
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,100 až 249 zaměstnanců,1.5207328272
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,250 až 499 zaměstnanců,2.0897255204
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,500 až 999 zaměstnanců,2.7347468267
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,1 000 a více zaměstnanců,3.8564121585
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Celkem zaměstnanců,17.0104159569
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,1 až 9 zaměstnanců,3.4967550791
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,10 až 19 zaměstnanců,6.0980805463
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,20 a více zaměstnanců,19.9936766674
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,20 až 49 zaměstnanců,9.2362184954
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,50 až 99 zaměstnanců,14.6402606471
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,100 až 249 zaměstnanců,15.9677776814
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,250 až 499 zaměstnanců,15.5710688843
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,500 až 999 zaměstnanců,21.4175387244
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,1 000 a více zaměstnanců,31.2185500529
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Celkem zaměstnanců,0.330376846
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,1 až 9 zaměstnanců,0.06802114
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,10 až 19 zaměstnanců,0.0950023777
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,20 a více zaměstnanců,0.3904666883
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,20 až 49 zaměstnanců,0.10625514
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,50 až 99 zaměstnanců,0.1151217344
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,100 až 249 zaměstnanců,0.3643560383
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,250 až 499 zaměstnanců,0.6200058805
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,500 až 999 zaměstnanců,0.7724521128
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,1 000 a více zaměstnanců,0.4378184667
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Celkem zaměstnanců,0.9963391038
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,1 až 9 zaměstnanců,0.2600332273
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,10 až 19 zaměstnanců,0.3143010666
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,20 a více zaměstnanců,1.166963991
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,20 až 49 zaměstnanců,0.3535217562
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,50 až 99 zaměstnanců,0.3503105256
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,100 až 249 zaměstnanců,0.7876409097
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,250 až 499 zaměstnanců,1.0649351178
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,500 až 999 zaměstnanců,1.8705496194
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,1 000 a více zaměstnanců,1.9323967221
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Celkem zaměstnanců,3.6169058884
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,1 až 9 zaměstnanců,0.9379429927
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,10 až 19 zaměstnanců,1.7798674338
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,20 a více zaměstnanců,4.178178693
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,20 až 49 zaměstnanců,2.0174471374
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,50 až 99 zaměstnanců,2.0118300871
