"ČR, kraje",Roky,Ukazatel,Kategorie,value
Česko,2020,Počet kongresů (konferencí),Hromadná ubytovací zařízení,4436
Česko,2020,Počet kongresů (konferencí),Hotel *****,260
Česko,2020,Počet kongresů (konferencí),"Hotel, motel, botel ****",2846
Česko,2020,Počet kongresů (konferencí),"Hotel, motel, botel ***",1125
Česko,2020,Počet účastníků kongresů (konferencí),Hromadná ubytovací zařízení,421299
Česko,2020,Počet účastníků kongresů (konferencí),Hotel *****,27164
Česko,2020,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ****",271764
Česko,2020,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ***",90026
Česko,2019,Počet kongresů (konferencí),Hromadná ubytovací zařízení,14726
Česko,2019,Počet kongresů (konferencí),Hotel *****,999
Česko,2019,Počet kongresů (konferencí),"Hotel, motel, botel ****",9653
Česko,2019,Počet kongresů (konferencí),"Hotel, motel, botel ***",3447
Česko,2019,Počet účastníků kongresů (konferencí),Hromadná ubytovací zařízení,1434816
Česko,2019,Počet účastníků kongresů (konferencí),Hotel *****,118256
Česko,2019,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ****",942139
Česko,2019,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ***",298445
Česko,2018,Počet kongresů (konferencí),Hromadná ubytovací zařízení,12667
Česko,2018,Počet kongresů (konferencí),Hotel *****,626
Česko,2018,Počet kongresů (konferencí),"Hotel, motel, botel ****",8102
Česko,2018,Počet kongresů (konferencí),"Hotel, motel, botel ***",3349
Česko,2018,Počet účastníků kongresů (konferencí),Hromadná ubytovací zařízení,1370242
Česko,2018,Počet účastníků kongresů (konferencí),Hotel *****,98485
Česko,2018,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ****",909423
Česko,2018,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ***",294426
Česko,2017,Počet kongresů (konferencí),Hromadná ubytovací zařízení,12542
Česko,2017,Počet kongresů (konferencí),Hotel *****,829
Česko,2017,Počet kongresů (konferencí),"Hotel, motel, botel ****",7930
Česko,2017,Počet kongresů (konferencí),"Hotel, motel, botel ***",3281
Česko,2017,Počet účastníků kongresů (konferencí),Hromadná ubytovací zařízení,1357395
Česko,2017,Počet účastníků kongresů (konferencí),Hotel *****,122583
Česko,2017,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ****",881822
Česko,2017,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ***",294574
Česko,2016,Počet kongresů (konferencí),Hromadná ubytovací zařízení,12589
Česko,2016,Počet kongresů (konferencí),Hotel *****,833
Česko,2016,Počet kongresů (konferencí),"Hotel, motel, botel ****",7595
Česko,2016,Počet kongresů (konferencí),"Hotel, motel, botel ***",3579
Česko,2016,Počet účastníků kongresů (konferencí),Hromadná ubytovací zařízení,1338760
Česko,2016,Počet účastníků kongresů (konferencí),Hotel *****,128774
Česko,2016,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ****",835144
Česko,2016,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ***",307033
Česko,2015,Počet kongresů (konferencí),Hromadná ubytovací zařízení,12788
Česko,2015,Počet kongresů (konferencí),Hotel *****,793
Česko,2015,Počet kongresů (konferencí),"Hotel, motel, botel ****",7904
Česko,2015,Počet kongresů (konferencí),"Hotel, motel, botel ***",3732
Česko,2015,Počet účastníků kongresů (konferencí),Hromadná ubytovací zařízení,1407897
Česko,2015,Počet účastníků kongresů (konferencí),Hotel *****,129821
Česko,2015,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ****",919590
