Ukazatel;Rok sčítání;Ekonomická aktivita;Pohlaví;Území;Hlavní třídy zaměstnání;value
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Zákonodárci a řídící pracovníci;12650
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Specialisté;46008
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Techničtí a odborní pracovníci;46142
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Úředníci;20657
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Pracovníci ve službách a prodeji;36767
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;3414
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Řemeslníci a opraváři;38215
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Obsluha strojů a zařízení, montéři;43978
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Pomocní a nekvalifikovaní pracovníci;13068
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Zaměstnanci v ozbrojených silách;838
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Nezjištěno;34073
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Zaměstnaní celkem;130956
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Zákonodárci a řídící pracovníci;5515
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Specialisté;16552
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Techničtí a odborní pracovníci;17772
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Úředníci;8107
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Pracovníci ve službách a prodeji;21567
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;1324
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Řemeslníci a opraváři;16798
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Obsluha strojů a zařízení, montéři;20125
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Pomocní a nekvalifikovaní pracovníci;7636
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Zaměstnanci v ozbrojených silách;184
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Nezjištěno;15376
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Zaměstnaní celkem;369950
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Zákonodárci a řídící pracovníci;15911
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Specialisté;51914
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Techničtí a odborní pracovníci;56434
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Úředníci;24677
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Pracovníci ve službách a prodeji;51928
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2972
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Řemeslníci a opraváři;43701
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Obsluha strojů a zařízení, montéři;57432
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Pomocní a nekvalifikovaní pracovníci;19402
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Zaměstnanci v ozbrojených silách;1281
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Nezjištěno;44298
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Zaměstnaní celkem;213877
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Zákonodárci a řídící pracovníci;9599
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Specialisté;32501
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Techničtí a odborní pracovníci;32684
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Úředníci;13423
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Pracovníci ve službách a prodeji;26997
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;1780
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Řemeslníci a opraváři;27620
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Obsluha strojů a zařízení, montéři;32415
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Pomocní a nekvalifikovaní pracovníci;9861
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Zaměstnanci v ozbrojených silách;779
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Nezjištěno;26218
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Zaměstnaní celkem;266948
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Zákonodárci a řídící pracovníci;12204
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Specialisté;43226
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Techničtí a odborní pracovníci;40948
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Úředníci;18130
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Pracovníci ve službách a prodeji;34561
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;3274
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Řemeslníci a opraváři;33744
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Obsluha strojů a zařízení, montéři;37769
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Pomocní a nekvalifikovaní pracovníci;12251
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Zaměstnanci v ozbrojených silách;908
