Území,Typ cestovního ruchu,Ukazatel,Roky,value
Česko,Příjezdový cestovní ruch,Průměrná spotřeba na 1 návštěvníka (Kč),2021,4994.38425643
Česko,Příjezdový cestovní ruch,Průměrná spotřeba na 1 návštěvníka (Kč),2022,5246.31403578
Česko,Příjezdový cestovní ruch,Průměrná spotřeba na 1 návštěvníka (Kč),2023,5476.39900134
Česko,Příjezdový cestovní ruch,Průměrná spotřeba na 1 den cesty (Kč),2015,2181.53183508
Česko,Příjezdový cestovní ruch,Průměrná spotřeba na 1 den cesty (Kč),2016,2099.17929283
Česko,Příjezdový cestovní ruch,Průměrná spotřeba na 1 den cesty (Kč),2017,2071.75015708
Česko,Příjezdový cestovní ruch,Průměrná spotřeba na 1 den cesty (Kč),2018,2082.9383596
Česko,Příjezdový cestovní ruch,Průměrná spotřeba na 1 den cesty (Kč),2019,2110.38762536
Česko,Příjezdový cestovní ruch,Průměrná spotřeba na 1 den cesty (Kč),2020,2035.47529149
Česko,Příjezdový cestovní ruch,Průměrná spotřeba na 1 den cesty (Kč),2021,2183.25136388
Česko,Příjezdový cestovní ruch,Průměrná spotřeba na 1 den cesty (Kč),2022,2348.07184917
Česko,Příjezdový cestovní ruch,Průměrná spotřeba na 1 den cesty (Kč),2023,2454.45130164
