Území,Ukazatel,Druh chráněného území,Roky,value
Česko,Počet chráněných území,Národní park,2015,4.0
Česko,Počet chráněných území,Národní park,2016,4.0
Česko,Počet chráněných území,Národní park,2017,4.0
Česko,Počet chráněných území,Národní park,2018,4.0
Česko,Počet chráněných území,Národní park,2019,4.0
Česko,Počet chráněných území,Národní park,2020,4.0
Česko,Počet chráněných území,Národní park,2021,4.0
Česko,Počet chráněných území,Národní park,2022,4.0
Česko,Počet chráněných území,Národní park,2023,4.0
Česko,Počet chráněných území,Chráněná krajinná oblast,2015,26.0
Česko,Počet chráněných území,Chráněná krajinná oblast,2016,26.0
Česko,Počet chráněných území,Chráněná krajinná oblast,2017,26.0
Česko,Počet chráněných území,Chráněná krajinná oblast,2018,26.0
Česko,Počet chráněných území,Chráněná krajinná oblast,2019,26.0
Česko,Počet chráněných území,Chráněná krajinná oblast,2020,26.0
Česko,Počet chráněných území,Chráněná krajinná oblast,2021,26.0
Česko,Počet chráněných území,Chráněná krajinná oblast,2022,26.0
Česko,Počet chráněných území,Chráněná krajinná oblast,2023,26.0
Česko,Počet chráněných území,Maloplošné chráněné území,2015,2571.0
Česko,Počet chráněných území,Maloplošné chráněné území,2016,2595.0
Česko,Počet chráněných území,Maloplošné chráněné území,2017,2600.0
Česko,Počet chráněných území,Maloplošné chráněné území,2018,2609.0
Česko,Počet chráněných území,Maloplošné chráněné území,2019,2633.0
Česko,Počet chráněných území,Maloplošné chráněné území,2020,2639.0
Česko,Počet chráněných území,Maloplošné chráněné území,2021,2643.0
Česko,Počet chráněných území,Maloplošné chráněné území,2022,2653.0
Česko,Počet chráněných území,Maloplošné chráněné území,2023,2665.0
Česko,Počet chráněných území,Národní přírodní památka,2015,118.0
Česko,Počet chráněných území,Národní přírodní památka,2016,120.0
Česko,Počet chráněných území,Národní přírodní památka,2017,124.0
Česko,Počet chráněných území,Národní přírodní památka,2018,126.0
Česko,Počet chráněných území,Národní přírodní památka,2019,126.0
Česko,Počet chráněných území,Národní přírodní památka,2020,125.0
Česko,Počet chráněných území,Národní přírodní památka,2021,126.0
Česko,Počet chráněných území,Národní přírodní památka,2022,126.0
Česko,Počet chráněných území,Národní přírodní památka,2023,125.0
Česko,Počet chráněných území,Národní přírodní rezervace,2015,109.0
Česko,Počet chráněných území,Národní přírodní rezervace,2016,107.0
Česko,Počet chráněných území,Národní přírodní rezervace,2017,109.0
Česko,Počet chráněných území,Národní přírodní rezervace,2018,109.0
Česko,Počet chráněných území,Národní přírodní rezervace,2019,111.0
Česko,Počet chráněných území,Národní přírodní rezervace,2020,110.0
Česko,Počet chráněných území,Národní přírodní rezervace,2021,110.0
Česko,Počet chráněných území,Národní přírodní rezervace,2022,110.0
Česko,Počet chráněných území,Národní přírodní rezervace,2023,110.0
Česko,Počet chráněných území,Přírodní památka,2015,1529.0
Česko,Počet chráněných území,Přírodní památka,2016,1559.0
Česko,Počet chráněných území,Přírodní památka,2017,1557.0
Česko,Počet chráněných území,Přírodní památka,2018,1562.0
Česko,Počet chráněných území,Přírodní památka,2019,1579.0
Česko,Počet chráněných území,Přírodní památka,2020,1588.0
Česko,Počet chráněných území,Přírodní památka,2021,1589.0
Česko,Počet chráněných území,Přírodní památka,2022,1597.0
Česko,Počet chráněných území,Přírodní památka,2023,1612.0
Česko,Počet chráněných území,Přírodní rezervace,2015,815.0
Česko,Počet chráněných území,Přírodní rezervace,2016,809.0
