Dvouleté období;Kraje;Ukazatel;value
2022-2023;Hlavní město Praha;Naděje dožití mužů při narození;78.20069236
2022-2023;Hlavní město Praha;Naděje dožití žen při narození;83.84623827
2022-2023;Hlavní město Praha;Naděje dožití mužů ve věku 65 let;17.36029213
2022-2023;Hlavní město Praha;Naděje dožití žen ve věku 65 let;21.11711343
2022-2023;Středočeský kraj;Naděje dožití mužů při narození;76.64450343
2022-2023;Středočeský kraj;Naděje dožití žen při narození;82.54761558
2022-2023;Středočeský kraj;Naděje dožití mužů ve věku 65 let;16.25990463
2022-2023;Středočeský kraj;Naděje dožití žen ve věku 65 let;19.98194595
2022-2023;Jihočeský kraj;Naděje dožití mužů při narození;76.92395418
2022-2023;Jihočeský kraj;Naděje dožití žen při narození;82.32248097
2022-2023;Jihočeský kraj;Naděje dožití mužů ve věku 65 let;16.35510431
2022-2023;Jihočeský kraj;Naděje dožití žen ve věku 65 let;20.18313579
2022-2023;Plzeňský kraj;Naděje dožití mužů při narození;77.03086287
2022-2023;Plzeňský kraj;Naděje dožití žen při narození;82.24663801
2022-2023;Plzeňský kraj;Naděje dožití mužů ve věku 65 let;16.6563236
2022-2023;Plzeňský kraj;Naděje dožití žen ve věku 65 let;20.04703401
2022-2023;Karlovarský kraj;Naděje dožití mužů při narození;75.21662205
2022-2023;Karlovarský kraj;Naděje dožití žen při narození;81.0566262
2022-2023;Karlovarský kraj;Naděje dožití mužů ve věku 65 let;15.5548761
2022-2023;Karlovarský kraj;Naděje dožití žen ve věku 65 let;19.52938362
2022-2023;Ústecký kraj;Naděje dožití mužů při narození;74.54810774
2022-2023;Ústecký kraj;Naděje dožití žen při narození;80.38254125
2022-2023;Ústecký kraj;Naděje dožití mužů ve věku 65 let;15.24823858
2022-2023;Ústecký kraj;Naděje dožití žen ve věku 65 let;18.7056361
2022-2023;Liberecký kraj;Naděje dožití mužů při narození;76.19249472
2022-2023;Liberecký kraj;Naděje dožití žen při narození;82.29351563
2022-2023;Liberecký kraj;Naděje dožití mužů ve věku 65 let;16.07797864
2022-2023;Liberecký kraj;Naděje dožití žen ve věku 65 let;19.95317296
2022-2023;Královéhradecký kraj;Naděje dožití mužů při narození;77.70674125
2022-2023;Královéhradecký kraj;Naděje dožití žen při narození;82.53779317
2022-2023;Královéhradecký kraj;Naděje dožití mužů ve věku 65 let;16.99960222
2022-2023;Královéhradecký kraj;Naděje dožití žen ve věku 65 let;20.44418023
2022-2023;Pardubický kraj;Naděje dožití mužů při narození;76.87640611
2022-2023;Pardubický kraj;Naděje dožití žen při narození;82.75039951
2022-2023;Pardubický kraj;Naděje dožití mužů ve věku 65 let;16.54236654
2022-2023;Pardubický kraj;Naděje dožití žen ve věku 65 let;20.1187032
2022-2023;Kraj Vysočina;Naděje dožití mužů při narození;77.27813642
2022-2023;Kraj Vysočina;Naděje dožití žen při narození;82.88223518
2022-2023;Kraj Vysočina;Naděje dožití mužů ve věku 65 let;16.67334483
2022-2023;Kraj Vysočina;Naděje dožití žen ve věku 65 let;20.24574761
2022-2023;Jihomoravský kraj;Naděje dožití mužů při narození;77.042016
2022-2023;Jihomoravský kraj;Naděje dožití žen při narození;83.08830364
2022-2023;Jihomoravský kraj;Naděje dožití mužů ve věku 65 let;16.76557982
2022-2023;Jihomoravský kraj;Naděje dožití žen ve věku 65 let;20.52513248
2022-2023;Olomoucký kraj;Naděje dožití mužů při narození;76.09499981
2022-2023;Olomoucký kraj;Naděje dožití žen při narození;82.35027228
2022-2023;Olomoucký kraj;Naděje dožití mužů ve věku 65 let;16.29204801
2022-2023;Olomoucký kraj;Naděje dožití žen ve věku 65 let;20.30249059
2022-2023;Zlínský kraj;Naděje dožití mužů při narození;76.54196254
2022-2023;Zlínský kraj;Naděje dožití žen při narození;82.96625681
2022-2023;Zlínský kraj;Naděje dožití mužů ve věku 65 let;16.56596812
2022-2023;Zlínský kraj;Naděje dožití žen ve věku 65 let;20.83461471
2022-2023;Moravskoslezský kraj;Naděje dožití mužů při narození;74.83644479
2022-2023;Moravskoslezský kraj;Naděje dožití žen při narození;81.44395253
2022-2023;Moravskoslezský kraj;Naděje dožití mužů ve věku 65 let;15.66687214
2022-2023;Moravskoslezský kraj;Naděje dožití žen ve věku 65 let;19.64034211
