Roky;Území;Ukazatel;value
2019;Olomoucký kraj;Vydané obálky;135217.0
2019;Olomoucký kraj;Volební účast (%);26.42
2019;Olomoucký kraj;Odevzdané obálky;135152.0
2019;Olomoucký kraj;Platné hlasy;134219.0
2019;Olomoucký kraj;Počet kandidátů;
2019;Olomoucký kraj;Počet zvolených mužů;
2019;Olomoucký kraj;Počet zvolených žen;
2019;Zlínský kraj;Počet okrsků;685.0
2019;Zlínský kraj;Voliči v seznamu;474868.0
2019;Zlínský kraj;Vydané obálky;134600.0
2019;Zlínský kraj;Volební účast (%);28.34
2019;Zlínský kraj;Odevzdané obálky;134571.0
2019;Zlínský kraj;Platné hlasy;133757.0
2019;Zlínský kraj;Počet kandidátů;
2019;Zlínský kraj;Počet zvolených mužů;
2019;Zlínský kraj;Počet zvolených žen;
2019;Moravskoslezský kraj;Počet okrsků;1307.0
2019;Moravskoslezský kraj;Voliči v seznamu;981007.0
2019;Moravskoslezský kraj;Vydané obálky;233045.0
2019;Moravskoslezský kraj;Volební účast (%);23.76
2019;Moravskoslezský kraj;Odevzdané obálky;232964.0
2019;Moravskoslezský kraj;Platné hlasy;231089.0
2019;Moravskoslezský kraj;Počet kandidátů;
2019;Moravskoslezský kraj;Počet zvolených mužů;
2019;Moravskoslezský kraj;Počet zvolených žen;
