Typ indexu,Ukazatel,Očištění,Území,Odvětví (NACE),Roky,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2016,99.4706479974
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2017,102.2638322381
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2018,100.9251449491
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2019,100.3780038092
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2020,102.8288397807
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2021,102.9968860486
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2022,92.9797830348
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2023,95.4923675703
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2024,94.259475205
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2016,102.8488082552
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2017,98.9887694687
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2018,100.7636344391
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2019,96.7099628633
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2020,99.2726491373
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2021,101.0525160876
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2022,94.6972606904
