Roky;Území;Ukazatel;Způsob vyplacení důchodu;value
2023;Česko;Počet příjemců vdoveckých důchodu;Sólo;4573
2023;Česko;Počet příjemců vdoveckých důchodu;Kombinace;92596
2023;Česko;Počet příjemců vdovských důchodu;Sólo;18135
2023;Česko;Počet příjemců vdovských důchodu;Kombinace;490363
2023;Česko;Průměrný vdovecký důchod (Kč);Sólo;11529
2023;Česko;Průměrný vdovecký důchod (Kč);Kombinace;24076
2023;Česko;Průměrný vdovský důchod (Kč);Sólo;12724
2023;Česko;Průměrný vdovský důchod (Kč);Kombinace;22120
2023;Hlavní město Praha;Počet příjemců vdoveckých důchodu;Sólo;452
2023;Hlavní město Praha;Počet příjemců vdoveckých důchodu;Kombinace;8725
2023;Hlavní město Praha;Počet příjemců vdovských důchodu;Sólo;1865
2023;Hlavní město Praha;Počet příjemců vdovských důchodu;Kombinace;47729
2023;Hlavní město Praha;Průměrný vdovecký důchod (Kč);Sólo;11755
2023;Hlavní město Praha;Průměrný vdovecký důchod (Kč);Kombinace;25767
2023;Hlavní město Praha;Průměrný vdovský důchod (Kč);Sólo;12884
2023;Hlavní město Praha;Průměrný vdovský důchod (Kč);Kombinace;23879
2023;Středočeský kraj;Počet příjemců vdoveckých důchodu;Sólo;644
2023;Středočeský kraj;Počet příjemců vdoveckých důchodu;Kombinace;11257
2023;Středočeský kraj;Počet příjemců vdovských důchodu;Sólo;2331
2023;Středočeský kraj;Počet příjemců vdovských důchodu;Kombinace;59927
2023;Středočeský kraj;Průměrný vdovecký důchod (Kč);Sólo;11953
2023;Středočeský kraj;Průměrný vdovecký důchod (Kč);Kombinace;24296
2023;Středočeský kraj;Průměrný vdovský důchod (Kč);Sólo;12935
2023;Středočeský kraj;Průměrný vdovský důchod (Kč);Kombinace;22165
2023;Jihočeský kraj;Počet příjemců vdoveckých důchodu;Sólo;287
2023;Jihočeský kraj;Počet příjemců vdoveckých důchodu;Kombinace;5942
2023;Jihočeský kraj;Počet příjemců vdovských důchodu;Sólo;1037
2023;Jihočeský kraj;Počet příjemců vdovských důchodu;Kombinace;31019
2023;Jihočeský kraj;Průměrný vdovecký důchod (Kč);Sólo;11564
2023;Jihočeský kraj;Průměrný vdovecký důchod (Kč);Kombinace;23757
2023;Jihočeský kraj;Průměrný vdovský důchod (Kč);Sólo;12397
2023;Jihočeský kraj;Průměrný vdovský důchod (Kč);Kombinace;22086
2023;Plzeňský kraj;Počet příjemců vdoveckých důchodu;Sólo;244
2023;Plzeňský kraj;Počet příjemců vdoveckých důchodu;Kombinace;5268
2023;Plzeňský kraj;Počet příjemců vdovských důchodu;Sólo;854
2023;Plzeňský kraj;Počet příjemců vdovských důchodu;Kombinace;27339
2023;Plzeňský kraj;Průměrný vdovecký důchod (Kč);Sólo;11661
2023;Plzeňský kraj;Průměrný vdovecký důchod (Kč);Kombinace;23944
2023;Plzeňský kraj;Průměrný vdovský důchod (Kč);Sólo;12676
2023;Plzeňský kraj;Průměrný vdovský důchod (Kč);Kombinace;22026
2023;Karlovarský kraj;Počet příjemců vdoveckých důchodu;Sólo;136
2023;Karlovarský kraj;Počet příjemců vdoveckých důchodu;Kombinace;2715
2023;Karlovarský kraj;Počet příjemců vdovských důchodu;Sólo;559
2023;Karlovarský kraj;Počet příjemců vdovských důchodu;Kombinace;13068
2023;Karlovarský kraj;Průměrný vdovecký důchod (Kč);Sólo;10543
2023;Karlovarský kraj;Průměrný vdovecký důchod (Kč);Kombinace;23545
2023;Karlovarský kraj;Průměrný vdovský důchod (Kč);Sólo;12110
2023;Karlovarský kraj;Průměrný vdovský důchod (Kč);Kombinace;21918
2023;Ústecký kraj;Počet příjemců vdoveckých důchodu;Sólo;346
2023;Ústecký kraj;Počet příjemců vdoveckých důchodu;Kombinace;7755
2023;Ústecký kraj;Počet příjemců vdovských důchodu;Sólo;1509
2023;Ústecký kraj;Počet příjemců vdovských důchodu;Kombinace;36982
2023;Ústecký kraj;Průměrný vdovecký důchod (Kč);Sólo;10987
2023;Ústecký kraj;Průměrný vdovecký důchod (Kč);Kombinace;23911
2023;Ústecký kraj;Průměrný vdovský důchod (Kč);Sólo;12334
2023;Ústecký kraj;Průměrný vdovský důchod (Kč);Kombinace;21975
2023;Liberecký kraj;Počet příjemců vdoveckých důchodu;Sólo;166
2023;Liberecký kraj;Počet příjemců vdoveckých důchodu;Kombinace;3935
2023;Liberecký kraj;Počet příjemců vdovských důchodu;Sólo;728
2023;Liberecký kraj;Počet příjemců vdovských důchodu;Kombinace;19690
2023;Liberecký kraj;Průměrný vdovecký důchod (Kč);Sólo;11317
2023;Liberecký kraj;Průměrný vdovecký důchod (Kč);Kombinace;23743
2023;Liberecký kraj;Průměrný vdovský důchod (Kč);Sólo;12306
2023;Liberecký kraj;Průměrný vdovský důchod (Kč);Kombinace;22085
2023;Královéhradecký kraj;Počet příjemců vdoveckých důchodu;Sólo;238
2023;Královéhradecký kraj;Počet příjemců vdoveckých důchodu;Kombinace;5236
2023;Královéhradecký kraj;Počet příjemců vdovských důchodu;Sólo;817
2023;Královéhradecký kraj;Počet příjemců vdovských důchodu;Kombinace;26993
2023;Královéhradecký kraj;Průměrný vdovecký důchod (Kč);Sólo;11504
2023;Královéhradecký kraj;Průměrný vdovecký důchod (Kč);Kombinace;23688
2023;Královéhradecký kraj;Průměrný vdovský důchod (Kč);Sólo;12579
2023;Královéhradecký kraj;Průměrný vdovský důchod (Kč);Kombinace;21999
2023;Pardubický kraj;Počet příjemců vdoveckých důchodu;Sólo;212
2023;Pardubický kraj;Počet příjemců vdoveckých důchodu;Kombinace;4782
2023;Pardubický kraj;Počet příjemců vdovských důchodu;Sólo;787
2023;Pardubický kraj;Počet příjemců vdovských důchodu;Kombinace;24801
2023;Pardubický kraj;Průměrný vdovecký důchod (Kč);Sólo;11710
2023;Pardubický kraj;Průměrný vdovecký důchod (Kč);Kombinace;23510
2023;Pardubický kraj;Průměrný vdovský důchod (Kč);Sólo;12509
2023;Pardubický kraj;Průměrný vdovský důchod (Kč);Kombinace;21829
2023;Kraj Vysočina;Počet příjemců vdoveckých důchodu;Sólo;222
2023;Kraj Vysočina;Počet příjemců vdoveckých důchodu;Kombinace;4916
2023;Kraj Vysočina;Počet příjemců vdovských důchodu;Sólo;758
2023;Kraj Vysočina;Počet příjemců vdovských důchodu;Kombinace;25807
2023;Kraj Vysočina;Průměrný vdovecký důchod (Kč);Sólo;11838
2023;Kraj Vysočina;Průměrný vdovecký důchod (Kč);Kombinace;23400
2023;Kraj Vysočina;Průměrný vdovský důchod (Kč);Sólo;12743
2023;Kraj Vysočina;Průměrný vdovský důchod (Kč);Kombinace;21762
2023;Jihomoravský kraj;Počet příjemců vdoveckých důchodu;Sólo;472
2023;Jihomoravský kraj;Počet příjemců vdoveckých důchodu;Kombinace;9997
