Území;CZ NACE;Ukazatel;Roky;value
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2008;57561.0
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2009;60349.0
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2010;60904.0
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2011;60547.0
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2012;60501.0
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2013;58866.0
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2014;59008.0
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2015;58612.0
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2016;59307.0
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2017;58085.0
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2018;58840.0
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2019;59913.0
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2020;59497.0
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2021;58751.0
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2022;59944.0
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet aktivních podniků;2023;
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2008;167429.734264846
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2009;175752.545943795
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2010;169226.720879838
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2011;168029.90842078
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2012;168800.550699273
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2013;161349.177654425
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2014;162275.536461411
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2015;165277.300242995
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2016;170434.561332659
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2017;176325.198484007
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2018;180886.508611542
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2019;184188.974919933
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2020;171448.474772096
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2021;167035.728614917
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2022;183542.752337882
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Počet zaměstnaných osob celkem ve fyzických osobách;2023;
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2008;122254.988904963
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2009;127007.625065719
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2010;119283.936789473
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2011;117413.643629205
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2012;116579.493223844
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2013;110877.672334733
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2014;110059.367525959
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2015;112891.237436985
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2016;116547.971807049
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2017;121503.46100596
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2018;124372.487064795
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2019;125830.392861027
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2020;113694.52779877
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2021;107541.327826059
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2022;112352.81182406
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2023;
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců přepočtený ;2008;116771.478946424
Česko;55 a 56 Sekce I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců přepočtený ;2009;121216.565193695
