ČR a kraje,Ukazatel,Pohlaví,Odvětví ekonomické činnosti,Čtvrtletí,value
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2025,5243.4576818
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2025,5225.3492057
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2024,5203.9960909
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2024,5197.3548341
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2024,5167.305089
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2024,5201.0130192
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2023,5087.440264742
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2023,5079.916015725
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2023,5063.915365829
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2023,5012.11054386
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2022,5194.35306103
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2022,5187.6263345
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2022,5160.1734787
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2022,5140.69568
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2021,5259.4301324
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2021,5257.1994241
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2021,5171.2639282
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2021,5165.5821254
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2020,5216.4030697
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2020,5233.335249
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2020,5212.592771
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2020,5277.4184187
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2019,5304.7030877
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2019,5306.2468932
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2019,5295.9288076
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2019,5305.5064492
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2018,5326.3267153
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2018,5301.3613974
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2018,5289.2423454
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2018,5258.2245443
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2017,5262.6911043
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2017,5257.2603289
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2017,5197.2647047
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2017,5169.2030438
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2016,5187.4355657
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2016,5151.712175
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2016,5128.4930034
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2016,5086.67095456
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2015,5075.88421729
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2015,5060.30002043
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2015,5044.28464608
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2015,4987.14147309
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2014,5017.05061218
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2014,4994.94717319
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2014,4962.21893099
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2014,4922.96298111
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2013,4957.7129322
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2013,4953.60648867
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2013,4952.99077765
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2013,4884.02486713
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2012,4916.63523018
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2012,4920.55064155
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2012,4888.13419183
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2012,4834.89315485
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2011,4885.49482835
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2011,4927.91482313
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2011,4908.3698475648
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2011,4864.3745203758
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2010,4918.7738635116
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2010,4912.0649768263
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2010,4880.946948463
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2010,4829.1717654792
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2009,4927.29652633889
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2009,4921.66877179277
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2009,4941.29450457996
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2009,4946.81228254092
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2008,5033.49369805368
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2008,5014.80548959033
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2008,5003.30001975618
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2008,4958.38980344212
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2007,4967.20417738968
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2007,4941.88523239589
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2007,4913.90087751282
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2007,4864.98056190665
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2006,4861.68459037189
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2006,4839.43929031293
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2006,4825.94600303278
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2006,4785.18992489848
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2005,4803.69136221162
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2005,4797.22171270252
