Území;Ukazatel;Délka trvání manželství (jednoletky délky);Roky;value
Česko;Rozvody;Celkem;2024;20796.0
Česko;Rozvody;Celkem;2023;19453.0
Česko;Rozvody;Celkem;2022;19846.0
Česko;Rozvody;Celkem;2021;21107.0
Česko;Rozvody;Celkem;2020;21734.0
Česko;Rozvody;Celkem;2019;24141.0
Česko;Rozvody;Celkem;2018;24313.0
Česko;Rozvody;Celkem;2017;25755.0
Česko;Rozvody;Celkem;2016;24996.0
Česko;Rozvody;Celkem;2015;26083.0
Česko;Rozvody;Celkem;2014;26764.0
Česko;Rozvody;Celkem;2013;27895.0
Česko;Rozvody;Celkem;2012;26402.0
Česko;Rozvody;Celkem;2011;28113.0
Česko;Rozvody;Celkem;2010;30783.0
Česko;Rozvody;Celkem;2009;29133.0
Česko;Rozvody;Celkem;2008;31300.0
Česko;Rozvody;Celkem;2007;31129.0
Česko;Rozvody;Celkem;2006;31415.0
Česko;Rozvody;Celkem;2005;31288.0
Česko;Rozvody;Celkem;2004;33060.0
Česko;Rozvody;Celkem;2003;32824.0
Česko;Rozvody;Celkem;2002;31758.0
Česko;Rozvody;Celkem;2001;31586.0
Česko;Rozvody;0;2024;
Česko;Rozvody;0;2023;146.0
Česko;Rozvody;0;2022;149.0
Česko;Rozvody;0;2021;107.0
Česko;Rozvody;0;2020;155.0
Česko;Rozvody;0;2019;203.0
Česko;Rozvody;0;2018;197.0
Česko;Rozvody;0;2017;233.0
Česko;Rozvody;0;2016;197.0
Česko;Rozvody;0;2015;205.0
Česko;Rozvody;0;2014;194.0
Česko;Rozvody;0;2013;218.0
Česko;Rozvody;0;2012;205.0
Česko;Rozvody;0;2011;235.0
Česko;Rozvody;0;2010;254.0
Česko;Rozvody;0;2009;307.0
Česko;Rozvody;0;2008;341.0
Česko;Rozvody;0;2007;277.0
Česko;Rozvody;0;2006;158.0
Česko;Rozvody;0;2005;187.0
Česko;Rozvody;0;2004;184.0
Česko;Rozvody;0;2003;192.0
Česko;Rozvody;0;2002;164.0
Česko;Rozvody;0;2001;153.0
Česko;Rozvody;1;2024;
Česko;Rozvody;1;2023;704.0
Česko;Rozvody;1;2022;641.0
Česko;Rozvody;1;2021;685.0
Česko;Rozvody;1;2020;764.0
Česko;Rozvody;1;2019;922.0
Česko;Rozvody;1;2018;917.0
Česko;Rozvody;1;2017;859.0
Česko;Rozvody;1;2016;781.0
Česko;Rozvody;1;2015;823.0
Česko;Rozvody;1;2014;807.0
Česko;Rozvody;1;2013;888.0
