Roky;Ukazatel;Území;Typ ploch;value
2023;Plocha území (ha);Karlovarský kraj;Zahrada;3432.5298
2023;Plocha území (ha);Karlovarský kraj;Ovocný sad;569.6229
2023;Plocha území (ha);Karlovarský kraj;Trvalý travní porost;69341.3501
2023;Plocha území (ha);Karlovarský kraj;Nezemědělská půda;206247.429
2023;Plocha území (ha);Karlovarský kraj;Lesní pozemek;145271.4368
2023;Plocha území (ha);Karlovarský kraj;Vodní plocha;7775.4515
2023;Plocha území (ha);Karlovarský kraj;Zastavěná plocha a nádvoří;3095.3338
2023;Plocha území (ha);Karlovarský kraj;Ostatní plocha;50105.2069
2023;Plocha území (ha);Ústecký kraj;Celková výměra;533869.8004
2023;Plocha území (ha);Ústecký kraj;Zemědělská půda;274427.1364
2023;Plocha území (ha);Ústecký kraj;Orná půda;178466.3331
2023;Plocha území (ha);Ústecký kraj;Chmelnice;4872.9935
2023;Plocha území (ha);Ústecký kraj;Vinice;434.5145
2023;Plocha území (ha);Ústecký kraj;Zahrada;10291.3132
2023;Plocha území (ha);Ústecký kraj;Ovocný sad;5115.7123
2023;Plocha území (ha);Ústecký kraj;Trvalý travní porost;75246.2698
2023;Plocha území (ha);Ústecký kraj;Nezemědělská půda;259442.664
2023;Plocha území (ha);Ústecký kraj;Lesní pozemek;164750.3218
2023;Plocha území (ha);Ústecký kraj;Vodní plocha;10642.6571
2023;Plocha území (ha);Ústecký kraj;Zastavěná plocha a nádvoří;9399.5091
2023;Plocha území (ha);Ústecký kraj;Ostatní plocha;74650.176
2023;Plocha území (ha);Liberecký kraj;Celková výměra;316342.6396
2023;Plocha území (ha);Liberecký kraj;Zemědělská půda;139242.8396
2023;Plocha území (ha);Liberecký kraj;Orná půda;61103.0237
2023;Plocha území (ha);Liberecký kraj;Chmelnice;27.2645
2023;Plocha území (ha);Liberecký kraj;Vinice;0.0
2023;Plocha území (ha);Liberecký kraj;Zahrada;8016.1799
2023;Plocha území (ha);Liberecký kraj;Ovocný sad;1478.2443
2023;Plocha území (ha);Liberecký kraj;Trvalý travní porost;68618.1272
2023;Plocha území (ha);Liberecký kraj;Nezemědělská půda;177099.8
2023;Plocha území (ha);Liberecký kraj;Lesní pozemek;141574.3133
2023;Plocha území (ha);Liberecký kraj;Vodní plocha;4856.2959
2023;Plocha území (ha);Liberecký kraj;Zastavěná plocha a nádvoří;5281.2777
2023;Plocha území (ha);Liberecký kraj;Ostatní plocha;25387.9131
2023;Plocha území (ha);Královéhradecký kraj;Celková výměra;475914.6617
2023;Plocha území (ha);Královéhradecký kraj;Zemědělská půda;275998.7704
2023;Plocha území (ha);Královéhradecký kraj;Orná půda;182839.3009
2023;Plocha území (ha);Královéhradecký kraj;Chmelnice;0.0
2023;Plocha území (ha);Královéhradecký kraj;Vinice;2.2704
2023;Plocha území (ha);Královéhradecký kraj;Zahrada;13177.4146
2023;Plocha území (ha);Královéhradecký kraj;Ovocný sad;4028.8139
2023;Plocha území (ha);Královéhradecký kraj;Trvalý travní porost;75950.9706
2023;Plocha území (ha);Královéhradecký kraj;Nezemědělská půda;199915.8913
2023;Plocha území (ha);Královéhradecký kraj;Lesní pozemek;148747.4061
2023;Plocha území (ha);Královéhradecký kraj;Vodní plocha;7938.8223
2023;Plocha území (ha);Královéhradecký kraj;Zastavěná plocha a nádvoří;9270.6035
2023;Plocha území (ha);Královéhradecký kraj;Ostatní plocha;33959.0594
2023;Plocha území (ha);Pardubický kraj;Celková výměra;451927.2829
2023;Plocha území (ha);Pardubický kraj;Zemědělská půda;269498.4136
2023;Plocha území (ha);Pardubický kraj;Orná půda;191620.2087
2023;Plocha území (ha);Pardubický kraj;Chmelnice;0.0
2023;Plocha území (ha);Pardubický kraj;Vinice;0.0559
2023;Plocha území (ha);Pardubický kraj;Zahrada;12180.9413
2023;Plocha území (ha);Pardubický kraj;Ovocný sad;1854.346
2023;Plocha území (ha);Pardubický kraj;Trvalý travní porost;63842.8617
2023;Plocha území (ha);Pardubický kraj;Nezemědělská půda;182428.8693
2023;Plocha území (ha);Pardubický kraj;Lesní pozemek;135021.4664
2023;Plocha území (ha);Pardubický kraj;Vodní plocha;6860.5025
2023;Plocha území (ha);Pardubický kraj;Zastavěná plocha a nádvoří;7461.1653
2023;Plocha území (ha);Pardubický kraj;Ostatní plocha;33085.7351
2023;Plocha území (ha);Kraj Vysočina;Celková výměra;679577.256
2023;Plocha území (ha);Kraj Vysočina;Zemědělská půda;407021.5431
2023;Plocha území (ha);Kraj Vysočina;Orná půda;312402.7264
2023;Plocha území (ha);Kraj Vysočina;Chmelnice;0.0993
2023;Plocha území (ha);Kraj Vysočina;Vinice;6.3757
