Ukazatel,Území,Roky (ČR),Věk (roky),Pohlaví,value
Naděje dožití (ex),Česko,2024,45,muži,33.7938937877
Naděje dožití (ex),Česko,2024,45,ženy,39.0173165956
Naděje dožití (ex),Česko,2024,46,muži,32.8753244735
Naděje dožití (ex),Česko,2024,46,ženy,38.0590152347
Naděje dožití (ex),Česko,2024,47,muži,31.9603195586
Naděje dožití (ex),Česko,2024,47,ženy,37.1038451633
Naděje dožití (ex),Česko,2024,48,muži,31.0497291625
Naděje dožití (ex),Česko,2024,48,ženy,36.1520697448
Naděje dožití (ex),Česko,2024,49,muži,30.1444905645
Naděje dožití (ex),Česko,2024,49,ženy,35.2039830236
Naděje dožití (ex),Česko,2024,50,muži,29.245633603
Naděje dožití (ex),Česko,2024,50,ženy,34.2599114567
Naděje dožití (ex),Česko,2024,51,muži,28.3541923394
Naděje dožití (ex),Česko,2024,51,ženy,33.3201890252
Naděje dožití (ex),Česko,2024,52,muži,27.471134365
Naděje dožití (ex),Česko,2024,52,ženy,32.3851373982
Naděje dožití (ex),Česko,2024,53,muži,26.5973307844
Naděje dožití (ex),Česko,2024,53,ženy,31.4550517785
Naděje dožití (ex),Česko,2024,54,muži,25.7335704729
Naděje dožití (ex),Česko,2024,54,ženy,30.5301673331
Naděje dožití (ex),Česko,2024,55,muži,24.8805366986
Naděje dožití (ex),Česko,2024,55,ženy,29.6106309506
Naděje dožití (ex),Česko,2024,56,muži,24.0387591914
Naděje dožití (ex),Česko,2024,56,ženy,28.6965099601
Naděje dožití (ex),Česko,2024,57,muži,23.2085621388
Naděje dožití (ex),Česko,2024,57,ženy,27.7878894328
Naděje dožití (ex),Česko,2024,58,muži,22.3900042339
Naděje dožití (ex),Česko,2024,58,ženy,26.8849065438
Naděje dožití (ex),Česko,2024,59,muži,21.5829345931
Naděje dožití (ex),Česko,2024,59,ženy,25.9877842877
Naděje dožití (ex),Česko,2024,60,muži,20.7872163257
Naděje dožití (ex),Česko,2024,60,ženy,25.0968904197
Naděje dožití (ex),Česko,2024,61,muži,20.0027874907
Naděje dožití (ex),Česko,2024,61,ženy,24.2127739962
Naděje dožití (ex),Česko,2024,62,muži,19.229779092
Naděje dožití (ex),Česko,2024,62,ženy,23.3360926521
Naděje dožití (ex),Česko,2024,63,muži,18.4686860778
Naděje dožití (ex),Česko,2024,63,ženy,22.4674709094
Naděje dožití (ex),Česko,2024,64,muži,17.7204377698
