Stát;Roky;Odvětví ekonomické činnosti;Ukazatel;value
Česko;2023;Celkem;Náklady práce celkem;713414.1881813844
Česko;2023;Celkem;Přímé náklady celkem;513628.5720093306
Česko;2023;Celkem;Přímé náklady - mzdy za vykonanou práci;455790.1519243921
Česko;2023;Celkem;Přímé náklady - náhrady mzdy;57838.4200849385
Česko;2023;Celkem;Nepřímé náklady - sociální požitky;8128.1492341359
Česko;2023;Celkem;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;175810.4806011478
Česko;2023;Celkem;Nepřímé náklady - sociální náklady/výdaje - ostatní;10189.5874253466
Česko;2023;Celkem;Nepřímé náklady - personální náklady/výdaje;6879.5214981336
Česko;2023;Celkem;Nepřímé náklady - daně a dotace;-1222.1225867102
Česko;2023;A - Zemědělství, lesnictví, rybářství;Náklady práce celkem;555214.9413713813
Česko;2023;A - Zemědělství, lesnictví, rybářství;Přímé náklady celkem;394973.5460146341
Česko;2023;A - Zemědělství, lesnictví, rybářství;Přímé náklady - mzdy za vykonanou práci;352330.5978412089
Česko;2023;A - Zemědělství, lesnictví, rybářství;Přímé náklady - náhrady mzdy;42642.9481734251
Česko;2023;A - Zemědělství, lesnictví, rybářství;Nepřímé náklady - sociální požitky;9776.2980928014
Česko;2023;A - Zemědělství, lesnictví, rybářství;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;138297.3878002511
Česko;2023;A - Zemědělství, lesnictví, rybářství;Nepřímé náklady - sociální náklady/výdaje - ostatní;6560.9667771939
Česko;2023;A - Zemědělství, lesnictví, rybářství;Nepřímé náklady - personální náklady/výdaje;5424.3110484698
Česko;2023;A - Zemědělství, lesnictví, rybářství;Nepřímé náklady - daně a dotace;182.431638031
Česko;2023;B - Těžba a dobývání;Náklady práce celkem;813734.6897639105
Česko;2023;B - Těžba a dobývání;Přímé náklady celkem;567885.637252199
Česko;2023;B - Těžba a dobývání;Přímé náklady - mzdy za vykonanou práci;493736.2271044596
Česko;2023;B - Těžba a dobývání;Přímé náklady - náhrady mzdy;74149.4101477394
Česko;2023;B - Těžba a dobývání;Nepřímé náklady - sociální požitky;18929.6818336263
Česko;2023;B - Těžba a dobývání;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;198622.2927896866
Česko;2023;B - Těžba a dobývání;Nepřímé náklady - sociální náklady/výdaje - ostatní;23123.0097014413
Česko;2023;B - Těžba a dobývání;Nepřímé náklady - personální náklady/výdaje;5170.0689918489
Česko;2023;B - Těžba a dobývání;Nepřímé náklady - daně a dotace;3.9991951083
Česko;2023;C - Zpracovatelský průmysl;Náklady práce celkem;702088.4650509387
Česko;2023;C - Zpracovatelský průmysl;Přímé náklady celkem;500135.3714703865
Česko;2023;C - Zpracovatelský průmysl;Přímé náklady - mzdy za vykonanou práci;439372.1875742638
Česko;2023;C - Zpracovatelský průmysl;Přímé náklady - náhrady mzdy;60763.1838961227
Česko;2023;C - Zpracovatelský průmysl;Nepřímé náklady - sociální požitky;8095.2874122333
Česko;2023;C - Zpracovatelský průmysl;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;171634.8193796277
Česko;2023;C - Zpracovatelský průmysl;Nepřímé náklady - sociální náklady/výdaje - ostatní;13570.8708580764
Česko;2023;C - Zpracovatelský průmysl;Nepřímé náklady - personální náklady/výdaje;8834.2493108863
Česko;2023;C - Zpracovatelský průmysl;Nepřímé náklady - daně a dotace;-182.1333802716
Česko;2023;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Náklady práce celkem;1157830.3138253675
Česko;2023;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Přímé náklady celkem;810996.3121424033
Česko;2023;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Přímé náklady - mzdy za vykonanou práci;722762.4603416708
Česko;2023;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Přímé náklady - náhrady mzdy;88233.8518007325
Česko;2023;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Nepřímé náklady - sociální požitky;25614.2857129144
Česko;2023;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;277368.2946405614
Česko;2023;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Nepřímé náklady - sociální náklady/výdaje - ostatní;31692.1323547065
Česko;2023;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Nepřímé náklady - personální náklady/výdaje;12183.042628951
Česko;2023;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Nepřímé náklady - daně a dotace;-23.7536541689
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Náklady práce celkem;651574.9232100762
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Přímé náklady celkem;463530.1829191791
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Přímé náklady - mzdy za vykonanou práci;412720.7065053474
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Přímé náklady - náhrady mzdy;50809.4764138317
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Nepřímé náklady - sociální požitky;10667.5739974818
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;161406.4735053679
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Nepřímé náklady - sociální náklady/výdaje - ostatní;10616.7421045035
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Nepřímé náklady - personální náklady/výdaje;6077.1100548002
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Nepřímé náklady - daně a dotace;-723.1593712564
Česko;2023;F - Stavebnictví;Náklady práce celkem;597687.5713789206
Česko;2023;F - Stavebnictví;Přímé náklady celkem;433067.5199085252
Česko;2023;F - Stavebnictví;Přímé náklady - mzdy za vykonanou práci;389328.7499714944
Česko;2023;F - Stavebnictví;Přímé náklady - náhrady mzdy;43738.7699370308
Česko;2023;F - Stavebnictví;Nepřímé náklady - sociální požitky;5711.4796372347
Česko;2023;F - Stavebnictví;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;148277.0044582791
Česko;2023;F - Stavebnictví;Nepřímé náklady - sociální náklady/výdaje - ostatní;6104.0832734207
Česko;2023;F - Stavebnictví;Nepřímé náklady - personální náklady/výdaje;4513.5554969378
Česko;2023;F - Stavebnictví;Nepřímé náklady - daně a dotace;13.9286045232
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Náklady práce celkem;666922.077464279
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Přímé náklady celkem;482647.3929486791
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Přímé náklady - mzdy za vykonanou práci;434853.8370399619
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Přímé náklady - náhrady mzdy;47793.5559087173
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Nepřímé náklady - sociální požitky;7541.0148506866
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;164951.2671784123
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Nepřímé náklady - sociální náklady/výdaje - ostatní;8106.3348758283
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Nepřímé náklady - personální náklady/výdaje;4176.5816640803
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Nepřímé náklady - daně a dotace;-500.5140534077
Česko;2023;H - Doprava a skladování;Náklady práce celkem;649776.1440763331
Česko;2023;H - Doprava a skladování;Přímé náklady celkem;462496.3653970689
Česko;2023;H - Doprava a skladování;Přímé náklady - mzdy za vykonanou práci;411167.0313859894
Česko;2023;H - Doprava a skladování;Přímé náklady - náhrady mzdy;51329.3340110795
Česko;2023;H - Doprava a skladování;Nepřímé náklady - sociální požitky;9430.8856591903
Česko;2023;H - Doprava a skladování;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;160720.7049386079
Česko;2023;H - Doprava a skladování;Nepřímé náklady - sociální náklady/výdaje - ostatní;11542.3341756546
Česko;2023;H - Doprava a skladování;Nepřímé náklady - personální náklady/výdaje;5685.7884760845
Česko;2023;H - Doprava a skladování;Nepřímé náklady - daně a dotace;-99.934570273
Česko;2023;I - Ubytování, stravování a pohostinství;Náklady práce celkem;402981.4807063201
Česko;2023;I - Ubytování, stravování a pohostinství;Přímé náklady celkem;294045.5442092578
