Typ indexu;Ukazatel;Očištění;Území;Odvětví (NACE);Čtvrtletí;value
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46 Velkoobchod, kromě motorových vozidel;4. čtvrtletí 2024;97.9398080386
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;1. čtvrtletí 2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2. čtvrtletí 2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;3. čtvrtletí 2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;4. čtvrtletí 2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;1. čtvrtletí 2016;101.49539474
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2. čtvrtletí 2016;109.6252975906
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;3. čtvrtletí 2016;103.4325843812
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;4. čtvrtletí 2016;98.5183758898
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;1. čtvrtletí 2017;100.5324664156
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2. čtvrtletí 2017;99.9053409469
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;3. čtvrtletí 2017;96.3427744183
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;4. čtvrtletí 2017;98.3564473354
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;1. čtvrtletí 2018;104.0102327077
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2. čtvrtletí 2018;101.9348054509
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;3. čtvrtletí 2018;103.4753629324
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;4. čtvrtletí 2018;94.4315402166
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;1. čtvrtletí 2019;89.3495448909
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2. čtvrtletí 2019;91.5704220863
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;3. čtvrtletí 2019;99.8655736628
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;4. čtvrtletí 2019;106.1068643877
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;1. čtvrtletí 2020;104.2436381139
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2. čtvrtletí 2020;94.4152205678
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;3. čtvrtletí 2020;99.0653126462
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;4. čtvrtletí 2020;99.9019442699
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;1. čtvrtletí 2021;101.2095109308
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2. čtvrtletí 2021;106.6099590194
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;3. čtvrtletí 2021;98.5736274273
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;4. čtvrtletí 2021;98.4907168943
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;1. čtvrtletí 2022;95.1860616483
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2. čtvrtletí 2022;94.6159504052
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;3. čtvrtletí 2022;92.1593496725
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;4. čtvrtletí 2022;96.5962022527
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;1. čtvrtletí 2023;100.9857615533
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2. čtvrtletí 2023;106.0090105022
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;3. čtvrtletí 2023;107.1425495837
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;4. čtvrtletí 2023;107.7672377099
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;1. čtvrtletí 2024;105.915034017
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2. čtvrtletí 2024;104.4011915499
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;3. čtvrtletí 2024;107.3771595135
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;4. čtvrtletí 2024;101.1363575748
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;1. čtvrtletí 2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2. čtvrtletí 2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;3. čtvrtletí 2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;4. čtvrtletí 2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;1. čtvrtletí 2016;88.3266344339
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2. čtvrtletí 2016;101.4833482386
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;3. čtvrtletí 2016;102.5940280475
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;4. čtvrtletí 2016;107.9438422766
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;1. čtvrtletí 2017;116.5267825009
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2. čtvrtletí 2017;86.6309706172
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;3. čtvrtletí 2017;85.3700428571
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;4. čtvrtletí 2017;86.9423123708
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;1. čtvrtletí 2018;76.4220910684
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2. čtvrtletí 2018;99.8170143483
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;3. čtvrtletí 2018;97.4024765604
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;4. čtvrtletí 2018;94.2462521968
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;1. čtvrtletí 2019;100.5812123852
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2. čtvrtletí 2019;87.6014988324
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;3. čtvrtletí 2019;96.8053763936
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;4. čtvrtletí 2019;104.8129048512
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;1. čtvrtletí 2020;111.2836472407
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2. čtvrtletí 2020;103.6680734765
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;3. čtvrtletí 2020;101.4554901214
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;4. čtvrtletí 2020;109.0244713617
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;1. čtvrtletí 2021;103.3560772692
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2. čtvrtletí 2021;95.4708410488
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;3. čtvrtletí 2021;96.7839874388
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;4. čtvrtletí 2021;90.9121825022
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;1. čtvrtletí 2022;85.4977052495
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2. čtvrtletí 2022;82.4258999296
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;3. čtvrtletí 2022;90.8133736723
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;4. čtvrtletí 2022;91.3907713333
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;1. čtvrtletí 2023;93.479393409
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2. čtvrtletí 2023;121.1854546884
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;3. čtvrtletí 2023;107.1079373755
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;4. čtvrtletí 2023;102.773602464
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;1. čtvrtletí 2024;116.2644846094
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2. čtvrtletí 2024;109.5467410036
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;3. čtvrtletí 2024;100.9722991539
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;4. čtvrtletí 2024;101.2340021029
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;1. čtvrtletí 2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2. čtvrtletí 2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;3. čtvrtletí 2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;4. čtvrtletí 2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;1. čtvrtletí 2016;113.9122870825
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2. čtvrtletí 2016;101.8507693063
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;3. čtvrtletí 2016;98.964466788
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;4. čtvrtletí 2016;90.1031522573
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;1. čtvrtletí 2017;88.6902717911
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2. čtvrtletí 2017;100.7532761716
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;3. čtvrtletí 2017;97.4955449442
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;4. čtvrtletí 2017;99.4885804253
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;1. čtvrtletí 2018;98.4086035999
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2. čtvrtletí 2018;99.2746729113
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;3. čtvrtletí 2018;102.6915986633
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;4. čtvrtletí 2018;100.2146076365
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;1. čtvrtletí 2019;99.9931259562
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2. čtvrtletí 2019;99.0058375504
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;3. čtvrtletí 2019;99.2002926214
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;4. čtvrtletí 2019;102.4587941746
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;1. čtvrtletí 2020;98.2467257669
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2. čtvrtletí 2020;85.8291370174
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;3. čtvrtletí 2020;98.7706750489
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;4. čtvrtletí 2020;88.4661463958
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;1. čtvrtletí 2021;91.7347145895
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2. čtvrtletí 2021;107.0336559056
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;3. čtvrtletí 2021;101.8356185036
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;4. čtvrtletí 2021;107.6606611446
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;1. čtvrtletí 2022;111.5871949471
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2. čtvrtletí 2022;105.2124757634
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;3. čtvrtletí 2022;94.5419823832
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;4. čtvrtletí 2022;94.4452654217
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;1. čtvrtletí 2023;91.4876196731
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2. čtvrtletí 2023;90.2336166925
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;3. čtvrtletí 2023;92.0862666802
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;4. čtvrtletí 2023;96.66169311
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;1. čtvrtletí 2024;100.2940168773
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2. čtvrtletí 2024;101.9093730412
