Rok sčítání;Pohlaví;Území;Ukazatel;value
2021;Celkem;Česká republika;Zaměstnaní vč. pracujících žáků a studentů;5290071
2021;Celkem;Česká republika;Místo pracoviště - na adrese obvyklého pobytu;1011538
2021;Celkem;Česká republika;Místo pracoviště - na jiné adrese v obci;1539021
2021;Celkem;Česká republika;Místo pracoviště - v jiné obci okresu;1110573
2021;Celkem;Česká republika;Místo pracoviště - v jiném okrese kraje;486879
2021;Celkem;Česká republika;Místo pracoviště - v jiném kraji;431973
2021;Celkem;Česká republika;Místo pracoviště - v zahraničí;74198
2021;Celkem;Česká republika;Nepracující žáci a studenti;1465320
2021;Celkem;Česká republika;Místo školy - na jiné adrese v obci;871068
2021;Celkem;Česká republika;Místo školy - mimo obec;559831
2021;Celkem;Hlavní město Praha;Zaměstnaní vč. pracujících žáků a studentů;733840
2021;Celkem;Hlavní město Praha;Místo pracoviště - na adrese obvyklého pobytu;141946
2021;Celkem;Hlavní město Praha;Místo pracoviště - na jiné adrese v obci;447273
2021;Celkem;Hlavní město Praha;Místo pracoviště - v jiné obci okresu;0
2021;Celkem;Hlavní město Praha;Místo pracoviště - v jiném okrese kraje;0
2021;Celkem;Hlavní město Praha;Místo pracoviště - v jiném kraji;45072
2021;Celkem;Hlavní město Praha;Místo pracoviště - v zahraničí;4076
2021;Celkem;Hlavní město Praha;Nepracující žáci a studenti;167620
2021;Celkem;Hlavní město Praha;Místo školy - na jiné adrese v obci;156189
2021;Celkem;Hlavní město Praha;Místo školy - mimo obec;7529
2021;Celkem;Středočeský kraj;Zaměstnaní vč. pracujících žáků a studentů;726887
2021;Celkem;Středočeský kraj;Místo pracoviště - na adrese obvyklého pobytu;129193
2021;Celkem;Středočeský kraj;Místo pracoviště - na jiné adrese v obci;95086
2021;Celkem;Středočeský kraj;Místo pracoviště - v jiné obci okresu;159920
2021;Celkem;Středočeský kraj;Místo pracoviště - v jiném okrese kraje;60712
