Území,Měsíce,Ukazatel,value
Česko,červen 2024,Podnikatelé,9.0
Česko,červen 2024,Podnikatelé - průmysl,-4.3
Česko,červen 2024,Podnikatelé - stavebnictví,-13.5
Česko,červen 2024,Podnikatelé - obchod,10.3
Česko,červen 2024,Podnikatelé - služby,30.3
Česko,červen 2024,Spotřebitelé,-9.5
Česko,květen 2024,Souhrnný indikátor,3.6
Česko,květen 2024,Podnikatelé,6.8
Česko,květen 2024,Podnikatelé - průmysl,-8.7
Česko,květen 2024,Podnikatelé - stavebnictví,-14.0
Česko,květen 2024,Podnikatelé - obchod,11.3
Česko,květen 2024,Podnikatelé - služby,30.1
Česko,květen 2024,Spotřebitelé,-9.0
Česko,duben 2024,Souhrnný indikátor,4.2
Česko,duben 2024,Podnikatelé,7.0
Česko,duben 2024,Podnikatelé - průmysl,-6.7
Česko,duben 2024,Podnikatelé - stavebnictví,-13.0
Česko,duben 2024,Podnikatelé - obchod,7.0
Česko,duben 2024,Podnikatelé - služby,28.7
Česko,duben 2024,Spotřebitelé,-7.0
Česko,březen 2024,Souhrnný indikátor,1.2
Česko,březen 2024,Podnikatelé,4.1
Česko,březen 2024,Podnikatelé - průmysl,-10.3
Česko,březen 2024,Podnikatelé - stavebnictví,-11.0
Česko,březen 2024,Podnikatelé - obchod,7.3
Česko,březen 2024,Podnikatelé - služby,25.3
Česko,březen 2024,Spotřebitelé,-10.5
Česko,únor 2024,Souhrnný indikátor,-2.6
Česko,únor 2024,Podnikatelé,0.7
Česko,únor 2024,Podnikatelé - průmysl,-14.0
Česko,únor 2024,Podnikatelé - stavebnictví,-7.0
Česko,únor 2024,Podnikatelé - obchod,1.7
Česko,únor 2024,Podnikatelé - služby,21.3
Česko,únor 2024,Spotřebitelé,-15.8
Česko,leden 2024,Souhrnný indikátor,-0.6
Česko,leden 2024,Podnikatelé,3.8
Česko,leden 2024,Podnikatelé - průmysl,-9.3
Česko,leden 2024,Podnikatelé - stavebnictví,-9.0
Česko,leden 2024,Podnikatelé - obchod,6.0
Česko,leden 2024,Podnikatelé - služby,23.0
Česko,leden 2024,Spotřebitelé,-18.3
Česko,prosinec 2023,Souhrnný indikátor,0.8
Česko,prosinec 2023,Podnikatelé,6.8
Česko,prosinec 2023,Podnikatelé - průmysl,-3.7
Česko,prosinec 2023,Podnikatelé - stavebnictví,-15.5
Česko,prosinec 2023,Podnikatelé - obchod,6.3
Česko,prosinec 2023,Podnikatelé - služby,24.7
Česko,prosinec 2023,Spotřebitelé,-23.5
Česko,listopad 2023,Souhrnný indikátor,0.4
Česko,listopad 2023,Podnikatelé,5.0
Česko,listopad 2023,Podnikatelé - průmysl,-6.0
Česko,listopad 2023,Podnikatelé - stavebnictví,-11.0
Česko,listopad 2023,Podnikatelé - obchod,3.3
Česko,listopad 2023,Podnikatelé - služby,22.7
Česko,listopad 2023,Spotřebitelé,-18.3
Česko,říjen 2023,Souhrnný indikátor,1e-06
Česko,říjen 2023,Podnikatelé,4.2
Česko,říjen 2023,Podnikatelé - průmysl,-5.7
Česko,říjen 2023,Podnikatelé - stavebnictví,-16.5
Česko,říjen 2023,Podnikatelé - obchod,3.0
Česko,říjen 2023,Podnikatelé - služby,21.0
Česko,říjen 2023,Spotřebitelé,-16.5
Česko,září 2023,Souhrnný indikátor,-3.8
Česko,září 2023,Podnikatelé,0.4
Česko,září 2023,Podnikatelé - průmysl,-14.7
Česko,září 2023,Podnikatelé - stavebnictví,-16.0
Česko,září 2023,Podnikatelé - obchod,4.3
Česko,září 2023,Podnikatelé - služby,22.7
Česko,září 2023,Spotřebitelé,-20.5
Česko,srpen 2023,Souhrnný indikátor,0.8
Česko,srpen 2023,Podnikatelé,5.5
Česko,srpen 2023,Podnikatelé - průmysl,-7.0
Česko,srpen 2023,Podnikatelé - stavebnictví,-16.5
Česko,srpen 2023,Podnikatelé - obchod,5.7
Česko,srpen 2023,Podnikatelé - služby,25.7
Česko,srpen 2023,Spotřebitelé,-18.0
Česko,červenec 2023,Souhrnný indikátor,-1.4
Česko,červenec 2023,Podnikatelé,2.3
Česko,červenec 2023,Podnikatelé - průmysl,-10.7
Česko,červenec 2023,Podnikatelé - stavebnictví,-17.5
