Území,Roky,Druh cesty ,Cílový kraj,Ukazatel,value
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Hlavní město Praha,Počet cest (v tis.),198.28897131
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Hlavní město Praha,Počet přenocování (v tis.),1083.8809077
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Hlavní město Praha,Náklady (mil. Kč),751.105789
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Středočeský kraj,Počet cest (v tis.),1091.1526339
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Středočeský kraj,Počet přenocování (v tis.),10151.978096
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Středočeský kraj,Náklady (mil. Kč),3592.161776
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Jihočeský kraj,Počet cest (v tis.),1052.8532795
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Jihočeský kraj,Počet přenocování (v tis.),7115.3399765
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Jihočeský kraj,Náklady (mil. Kč),5778.2641748
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Plzeňský kraj,Počet cest (v tis.),489.72349189
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Plzeňský kraj,Počet přenocování (v tis.),4052.1743861
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Plzeňský kraj,Náklady (mil. Kč),1991.2845471
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Karlovarský kraj,Počet cest (v tis.),281.53105584
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Karlovarský kraj,Počet přenocování (v tis.),1985.1691794
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Karlovarský kraj,Náklady (mil. Kč),2155.8820696
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Ústecký kraj,Počet cest (v tis.),406.8572722
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Ústecký kraj,Počet přenocování (v tis.),2934.1968263
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Ústecký kraj,Náklady (mil. Kč),1808.3598203
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Liberecký kraj,Počet cest (v tis.),770.35956912
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Liberecký kraj,Počet přenocování (v tis.),4814.5770775
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Liberecký kraj,Náklady (mil. Kč),3915.6228819
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Královéhradecký kraj,Počet cest (v tis.),594.3723394
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Královéhradecký kraj,Počet přenocování (v tis.),4050.2670749
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Královéhradecký kraj,Náklady (mil. Kč),3410.1801392
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Pardubický kraj,Počet cest (v tis.),287.93687944
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Pardubický kraj,Počet přenocování (v tis.),2302.8732869
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Pardubický kraj,Náklady (mil. Kč),1552.7570133
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Kraj Vysočina,Počet cest (v tis.),272.69411245
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Kraj Vysočina,Počet přenocování (v tis.),2240.9651518
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Kraj Vysočina,Náklady (mil. Kč),987.303328
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Jihomoravský kraj,Počet cest (v tis.),508.91664599
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Jihomoravský kraj,Počet přenocování (v tis.),3280.3091394
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Jihomoravský kraj,Náklady (mil. Kč),2551.2227131
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Olomoucký kraj,Počet cest (v tis.),378.95160522
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Olomoucký kraj,Počet přenocování (v tis.),2714.9050779
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Olomoucký kraj,Náklady (mil. Kč),2250.2143351
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Zlínský kraj,Počet cest (v tis.),286.24105293
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Zlínský kraj,Počet přenocování (v tis.),2010.9890896
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Zlínský kraj,Náklady (mil. Kč),1586.8080798
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Moravskoslezský kraj,Počet cest (v tis.),222.45241347
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Moravskoslezský kraj,Počet přenocování (v tis.),1723.977915
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Moravskoslezský kraj,Náklady (mil. Kč),1004.6520596
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Hlavní město Praha,Počet cest (v tis.),918.37447938
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Hlavní město Praha,Počet přenocování (v tis.),1712.4299533
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Hlavní město Praha,Náklady (mil. Kč),2490.1845968
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Středočeský kraj,Počet cest (v tis.),2254.4437665
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Středočeský kraj,Počet přenocování (v tis.),4496.2586844
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Středočeský kraj,Náklady (mil. Kč),2371.9070088
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jihočeský kraj,Počet cest (v tis.),1330.3377329
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jihočeský kraj,Počet přenocování (v tis.),2809.0077482
