Rok sčítání,Území,Ukazatel,Druh domu,value
2021,Česká republika,Počet domů,Domy celkem,2317276
2021,Česká republika,Počet domů,Rodinné domy,2065723
2021,Česká republika,Počet domů,Bytové domy,209614
2021,Česká republika,Počet domů,Ostatní budovy,41939
2021,Česká republika,Počet obydlených domů,Domy celkem,1952668
2021,Česká republika,Počet obydlených domů,Rodinné domy,1709845
2021,Česká republika,Počet obydlených domů,Bytové domy,207540
2021,Česká republika,Počet obydlených domů,Ostatní budovy,35283
2021,Česká republika,Vlastník domu - fyzická osoba,Domy celkem,1716302
2021,Česká republika,Vlastník domu - fyzická osoba,Rodinné domy,1666996
2021,Česká republika,Vlastník domu - fyzická osoba,Bytové domy,34130
2021,Česká republika,Vlastník domu - fyzická osoba,Ostatní budovy,15176
2021,Česká republika,"Vlastník domu - obec, stát",Domy celkem,31443
2021,Česká republika,"Vlastník domu - obec, stát",Rodinné domy,6987
2021,Česká republika,"Vlastník domu - obec, stát",Bytové domy,15874
2021,Česká republika,"Vlastník domu - obec, stát",Ostatní budovy,8582
2021,Česká republika,Vlastník domu - bytové družstvo,Domy celkem,13230
2021,Česká republika,Vlastník domu - bytové družstvo,Rodinné domy,868
2021,Česká republika,Vlastník domu - bytové družstvo,Bytové domy,12124
2021,Česká republika,Vlastník domu - bytové družstvo,Ostatní budovy,238
2021,Česká republika,Vlastník domu - jiná právnická osoba,Domy celkem,35765
2021,Česká republika,Vlastník domu - jiná právnická osoba,Rodinné domy,13825
2021,Česká republika,Vlastník domu - jiná právnická osoba,Bytové domy,12063
2021,Česká republika,Vlastník domu - jiná právnická osoba,Ostatní budovy,9877
2021,Česká republika,Vlastník domu - spoluvlastnictví vlastníků bytů,Domy celkem,144128
2021,Česká republika,Vlastník domu - spoluvlastnictví vlastníků bytů,Rodinné domy,11670
2021,Česká republika,Vlastník domu - spoluvlastnictví vlastníků bytů,Bytové domy,131864
2021,Česká republika,Vlastník domu - spoluvlastnictví vlastníků bytů,Ostatní budovy,594
2021,Česká republika,Období výstavby nebo rekonstrukce - 1919 a dříve,Domy celkem,195896
2021,Česká republika,Období výstavby nebo rekonstrukce - 1919 a dříve,Rodinné domy,169714
2021,Česká republika,Období výstavby nebo rekonstrukce - 1919 a dříve,Bytové domy,21636
2021,Česká republika,Období výstavby nebo rekonstrukce - 1919 a dříve,Ostatní budovy,4546
2021,Česká republika,Období výstavby nebo rekonstrukce - 2016 a později,Domy celkem,108849
2021,Česká republika,Období výstavby nebo rekonstrukce - 2016 a později,Rodinné domy,102600
2021,Česká republika,Období výstavby nebo rekonstrukce - 2016 a později,Bytové domy,4520
2021,Česká republika,Období výstavby nebo rekonstrukce - 2016 a později,Ostatní budovy,1729
