Území;Ukazatel;Typ indexu;Očištění;Typ ceny;Odvětví (NACE);Měsíce;value
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;leden 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;únor 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;březen 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;duben 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;květen 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;červen 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;červenec 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;srpen 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;září 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;říjen 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;listopad 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;prosinec 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;leden 2001;108.046581903
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;únor 2001;107.2137333021
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;březen 2001;108.7101775119
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;duben 2001;106.6505207687
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;květen 2001;106.842609666
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;červen 2001;107.0834453343
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;červenec 2001;109.2950648249
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;srpen 2001;107.6995767563
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;září 2001;109.2575277934
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;říjen 2001;112.1880620339
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;listopad 2001;112.1072080417
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;prosinec 2001;106.8143798264
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;leden 2002;102.3917446436
Česko;Index tržeb bez DPH  (%);Meziroční index;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;únor 2002;102.4454973069
