Klasifikace CZ-CPA;Území;Ukazatel;Typ indexu;Měsíce;value
Úhrn celkem;Česko;Index vývozních cen (%);Meziměsíční index;leden 2024;101.0
Úhrn celkem;Česko;Index vývozních cen (%);Meziměsíční index;únor 2024;102.1
Úhrn celkem;Česko;Index vývozních cen (%);Meziměsíční index;březen 2024;100.1
Úhrn celkem;Česko;Index vývozních cen (%);Meziměsíční index;duben 2024;100.8
Úhrn celkem;Česko;Index vývozních cen (%);Meziměsíční index;květen 2024;98.7
Úhrn celkem;Česko;Index vývozních cen (%);Meziměsíční index;červen 2024;100.0
Úhrn celkem;Česko;Index vývozních cen (%);Meziměsíční index;červenec 2024;101.7
Úhrn celkem;Česko;Index vývozních cen (%);Meziměsíční index;srpen 2024;99.6
Úhrn celkem;Česko;Index vývozních cen (%);Meziměsíční index;září 2024;99.5
Úhrn celkem;Česko;Index vývozních cen (%);Meziměsíční index;říjen 2024;100.9
Úhrn celkem;Česko;Index vývozních cen (%);Meziměsíční index;listopad 2024;100.9
Úhrn celkem;Česko;Index vývozních cen (%);Meziměsíční index;prosinec 2024;99.6
Úhrn celkem;Česko;Index vývozních cen (%);Meziměsíční index;leden 2025;100.2
Úhrn celkem;Česko;Index vývozních cen (%);Meziměsíční index;únor 2025;100.2
Úhrn celkem;Česko;Index vývozních cen (%);Meziměsíční index;březen 2025;98.9
Úhrn celkem;Česko;Index vývozních cen (%);Meziroční index;leden 2024;98.8
Úhrn celkem;Česko;Index vývozních cen (%);Meziroční index;únor 2024;101.6
Úhrn celkem;Česko;Index vývozních cen (%);Meziroční index;březen 2024;101.8
Úhrn celkem;Česko;Index vývozních cen (%);Meziroční index;duben 2024;104.9
Úhrn celkem;Česko;Index vývozních cen (%);Meziroční index;květen 2024;103.3
Úhrn celkem;Česko;Index vývozních cen (%);Meziroční index;červen 2024;102.9
Úhrn celkem;Česko;Index vývozních cen (%);Meziroční index;červenec 2024;105.0
Úhrn celkem;Česko;Index vývozních cen (%);Meziroční index;srpen 2024;104.0
Úhrn celkem;Česko;Index vývozních cen (%);Meziroční index;září 2024;102.3
Úhrn celkem;Česko;Index vývozních cen (%);Meziroční index;říjen 2024;103.0
Úhrn celkem;Česko;Index vývozních cen (%);Meziroční index;listopad 2024;104.5
Úhrn celkem;Česko;Index vývozních cen (%);Meziroční index;prosinec 2024;104.9
Úhrn celkem;Česko;Index vývozních cen (%);Meziroční index;leden 2025;104.0
Úhrn celkem;Česko;Index vývozních cen (%);Meziroční index;únor 2025;102.1
Úhrn celkem;Česko;Index vývozních cen (%);Meziroční index;březen 2025;100.8
Úhrn celkem;Česko;Index vývozních cen (%);Bazický index (2015 = 100);leden 2024;117.0
Úhrn celkem;Česko;Index vývozních cen (%);Bazický index (2015 = 100);únor 2024;119.5
Úhrn celkem;Česko;Index vývozních cen (%);Bazický index (2015 = 100);březen 2024;119.6
Úhrn celkem;Česko;Index vývozních cen (%);Bazický index (2015 = 100);duben 2024;120.5
Úhrn celkem;Česko;Index vývozních cen (%);Bazický index (2015 = 100);květen 2024;118.9
Úhrn celkem;Česko;Index vývozních cen (%);Bazický index (2015 = 100);červen 2024;118.9
Úhrn celkem;Česko;Index vývozních cen (%);Bazický index (2015 = 100);červenec 2024;120.9
Úhrn celkem;Česko;Index vývozních cen (%);Bazický index (2015 = 100);srpen 2024;120.4
Úhrn celkem;Česko;Index vývozních cen (%);Bazický index (2015 = 100);září 2024;119.8
Úhrn celkem;Česko;Index vývozních cen (%);Bazický index (2015 = 100);říjen 2024;120.9
Úhrn celkem;Česko;Index vývozních cen (%);Bazický index (2015 = 100);listopad 2024;122.0
Úhrn celkem;Česko;Index vývozních cen (%);Bazický index (2015 = 100);prosinec 2024;121.5
Úhrn celkem;Česko;Index vývozních cen (%);Bazický index (2015 = 100);leden 2025;121.7
Úhrn celkem;Česko;Index vývozních cen (%);Bazický index (2015 = 100);únor 2025;122.0
Úhrn celkem;Česko;Index vývozních cen (%);Bazický index (2015 = 100);březen 2025;120.6
Úhrn celkem;Česko;Index vývozních cen (%);Podíl klouzavých průměrů;leden 2024;98.6
Úhrn celkem;Česko;Index vývozních cen (%);Podíl klouzavých průměrů;únor 2024;98.1
Úhrn celkem;Česko;Index vývozních cen (%);Podíl klouzavých průměrů;březen 2024;98.1
Úhrn celkem;Česko;Index vývozních cen (%);Podíl klouzavých průměrů;duben 2024;98.4
Úhrn celkem;Česko;Index vývozních cen (%);Podíl klouzavých průměrů;květen 2024;98.9
Úhrn celkem;Česko;Index vývozních cen (%);Podíl klouzavých průměrů;červen 2024;99.4
Úhrn celkem;Česko;Index vývozních cen (%);Podíl klouzavých průměrů;červenec 2024;100.2
Úhrn celkem;Česko;Index vývozních cen (%);Podíl klouzavých průměrů;srpen 2024;101.0
Úhrn celkem;Česko;Index vývozních cen (%);Podíl klouzavých průměrů;září 2024;101.5
