Roky;Území;Ukazatel;Právní forma;value
2023;Česko;Počet vzniklých ekonomických subjektů;Celkem;112759
2023;Česko;Počet vzniklých ekonomických subjektů;Fyzické osoby;78308
2023;Česko;Počet vzniklých ekonomických subjektů;Právnické osoby;34451
2023;Česko;Počet zaniklých ekonomických subjektů;Celkem;309787
2023;Česko;Počet zaniklých ekonomických subjektů;Fyzické osoby;289086
2023;Česko;Počet zaniklých ekonomických subjektů;Právnické osoby;20701
