Ukazatel,Institucionální sektor,"ČR, kraje",Čtvrtletí,value
Počet ekonomických subjektů celkem,Celkem,Česko,3. čtvrtletí 2025,2878988
Počet ekonomických subjektů celkem,Celkem,Česko,2. čtvrtletí 2025,2862930
Počet ekonomických subjektů celkem,Celkem,Česko,1. čtvrtletí 2025,2849594
Počet ekonomických subjektů celkem,Celkem,Česko,4. čtvrtletí 2024,2836017
Počet ekonomických subjektů celkem,Celkem,Česko,3. čtvrtletí 2024,2822454
Počet ekonomických subjektů celkem,Celkem,Česko,2. čtvrtletí 2024,2806060
Počet ekonomických subjektů celkem,Celkem,Česko,1. čtvrtletí 2024,2808176
Počet ekonomických subjektů celkem,Celkem,Česko,4. čtvrtletí 2023,2800294
Počet ekonomických subjektů celkem,Celkem,Česko,3. čtvrtletí 2023,2792581
Počet ekonomických subjektů celkem,Celkem,Česko,2. čtvrtletí 2023,2788905
Počet ekonomických subjektů celkem,Celkem,Česko,1. čtvrtletí 2023,2835015
Počet ekonomických subjektů celkem,Celkem,Česko,4. čtvrtletí 2022,2996841
Počet ekonomických subjektů celkem,Celkem,Česko,3. čtvrtletí 2022,3007473
Počet ekonomických subjektů celkem,Celkem,Česko,2. čtvrtletí 2022,2996348
Počet ekonomických subjektů celkem,Celkem,Česko,1. čtvrtletí 2022,2985170
Počet ekonomických subjektů celkem,Celkem,Česko,4. čtvrtletí 2021,2976264
Počet ekonomických subjektů celkem,Celkem,Česko,3. čtvrtletí 2021,2963419
Počet ekonomických subjektů celkem,Celkem,Česko,2. čtvrtletí 2021,2952752
Počet ekonomických subjektů celkem,Celkem,Česko,1. čtvrtletí 2021,2940814
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,3. čtvrtletí 2025,687339
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,2. čtvrtletí 2025,682141
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,1. čtvrtletí 2025,677479
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,4. čtvrtletí 2024,672224
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,3. čtvrtletí 2024,667456
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,2. čtvrtletí 2024,662642
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,1. čtvrtletí 2024,660279
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,4. čtvrtletí 2023,655855
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,3. čtvrtletí 2023,652281
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,2. čtvrtletí 2023,649952
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,1. čtvrtletí 2023,655170
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,4. čtvrtletí 2022,670392
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,3. čtvrtletí 2022,668865
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,2. čtvrtletí 2022,665192
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,1. čtvrtletí 2022,661357
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,4. čtvrtletí 2021,658390
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,3. čtvrtletí 2021,653692
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,2. čtvrtletí 2021,650849
Počet ekonomických subjektů celkem,Celkem,Hlavní město Praha,1. čtvrtletí 2021,647469
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,3. čtvrtletí 2025,352461
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,2. čtvrtletí 2025,349848
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,1. čtvrtletí 2025,348055
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,4. čtvrtletí 2024,345959
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,3. čtvrtletí 2024,343882
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,2. čtvrtletí 2024,341302
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,1. čtvrtletí 2024,341125
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,4. čtvrtletí 2023,339884
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,3. čtvrtletí 2023,338606
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,2. čtvrtletí 2023,337932
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,1. čtvrtletí 2023,343094
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,4. čtvrtletí 2022,362031
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,3. čtvrtletí 2022,363319
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,2. čtvrtletí 2022,361501
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,1. čtvrtletí 2022,359691
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,4. čtvrtletí 2021,358087
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,3. čtvrtletí 2021,356368
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,2. čtvrtletí 2021,354777
Počet ekonomických subjektů celkem,Celkem,Středočeský kraj,1. čtvrtletí 2021,352945
Počet ekonomických subjektů celkem,Celkem,Jihočeský kraj,3. čtvrtletí 2025,156331
Počet ekonomických subjektů celkem,Celkem,Jihočeský kraj,2. čtvrtletí 2025,155610
Počet ekonomických subjektů celkem,Celkem,Jihočeský kraj,1. čtvrtletí 2025,155065
Počet ekonomických subjektů celkem,Celkem,Jihočeský kraj,4. čtvrtletí 2024,154509
Počet ekonomických subjektů celkem,Celkem,Jihočeský kraj,3. čtvrtletí 2024,153877
Počet ekonomických subjektů celkem,Celkem,Jihočeský kraj,2. čtvrtletí 2024,153075
Počet ekonomických subjektů celkem,Celkem,Jihočeský kraj,1. čtvrtletí 2024,153498
Počet ekonomických subjektů celkem,Celkem,Jihočeský kraj,4. čtvrtletí 2023,153431
Počet ekonomických subjektů celkem,Celkem,Jihočeský kraj,3. čtvrtletí 2023,153286
Počet ekonomických subjektů celkem,Celkem,Jihočeský kraj,2. čtvrtletí 2023,153294
Počet ekonomických subjektů celkem,Celkem,Jihočeský kraj,1. čtvrtletí 2023,157942
Počet ekonomických subjektů celkem,Celkem,Jihočeský kraj,4. čtvrtletí 2022,169260
Počet ekonomických subjektů celkem,Celkem,Jihočeský kraj,3. čtvrtletí 2022,170067
Počet ekonomických subjektů celkem,Celkem,Jihočeský kraj,2. čtvrtletí 2022,169472
Počet ekonomických subjektů celkem,Celkem,Jihočeský kraj,1. čtvrtletí 2022,168948
