Roky,Právní forma,Území,Ukazatel,value
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,Přijaté transféry,8820388.59779
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,Výdaje celkem,21922041.77288
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,Běžné výdaje ,17886582.54877
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,Kapitalové výdaje ,4035459.22411
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,Saldo příjmů a výdajů ,1556181.62448
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,Příjmy celkem,58870277.23056
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,Daňové příjmy ,29697038.67965
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,Nedaňové příjmy ,4129218.97015
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,Kapitalové příjmy ,551386.73785
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,Přijaté transféry,24492632.84291
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,Výdaje celkem,58162313.13108
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,Běžné výdaje ,48681463.05881
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,Kapitalové výdaje ,9480850.07227
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,Saldo příjmů a výdajů ,707964.09948
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,Příjmy celkem,33378900.72938
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,Daňové příjmy ,16486732.36652
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,Nedaňové příjmy ,3166501.29143
