Ukazatel;Území;Druh dopravy;Roky;value
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2000;98255.0
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2001;97218.0
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2002;91988.67
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2003;93296.54
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2004;88842.96
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2005;85612.53
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2006;97491.36
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2007;99776.87
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2008;95073.02
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2009;76715.15
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2010;82899.81
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2011;87096.31
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2012;82968.23
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2013;83956.904
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2014;91564.03
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2015;97280.327
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2016;98033.526
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2017;96516.378
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2018;99306.722
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2019;98804.031
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2020;90901.552
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2021;99550.497
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2022;90796.658
Přepravené věci v nákladní dopravě (tis.tun);Česko;Železniční doprava;2023;83120.028
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2000;414724.69
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2001;438682.547
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2002;474882.518
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2003;447955.745
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2004;466033.919
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2005;461144.009
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2006;444573.694
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2007;453537.162
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2008;431854.765
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2009;370114.669
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2010;355910.782
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2011;349278.061
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2012;339313.75
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2013;351517.361
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2014;386243.324
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2015;438906.243
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2016;431888.887
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2017;459432.556
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2018;479235.39
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2019;504098.967
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2020;459703.206
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2021;500288.244
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2022;473687.896
Přepravené věci v nákladní dopravě (tis.tun);Česko;Silniční doprava;2023;433684.722
