Kumulace čtvrtletí,"ČR, kraje",Ukazatel,value
Q1-Q2 2025,Česko,Živě narození na 1 000 obyvatel,6.928889205
Q1-Q2 2025,Česko,Zemřelí na 1 000 obyvatel,10.684945
Q1-Q2 2025,Česko,Přirozený přírůstek/úbytek na 1 000 obyvatel,-3.756055794
Q1-Q2 2025,Česko,Přistěhovalí na 1 000 obyvatel,9.177006963
Q1-Q2 2025,Česko,Vystěhovalí na 1 000 obyvatel,10.44784317
Q1-Q2 2025,Česko,Přírůstek/úbytek stěhováním na 1 000 obyvatel,-1.270836204
Q1-Q2 2025,Česko,Celkový přírůstek/úbytek na 1 000 obyvatel,-5.026891997
Q1-Q2 2025,Česko,Sňatky na 1 000 obyvatel,3.208741105
Q1-Q2 2025,Česko,Rozvody na 1 000 obyvatel,1.922727423
Q1-Q2 2025,Hlavní město Praha,Živě narození na 1 000 obyvatel,7.579968488
Q1-Q2 2025,Hlavní město Praha,Zemřelí na 1 000 obyvatel,8.850990992
Q1-Q2 2025,Hlavní město Praha,Přirozený přírůstek/úbytek na 1 000 obyvatel,-1.271022504
Q1-Q2 2025,Hlavní město Praha,Přistěhovalí na 1 000 obyvatel,41.96826862
Q1-Q2 2025,Hlavní město Praha,Vystěhovalí na 1 000 obyvatel,42.1312942
Q1-Q2 2025,Hlavní město Praha,Přírůstek/úbytek stěhováním na 1 000 obyvatel,-0.163025588
Q1-Q2 2025,Hlavní město Praha,Celkový přírůstek/úbytek na 1 000 obyvatel,-1.434048092
Q1-Q2 2025,Hlavní město Praha,Sňatky na 1 000 obyvatel,3.624073247
Q1-Q2 2025,Hlavní město Praha,Rozvody na 1 000 obyvatel,1.692292165
Q1-Q2 2025,Středočeský kraj,Živě narození na 1 000 obyvatel,6.7381477
Q1-Q2 2025,Středočeský kraj,Zemřelí na 1 000 obyvatel,9.518097639
Q1-Q2 2025,Středočeský kraj,Přirozený přírůstek/úbytek na 1 000 obyvatel,-2.779949939
Q1-Q2 2025,Středočeský kraj,Přistěhovalí na 1 000 obyvatel,30.73480756
Q1-Q2 2025,Středočeský kraj,Vystěhovalí na 1 000 obyvatel,25.8815814
Q1-Q2 2025,Středočeský kraj,Přírůstek/úbytek stěhováním na 1 000 obyvatel,4.853226154
Q1-Q2 2025,Středočeský kraj,Celkový přírůstek/úbytek na 1 000 obyvatel,2.073276215
Q1-Q2 2025,Středočeský kraj,Sňatky na 1 000 obyvatel,3.116788581
Q1-Q2 2025,Středočeský kraj,Rozvody na 1 000 obyvatel,2.08564988
Q1-Q2 2025,Jihočeský kraj,Živě narození na 1 000 obyvatel,6.979124992
Q1-Q2 2025,Jihočeský kraj,Zemřelí na 1 000 obyvatel,11.19812659
Q1-Q2 2025,Jihočeský kraj,Přirozený přírůstek/úbytek na 1 000 obyvatel,-4.219001601
Q1-Q2 2025,Jihočeský kraj,Přistěhovalí na 1 000 obyvatel,14.85768549
Q1-Q2 2025,Jihočeský kraj,Vystěhovalí na 1 000 obyvatel,14.95659249
Q1-Q2 2025,Jihočeský kraj,Přírůstek/úbytek stěhováním na 1 000 obyvatel,-0.098906997
Q1-Q2 2025,Jihočeský kraj,Celkový přírůstek/úbytek na 1 000 obyvatel,-4.317908598
Q1-Q2 2025,Jihočeský kraj,Sňatky na 1 000 obyvatel,3.02902679
Q1-Q2 2025,Jihočeský kraj,Rozvody na 1 000 obyvatel,1.984321632
Q1-Q2 2025,Plzeňský kraj,Živě narození na 1 000 obyvatel,6.596467257
Q1-Q2 2025,Plzeňský kraj,Zemřelí na 1 000 obyvatel,11.14983917
Q1-Q2 2025,Plzeňský kraj,Přirozený přírůstek/úbytek na 1 000 obyvatel,-4.553371912
Q1-Q2 2025,Plzeňský kraj,Přistěhovalí na 1 000 obyvatel,23.74070211
Q1-Q2 2025,Plzeňský kraj,Vystěhovalí na 1 000 obyvatel,30.27794921
Q1-Q2 2025,Plzeňský kraj,Přírůstek/úbytek stěhováním na 1 000 obyvatel,-6.537247102
Q1-Q2 2025,Plzeňský kraj,Celkový přírůstek/úbytek na 1 000 obyvatel,-11.09061901
Q1-Q2 2025,Plzeňský kraj,Sňatky na 1 000 obyvatel,3.155118254
Q1-Q2 2025,Plzeňský kraj,Rozvody na 1 000 obyvatel,1.809504734
Q1-Q2 2025,Karlovarský kraj,Živě narození na 1 000 obyvatel,6.159975593
Q1-Q2 2025,Karlovarský kraj,Zemřelí na 1 000 obyvatel,12.07851877
Q1-Q2 2025,Karlovarský kraj,Přirozený přírůstek/úbytek na 1 000 obyvatel,-5.918543179
Q1-Q2 2025,Karlovarský kraj,Přistěhovalí na 1 000 obyvatel,20.57004168
Q1-Q2 2025,Karlovarský kraj,Vystěhovalí na 1 000 obyvatel,25.31591313
Q1-Q2 2025,Karlovarský kraj,Přírůstek/úbytek stěhováním na 1 000 obyvatel,-4.745871454
Q1-Q2 2025,Karlovarský kraj,Celkový přírůstek/úbytek na 1 000 obyvatel,-10.66441463
Q1-Q2 2025,Karlovarský kraj,Sňatky na 1 000 obyvatel,2.966169659
Q1-Q2 2025,Karlovarský kraj,Rozvody na 1 000 obyvatel,2.248770485
Q1-Q2 2025,Ústecký kraj,Živě narození na 1 000 obyvatel,6.614892032
Q1-Q2 2025,Ústecký kraj,Zemřelí na 1 000 obyvatel,12.1123023
Q1-Q2 2025,Ústecký kraj,Přirozený přírůstek/úbytek na 1 000 obyvatel,-5.497410272
Q1-Q2 2025,Ústecký kraj,Přistěhovalí na 1 000 obyvatel,13.35478202
Q1-Q2 2025,Ústecký kraj,Vystěhovalí na 1 000 obyvatel,15.39224877
Q1-Q2 2025,Ústecký kraj,Přírůstek/úbytek stěhováním na 1 000 obyvatel,-2.037466745
