Území,Ukazatel,Pohlaví,Roky,value
Česko,Kandidáti,ženy,2000,
Česko,Kandidáti,ženy,2004,
Česko,Kandidáti,ženy,2008,
Česko,Kandidáti,ženy,2012,
Česko,Kandidáti,ženy,2016,3545.0
Česko,Kandidáti,ženy,2020,2672.0
Česko,Kandidáti,ženy,2024,2371.0
Česko,Kandidáti,muži,2000,
Česko,Kandidáti,muži,2004,
Česko,Kandidáti,muži,2008,
Česko,Kandidáti,muži,2012,
Česko,Kandidáti,muži,2016,8258.0
Česko,Kandidáti,muži,2020,7039.0
Česko,Kandidáti,muži,2024,5898.0
Česko,Průměrný věk kandidátů (roky),ženy,2000,46.29
Česko,Průměrný věk kandidátů (roky),ženy,2004,44.84
Česko,Průměrný věk kandidátů (roky),ženy,2008,45.96
Česko,Průměrný věk kandidátů (roky),ženy,2012,45.36
Česko,Průměrný věk kandidátů (roky),ženy,2016,46.59
Česko,Průměrný věk kandidátů (roky),ženy,2020,47.8
Česko,Průměrný věk kandidátů (roky),ženy,2024,49.85
Česko,Průměrný věk kandidátů (roky),muži,2000,47.06
Česko,Průměrný věk kandidátů (roky),muži,2004,46.69
Česko,Průměrný věk kandidátů (roky),muži,2008,47.1
Česko,Průměrný věk kandidátů (roky),muži,2012,46.42
Česko,Průměrný věk kandidátů (roky),muži,2016,47.01
Česko,Průměrný věk kandidátů (roky),muži,2020,48.42
Česko,Průměrný věk kandidátů (roky),muži,2024,49.81
Česko,Zvolení zastupitelé,ženy,2000,
Česko,Zvolení zastupitelé,ženy,2004,
Česko,Zvolení zastupitelé,ženy,2008,
Česko,Zvolení zastupitelé,ženy,2012,
Česko,Zvolení zastupitelé,ženy,2016,137.0
Česko,Zvolení zastupitelé,ženy,2020,149.0
Česko,Zvolení zastupitelé,ženy,2024,145.0
Česko,Zvolení zastupitelé,muži,2000,
Česko,Zvolení zastupitelé,muži,2004,
Česko,Zvolení zastupitelé,muži,2008,
Česko,Zvolení zastupitelé,muži,2012,
Česko,Zvolení zastupitelé,muži,2016,538.0
Česko,Zvolení zastupitelé,muži,2020,526.0
Česko,Zvolení zastupitelé,muži,2024,540.0
Česko,Průměrný věk zvolených zastupitelů (roky),ženy,2000,46.14
Česko,Průměrný věk zvolených zastupitelů (roky),ženy,2004,48.73
Česko,Průměrný věk zvolených zastupitelů (roky),ženy,2008,47.51
Česko,Průměrný věk zvolených zastupitelů (roky),ženy,2012,49.25
Česko,Průměrný věk zvolených zastupitelů (roky),ženy,2016,50.28
Česko,Průměrný věk zvolených zastupitelů (roky),ženy,2020,49.19
Česko,Průměrný věk zvolených zastupitelů (roky),ženy,2024,49.91
Česko,Průměrný věk zvolených zastupitelů (roky),muži,2000,47.27
Česko,Průměrný věk zvolených zastupitelů (roky),muži,2004,48.68
Česko,Průměrný věk zvolených zastupitelů (roky),muži,2008,49.15
Česko,Průměrný věk zvolených zastupitelů (roky),muži,2012,50.03
Česko,Průměrný věk zvolených zastupitelů (roky),muži,2016,50.02
Česko,Průměrný věk zvolených zastupitelů (roky),muži,2020,48.06
Česko,Průměrný věk zvolených zastupitelů (roky),muži,2024,51.0
