Rok sčítání,Ukazatel,Pohlaví,Území,Velikostní skupina obce,value
2021,Počet obyvatel (obvyklý pobyt),Celkem,Česká republika,do 199 obyvatel,178213
2021,Počet obyvatel (obvyklý pobyt),Celkem,Česká republika,200 - 499 obyvatel,654469
2021,Počet obyvatel (obvyklý pobyt),Celkem,Česká republika,500 až 999 obyvatel,961206
2021,Počet obyvatel (obvyklý pobyt),Celkem,Česká republika,1000 až 1999 obyvatel,1082202
2021,Počet obyvatel (obvyklý pobyt),Celkem,Česká republika,2000 až 4999 obyvatel,1291906
2021,Počet obyvatel (obvyklý pobyt),Celkem,Česká republika,5000 až 9999 obyvatel,943034
2021,Počet obyvatel (obvyklý pobyt),Celkem,Česká republika,10000 až 19999 obyvatel,951222
2021,Počet obyvatel (obvyklý pobyt),Celkem,Česká republika,20000 až 49999 obyvatel,1296708
2021,Počet obyvatel (obvyklý pobyt),Celkem,Česká republika,50000 až 99999 obyvatel,798405
2021,Počet obyvatel (obvyklý pobyt),Celkem,Česká republika,100000 a více obyvatel,2366802
2021,Počet obyvatel (obvyklý pobyt),Celkem,Hlavní město Praha,do 199 obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Hlavní město Praha,200 - 499 obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Hlavní město Praha,500 až 999 obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Hlavní město Praha,1000 až 1999 obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Hlavní město Praha,2000 až 4999 obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Hlavní město Praha,5000 až 9999 obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Hlavní město Praha,10000 až 19999 obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Hlavní město Praha,20000 až 49999 obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Hlavní město Praha,50000 až 99999 obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Hlavní město Praha,100000 a více obyvatel,1301432
2021,Počet obyvatel (obvyklý pobyt),Celkem,Středočeský kraj,do 199 obyvatel,25640
2021,Počet obyvatel (obvyklý pobyt),Celkem,Středočeský kraj,200 - 499 obyvatel,122855
2021,Počet obyvatel (obvyklý pobyt),Celkem,Středočeský kraj,500 až 999 obyvatel,198463
2021,Počet obyvatel (obvyklý pobyt),Celkem,Středočeský kraj,1000 až 1999 obyvatel,219180
2021,Počet obyvatel (obvyklý pobyt),Celkem,Středočeský kraj,2000 až 4999 obyvatel,256631
2021,Počet obyvatel (obvyklý pobyt),Celkem,Středočeský kraj,5000 až 9999 obyvatel,144642
2021,Počet obyvatel (obvyklý pobyt),Celkem,Středočeský kraj,10000 až 19999 obyvatel,233386
2021,Počet obyvatel (obvyklý pobyt),Celkem,Středočeský kraj,20000 až 49999 obyvatel,146910
2021,Počet obyvatel (obvyklý pobyt),Celkem,Středočeský kraj,50000 až 99999 obyvatel,67756
2021,Počet obyvatel (obvyklý pobyt),Celkem,Středočeský kraj,100000 a více obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihočeský kraj,do 199 obyvatel,26875
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihočeský kraj,200 - 499 obyvatel,65259
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihočeský kraj,500 až 999 obyvatel,60029
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihočeský kraj,1000 až 1999 obyvatel,67860
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihočeský kraj,2000 až 4999 obyvatel,100008
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihočeský kraj,5000 až 9999 obyvatel,88075
