Ukazatel;Území;Rok sčítání;value
Obydlené byty celkem;Česká republika;1980;3494846
Obydlené byty celkem;Česká republika;1991;3705681
Obydlené byty celkem;Česká republika;2001;3827678
Obydlené byty celkem;Česká republika;2011;4104635
Obydlené byty celkem;Česká republika;2021;4480139
Obydlené byty celkem;Hlavní město Praha;1980;448741
Obydlené byty celkem;Hlavní město Praha;1991;495804
Obydlené byty celkem;Hlavní město Praha;2001;496940
Obydlené byty celkem;Hlavní město Praha;2011;542168
Obydlené byty celkem;Hlavní město Praha;2021;627705
Obydlené byty celkem;Středočeský kraj;1980;393380
Obydlené byty celkem;Středočeský kraj;1991;398988
Obydlené byty celkem;Středočeský kraj;2001;413060
Obydlené byty celkem;Středočeský kraj;2011;482860
Obydlené byty celkem;Středočeský kraj;2021;561642
Obydlené byty celkem;Jihočeský kraj;1980;206499
Obydlené byty celkem;Jihočeský kraj;1991;220802
Obydlené byty celkem;Jihočeský kraj;2001;231281
Obydlené byty celkem;Jihočeský kraj;2011;247608
Obydlené byty celkem;Jihočeský kraj;2021;265601
Obydlené byty celkem;Plzeňský kraj;1980;199100
Obydlené byty celkem;Plzeňský kraj;1991;203081
Obydlené byty celkem;Plzeňský kraj;2001;208992
Obydlené byty celkem;Plzeňský kraj;2011;226298
Obydlené byty celkem;Plzeňský kraj;2021;247030
Obydlené byty celkem;Karlovarský kraj;1980;103869
Obydlené byty celkem;Karlovarský kraj;1991;110112
Obydlené byty celkem;Karlovarský kraj;2001;115899
Obydlené byty celkem;Karlovarský kraj;2011;119392
Obydlené byty celkem;Karlovarský kraj;2021;125299
Obydlené byty celkem;Ústecký kraj;1980;289032
Obydlené byty celkem;Ústecký kraj;1991;309621
Obydlené byty celkem;Ústecký kraj;2001;321942
Obydlené byty celkem;Ústecký kraj;2011;330992
Obydlené byty celkem;Ústecký kraj;2021;353285
Obydlené byty celkem;Liberecký kraj;1980;143681
Obydlené byty celkem;Liberecký kraj;1991;155363
Obydlené byty celkem;Liberecký kraj;2001;161830
Obydlené byty celkem;Liberecký kraj;2011;171328
Obydlené byty celkem;Liberecký kraj;2021;187627
Obydlené byty celkem;Královéhradecký kraj;1980;194996
Obydlené byty celkem;Královéhradecký kraj;1991;198446
Obydlené byty celkem;Královéhradecký kraj;2001;204529
Obydlené byty celkem;Královéhradecký kraj;2011;215277
Obydlené byty celkem;Královéhradecký kraj;2021;228569
Obydlené byty celkem;Pardubický kraj;1980;168940
Obydlené byty celkem;Pardubický kraj;1991;175443
Obydlené byty celkem;Pardubický kraj;2001;182943
Obydlené byty celkem;Pardubický kraj;2011;196288
Obydlené byty celkem;Pardubický kraj;2021;209133
Obydlené byty celkem;Kraj Vysočina;1980;159888
Obydlené byty celkem;Kraj Vysočina;1991;170165
Obydlené byty celkem;Kraj Vysočina;2001;177386
Obydlené byty celkem;Kraj Vysočina;2011;188191
Obydlené byty celkem;Kraj Vysočina;2021;195098
Obydlené byty celkem;Jihomoravský kraj;1980;374052
Obydlené byty celkem;Jihomoravský kraj;1991;396723
Obydlené byty celkem;Jihomoravský kraj;2001;407270
Obydlené byty celkem;Jihomoravský kraj;2011;443356
Obydlené byty celkem;Jihomoravský kraj;2021;490005
Obydlené byty celkem;Olomoucký kraj;1980;213447
Obydlené byty celkem;Olomoucký kraj;1991;223857
Obydlené byty celkem;Olomoucký kraj;2001;232052
Obydlené byty celkem;Olomoucký kraj;2011;243624
Obydlené byty celkem;Olomoucký kraj;2021;259885
Obydlené byty celkem;Zlínský kraj;1980;182534
Obydlené byty celkem;Zlínský kraj;1991;196120
Obydlené byty celkem;Zlínský kraj;2001;204806
Obydlené byty celkem;Zlínský kraj;2011;217093
Obydlené byty celkem;Zlínský kraj;2021;226219
Obydlené byty celkem;Moravskoslezský kraj;1980;416687
Obydlené byty celkem;Moravskoslezský kraj;1991;451156
Obydlené byty celkem;Moravskoslezský kraj;2001;468748
Obydlené byty celkem;Moravskoslezský kraj;2011;480160
Obydlené byty celkem;Moravskoslezský kraj;2021;503041
