Území;Ukazatel;Roky;Kolo voleb;value
Česko;Počet okrsků;2013;1. kolo;14904.0
Česko;Počet okrsků;2013;2. kolo;14904.0
Česko;Počet okrsků;2018;1. kolo;14866.0
Česko;Počet okrsků;2018;2. kolo;14866.0
Česko;Počet okrsků;2023;1. kolo;14857.0
Česko;Počet okrsků;2023;2. kolo;14857.0
Česko;Voliči v seznamu;2013;1. kolo;8435522.0
Česko;Voliči v seznamu;2013;2. kolo;8434941.0
Česko;Voliči v seznamu;2018;1. kolo;8366433.0
Česko;Voliči v seznamu;2018;2. kolo;8362987.0
Česko;Voliči v seznamu;2023;1. kolo;8245962.0
Česko;Voliči v seznamu;2023;2. kolo;8242566.0
Česko;Vydané obálky;2013;1. kolo;5171666.0
Česko;Vydané obálky;2013;2. kolo;4986040.0
Česko;Vydané obálky;2018;1. kolo;5180290.0
Česko;Vydané obálky;2018;2. kolo;5569665.0
Česko;Vydané obálky;2023;1. kolo;5626824.0
Česko;Vydané obálky;2023;2. kolo;5790001.0
Česko;Volební účast (%);2013;1. kolo;61.31
Česko;Volební účast (%);2013;2. kolo;59.11
Česko;Volební účast (%);2018;1. kolo;61.92
Česko;Volební účast (%);2018;2. kolo;66.6
Česko;Volební účast (%);2023;1. kolo;68.24
Česko;Volební účast (%);2023;2. kolo;70.25
Česko;Odevzdané obálky;2013;1. kolo;5168161.0
Česko;Odevzdané obálky;2013;2. kolo;4983481.0
Česko;Odevzdané obálky;2018;1. kolo;5177238.0
Česko;Odevzdané obálky;2018;2. kolo;5567627.0
Česko;Odevzdané obálky;2023;1. kolo;5622815.0
Česko;Odevzdané obálky;2023;2. kolo;5787540.0
Česko;Platné hlasy;2013;1. kolo;5143966.0
Česko;Platné hlasy;2013;2. kolo;4958576.0
Česko;Platné hlasy;2018;1. kolo;5148141.0
Česko;Platné hlasy;2018;2. kolo;5554596.0
Česko;Platné hlasy;2023;1. kolo;5578689.0
Česko;Platné hlasy;2023;2. kolo;5759199.0
