Kumulace čtvrtletí;ČR, kraje;Ukazatel;value
Q1-Q4 2024;Česko;Počet obyvatel - střední stav;10886531
Q1-Q4 2024;Česko;Počet obyvatel - stav na konci období;10909500
Q1-Q4 2024;Česko;Živě narození;84311
Q1-Q4 2024;Česko;Živě narození mimo manželství;39599
Q1-Q4 2024;Česko;Zemřelí;112211
Q1-Q4 2024;Česko;Zemřelí do 1 roku;196
Q1-Q4 2024;Česko;Přirozený přírůstek/úbytek;-27900
Q1-Q4 2024;Česko;Přistěhovalí;121823
Q1-Q4 2024;Česko;Přistěhovalí z ciziny;121823
Q1-Q4 2024;Česko;Vystěhovalí;84978
Q1-Q4 2024;Česko;Vystěhovalí do ciziny;84978
Q1-Q4 2024;Česko;Přírůstek/úbytek stěhováním;36845
Q1-Q4 2024;Česko;Přírůstek/úbytek stěhováním s cizinou;36845
Q1-Q4 2024;Česko;Celkový přírůstek/úbytek;8945
Q1-Q4 2024;Česko;Sňatky;44486
Q1-Q4 2024;Česko;Rozvody;20796
Q1-Q4 2024;Hlavní město Praha;Počet obyvatel - střední stav;1387354
Q1-Q4 2024;Hlavní město Praha;Počet obyvatel - stav na konci období;1397880
Q1-Q4 2024;Hlavní město Praha;Živě narození;12085
Q1-Q4 2024;Hlavní město Praha;Živě narození mimo manželství;4591
Q1-Q4 2024;Hlavní město Praha;Zemřelí;11792
Q1-Q4 2024;Hlavní město Praha;Zemřelí do 1 roku;18
Q1-Q4 2024;Hlavní město Praha;Přirozený přírůstek/úbytek;293
Q1-Q4 2024;Hlavní město Praha;Přistěhovalí;62689
Q1-Q4 2024;Hlavní město Praha;Přistěhovalí z ciziny;35380
Q1-Q4 2024;Hlavní město Praha;Vystěhovalí;49834
Q1-Q4 2024;Hlavní město Praha;Vystěhovalí do ciziny;21576
Q1-Q4 2024;Hlavní město Praha;Přírůstek/úbytek stěhováním;12855
Q1-Q4 2024;Hlavní město Praha;Přírůstek/úbytek stěhováním s cizinou;13804
Q1-Q4 2024;Hlavní město Praha;Celkový přírůstek/úbytek;13148
Q1-Q4 2024;Hlavní město Praha;Sňatky;6189
Q1-Q4 2024;Hlavní město Praha;Rozvody;2380
Q1-Q4 2024;Středočeský kraj;Počet obyvatel - střední stav;1459625
Q1-Q4 2024;Středočeský kraj;Počet obyvatel - stav na konci období;1466215
Q1-Q4 2024;Středočeský kraj;Živě narození;10981
Q1-Q4 2024;Středočeský kraj;Živě narození mimo manželství;5111
Q1-Q4 2024;Středočeský kraj;Zemřelí;13754
Q1-Q4 2024;Středočeský kraj;Zemřelí do 1 roku;18
