Typ indexu,Ukazatel,Očištění,Území,CZ NACE,Roky,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2001,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2002,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2003,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2004,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2005,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2006,104.6152596952
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2007,108.7319456642
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2008,100.152179962
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2009,90.0587472622
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2010,98.6446919443
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2011,98.0775652735
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2012,99.5615996481
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2013,99.7752918127
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2014,100.9993780482
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2015,102.7893361497
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2016,101.1042887058
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2017,103.8869730998
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2018,103.2254067559
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2019,101.1991356959
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2020,87.1785230722
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2021,107.728270866
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2022,108.6099765457
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2023,98.1360615669
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2024,102.4420743602
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2001,105.5359559801
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2002,96.5754649282
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2003,108.2843640736
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2004,107.6560626595
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2005,105.9897264392
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2006,106.8446873085
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2007,108.8295233374
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2008,99.7836382211
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2009,90.1148201664
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2010,103.6504969239
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2011,101.1938558374
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2012,101.1177836045
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2013,104.4226050749
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2014,102.340031405
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2015,100.1534578706
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2016,101.6805555449
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2017,103.2707831247
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2018,104.8347994235
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2019,99.5950310994
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2020,88.8159201725
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2021,111.8102354157
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2022,109.316943219
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2023,91.3324911888
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2024,105.0055763301
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 52 Doprava a skladování bez poštovních a kurýrních činností,2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 52 Doprava a skladování bez poštovních a kurýrních činností,2001,105.9978794351
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 52 Doprava a skladování bez poštovních a kurýrních činností,2002,96.4715178619
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 52 Doprava a skladování bez poštovních a kurýrních činností,2003,108.9149479084
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 52 Doprava a skladování bez poštovních a kurýrních činností,2004,107.9665435639
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 52 Doprava a skladování bez poštovních a kurýrních činností,2005,106.4751487286
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 52 Doprava a skladování bez poštovních a kurýrních činností,2006,106.9921038014
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 52 Doprava a skladování bez poštovních a kurýrních činností,2007,109.0093994331
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 52 Doprava a skladování bez poštovních a kurýrních činností,2008,100.3398961603
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 52 Doprava a skladování bez poštovních a kurýrních činností,2009,89.5266861709
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 52 Doprava a skladování bez poštovních a kurýrních činností,2010,103.3529558345
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,49 až 52 Doprava a skladování bez poštovních a kurýrních činností,2011,101.1447068141
