Ukazatel,Roky,Území,Druh nemovitosti,Počet obyvatel obce,value
Průměrná jednotková kupní cena nemovitosti,2023,Česko,Rodinné domy [Kč/m2],Celkem,48596.0
Průměrná jednotková kupní cena nemovitosti,2023,Česko,Rodinné domy [Kč/m2],do 1 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2023,Česko,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2023,Česko,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2023,Česko,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2023,Česko,Byty [Kč/m2],Celkem,58641.0
Průměrná jednotková kupní cena nemovitosti,2023,Česko,Byty [Kč/m2],do 1 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2023,Česko,Byty [Kč/m2],2 000 - 9 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2023,Česko,Byty [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2023,Česko,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2023,Hlavní město Praha,Rodinné domy [Kč/m2],Celkem,111087.0
Průměrná jednotková kupní cena nemovitosti,2023,Hlavní město Praha,Rodinné domy [Kč/m2],do 1 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2023,Hlavní město Praha,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2023,Hlavní město Praha,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2023,Hlavní město Praha,Rodinné domy [Kč/m2],50 000 obyv. a více,111087.0
Průměrná jednotková kupní cena nemovitosti,2023,Hlavní město Praha,Byty [Kč/m2],Celkem,103693.0
Průměrná jednotková kupní cena nemovitosti,2023,Hlavní město Praha,Byty [Kč/m2],do 1 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2023,Hlavní město Praha,Byty [Kč/m2],2 000 - 9 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2023,Hlavní město Praha,Byty [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2023,Hlavní město Praha,Byty [Kč/m2],50 000 obyv. a více,103693.0
Průměrná jednotková kupní cena nemovitosti,2023,Středočeský kraj,Rodinné domy [Kč/m2],Celkem,64031.0
Průměrná jednotková kupní cena nemovitosti,2023,Středočeský kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,57336.0
Průměrná jednotková kupní cena nemovitosti,2023,Středočeský kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,76094.0
Průměrná jednotková kupní cena nemovitosti,2023,Středočeský kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,61544.0
Průměrná jednotková kupní cena nemovitosti,2023,Středočeský kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,61151.0
Průměrná jednotková kupní cena nemovitosti,2023,Středočeský kraj,Byty [Kč/m2],Celkem,52768.0
Průměrná jednotková kupní cena nemovitosti,2023,Středočeský kraj,Byty [Kč/m2],do 1 999 obyv.,37820.0
Průměrná jednotková kupní cena nemovitosti,2023,Středočeský kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,50546.0
Průměrná jednotková kupní cena nemovitosti,2023,Středočeský kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,53471.0
Průměrná jednotková kupní cena nemovitosti,2023,Středočeský kraj,Byty [Kč/m2],50 000 obyv. a více,60826.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihočeský kraj,Rodinné domy [Kč/m2],Celkem,45525.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihočeský kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,40793.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihočeský kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,45534.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihočeský kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,51173.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihočeský kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,79355.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihočeský kraj,Byty [Kč/m2],Celkem,46010.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihočeský kraj,Byty [Kč/m2],do 1 999 obyv.,32837.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihočeský kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,39370.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihočeský kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,45231.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihočeský kraj,Byty [Kč/m2],50 000 obyv. a více,57544.0
Průměrná jednotková kupní cena nemovitosti,2023,Plzeňský kraj,Rodinné domy [Kč/m2],Celkem,44192.0
Průměrná jednotková kupní cena nemovitosti,2023,Plzeňský kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,40283.0
Průměrná jednotková kupní cena nemovitosti,2023,Plzeňský kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,42862.0
Průměrná jednotková kupní cena nemovitosti,2023,Plzeňský kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,42218.0
Průměrná jednotková kupní cena nemovitosti,2023,Plzeňský kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,70500.0
Průměrná jednotková kupní cena nemovitosti,2023,Plzeňský kraj,Byty [Kč/m2],Celkem,47729.0
Průměrná jednotková kupní cena nemovitosti,2023,Plzeňský kraj,Byty [Kč/m2],do 1 999 obyv.,32437.0
Průměrná jednotková kupní cena nemovitosti,2023,Plzeňský kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,40824.0
Průměrná jednotková kupní cena nemovitosti,2023,Plzeňský kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,43950.0
Průměrná jednotková kupní cena nemovitosti,2023,Plzeňský kraj,Byty [Kč/m2],50 000 obyv. a více,56920.0
Průměrná jednotková kupní cena nemovitosti,2023,Karlovarský kraj,Rodinné domy [Kč/m2],Celkem,37335.0
Průměrná jednotková kupní cena nemovitosti,2023,Karlovarský kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,36140.0
Průměrná jednotková kupní cena nemovitosti,2023,Karlovarský kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,36498.0
Průměrná jednotková kupní cena nemovitosti,2023,Karlovarský kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,40554.0
Průměrná jednotková kupní cena nemovitosti,2023,Karlovarský kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2023,Karlovarský kraj,Byty [Kč/m2],Celkem,33664.0
Průměrná jednotková kupní cena nemovitosti,2023,Karlovarský kraj,Byty [Kč/m2],do 1 999 obyv.,27334.0
Průměrná jednotková kupní cena nemovitosti,2023,Karlovarský kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,27529.0
Průměrná jednotková kupní cena nemovitosti,2023,Karlovarský kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,35428.0
Průměrná jednotková kupní cena nemovitosti,2023,Karlovarský kraj,Byty [Kč/m2],50 000 obyv. a více,
Průměrná jednotková kupní cena nemovitosti,2023,Ústecký kraj,Rodinné domy [Kč/m2],Celkem,38348.0
Průměrná jednotková kupní cena nemovitosti,2023,Ústecký kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,37209.0
Průměrná jednotková kupní cena nemovitosti,2023,Ústecký kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,35534.0
Průměrná jednotková kupní cena nemovitosti,2023,Ústecký kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,40185.0
