Roky,Městské části/obvody statutárních měst,Kategorie ubytovacího zařízení,Ukazatel,Rezidence,value
2023,Praha 1,HUZ celkem,Počet hostů,Celkem,2805867.0
2023,Praha 1,HUZ celkem,Počet hostů,Rezidenti,353873.0
2023,Praha 1,HUZ celkem,Počet hostů,Nerezidenti,2451994.0
2023,Praha 1,HUZ celkem,Počet přenocování,Celkem,6765286.0
2023,Praha 1,HUZ celkem,Počet přenocování,Rezidenti,589457.0
2023,Praha 1,HUZ celkem,Počet přenocování,Nerezidenti,6175829.0
2023,Praha 1,HUZ celkem,Průměrný počet přenocování ,Celkem,2.411121411
2023,Praha 1,HUZ celkem,Průměrný počet přenocování ,Rezidenti,1.6657303609
2023,Praha 1,HUZ celkem,Průměrný počet přenocování ,Nerezidenti,2.51869662
2023,Praha 1,Hotel *****,Počet hostů,Celkem,851846.0
2023,Praha 1,Hotel *****,Počet hostů,Rezidenti,79661.0
2023,Praha 1,Hotel *****,Počet hostů,Nerezidenti,772185.0
2023,Praha 1,Hotel *****,Počet přenocování,Celkem,2062707.0
2023,Praha 1,Hotel *****,Počet přenocování,Rezidenti,129286.0
2023,Praha 1,Hotel *****,Počet přenocování,Nerezidenti,1933421.0
2023,Praha 1,Hotel *****,Průměrný počet přenocování ,Celkem,2.4214552865
2023,Praha 1,Hotel *****,Průměrný počet přenocování ,Rezidenti,1.6229522602
2023,Praha 1,Hotel *****,Průměrný počet přenocování ,Nerezidenti,2.5038313358
2023,Praha 1,"Hotel, motel, botel ****",Počet hostů,Celkem,1246728.0
2023,Praha 1,"Hotel, motel, botel ****",Počet hostů,Rezidenti,152293.0
2023,Praha 1,"Hotel, motel, botel ****",Počet hostů,Nerezidenti,1094435.0
2023,Praha 1,"Hotel, motel, botel ****",Počet přenocování,Celkem,3059138.0
2023,Praha 1,"Hotel, motel, botel ****",Počet přenocování,Rezidenti,249742.0
2023,Praha 1,"Hotel, motel, botel ****",Počet přenocování,Nerezidenti,2809396.0
2023,Praha 1,"Hotel, motel, botel ****",Průměrný počet přenocování ,Celkem,2.4537332923
2023,Praha 1,"Hotel, motel, botel ****",Průměrný počet přenocování ,Rezidenti,1.6398783923
2023,Praha 1,"Hotel, motel, botel ****",Průměrný počet přenocování ,Nerezidenti,2.5669829638
2023,Praha 1,"Hotel, motel, botel ***",Počet hostů,Celkem,409294.0
2023,Praha 1,"Hotel, motel, botel ***",Počet hostů,Rezidenti,69490.0
2023,Praha 1,"Hotel, motel, botel ***",Počet hostů,Nerezidenti,339804.0
2023,Praha 1,"Hotel, motel, botel ***",Počet přenocování,Celkem,917889.0
2023,Praha 1,"Hotel, motel, botel ***",Počet přenocování,Rezidenti,112293.0
2023,Praha 1,"Hotel, motel, botel ***",Počet přenocování,Nerezidenti,805596.0
2023,Praha 1,"Hotel, motel, botel ***",Průměrný počet přenocování ,Celkem,2.2426153327
2023,Praha 1,"Hotel, motel, botel ***",Průměrný počet přenocování ,Rezidenti,1.6159591308
2023,Praha 1,"Hotel, motel, botel ***",Průměrný počet přenocování ,Nerezidenti,2.3707666773
2023,Praha 1,"Hotel, motel, botel **",Počet hostů,Celkem,
2023,Praha 1,"Hotel, motel, botel **",Počet hostů,Rezidenti,
2023,Praha 1,"Hotel, motel, botel **",Počet hostů,Nerezidenti,
2023,Praha 1,"Hotel, motel, botel **",Počet přenocování,Celkem,
2023,Praha 1,"Hotel, motel, botel **",Počet přenocování,Rezidenti,
2023,Praha 1,"Hotel, motel, botel **",Počet přenocování,Nerezidenti,
2023,Praha 1,"Hotel, motel, botel **",Průměrný počet přenocování ,Celkem,
2023,Praha 1,"Hotel, motel, botel **",Průměrný počet přenocování ,Rezidenti,
2023,Praha 1,"Hotel, motel, botel **",Průměrný počet přenocování ,Nerezidenti,
2023,Praha 1,"Hotel, motel, botel *",Počet hostů,Celkem,
2023,Praha 1,"Hotel, motel, botel *",Počet hostů,Rezidenti,
2023,Praha 1,"Hotel, motel, botel *",Počet hostů,Nerezidenti,
2023,Praha 1,"Hotel, motel, botel *",Počet přenocování,Celkem,
2023,Praha 1,"Hotel, motel, botel *",Počet přenocování,Rezidenti,
2023,Praha 1,"Hotel, motel, botel *",Počet přenocování,Nerezidenti,
2023,Praha 1,"Hotel, motel, botel *",Průměrný počet přenocování ,Celkem,
2023,Praha 1,"Hotel, motel, botel *",Průměrný počet přenocování ,Rezidenti,
2023,Praha 1,"Hotel, motel, botel *",Průměrný počet přenocování ,Nerezidenti,
2023,Praha 1,Hotel garni,Počet hostů,Celkem,
2023,Praha 1,Hotel garni,Počet hostů,Rezidenti,
2023,Praha 1,Hotel garni,Počet hostů,Nerezidenti,
2023,Praha 1,Hotel garni,Počet přenocování,Celkem,
2023,Praha 1,Hotel garni,Počet přenocování,Rezidenti,
2023,Praha 1,Hotel garni,Počet přenocování,Nerezidenti,
2023,Praha 1,Hotel garni,Průměrný počet přenocování ,Celkem,
2023,Praha 1,Hotel garni,Průměrný počet přenocování ,Rezidenti,
2023,Praha 1,Hotel garni,Průměrný počet přenocování ,Nerezidenti,
2023,Praha 1,Penzion,Počet hostů,Celkem,22378.0
2023,Praha 1,Penzion,Počet hostů,Rezidenti,3997.0
2023,Praha 1,Penzion,Počet hostů,Nerezidenti,18381.0
2023,Praha 1,Penzion,Počet přenocování,Celkem,54607.0
2023,Praha 1,Penzion,Počet přenocování,Rezidenti,8033.0
2023,Praha 1,Penzion,Počet přenocování,Nerezidenti,46574.0
2023,Praha 1,Penzion,Průměrný počet přenocování ,Celkem,2.440209134
2023,Praha 1,Penzion,Průměrný počet přenocování ,Rezidenti,2.009757318
2023,Praha 1,Penzion,Průměrný počet přenocování ,Nerezidenti,2.5338120886
2023,Praha 1,Kemp,Počet hostů,Celkem,
2023,Praha 1,Kemp,Počet hostů,Rezidenti,
2023,Praha 1,Kemp,Počet hostů,Nerezidenti,
2023,Praha 1,Kemp,Počet přenocování,Celkem,
2023,Praha 1,Kemp,Počet přenocování,Rezidenti,
2023,Praha 1,Kemp,Počet přenocování,Nerezidenti,
2023,Praha 1,Kemp,Průměrný počet přenocování ,Celkem,
2023,Praha 1,Kemp,Průměrný počet přenocování ,Rezidenti,
2023,Praha 1,Kemp,Průměrný počet přenocování ,Nerezidenti,
2023,Praha 1,Chatová osada,Počet hostů,Celkem,
2023,Praha 1,Chatová osada,Počet hostů,Rezidenti,
2023,Praha 1,Chatová osada,Počet hostů,Nerezidenti,
2023,Praha 1,Chatová osada,Počet přenocování,Celkem,
2023,Praha 1,Chatová osada,Počet přenocování,Rezidenti,
2023,Praha 1,Chatová osada,Počet přenocování,Nerezidenti,
2023,Praha 1,Chatová osada,Průměrný počet přenocování ,Celkem,
2023,Praha 1,Chatová osada,Průměrný počet přenocování ,Rezidenti,
2023,Praha 1,Chatová osada,Průměrný počet přenocování ,Nerezidenti,
2023,Praha 1,Turistická ubytovna,Počet hostů,Celkem,88107.0
2023,Praha 1,Turistická ubytovna,Počet hostů,Rezidenti,18734.0
2023,Praha 1,Turistická ubytovna,Počet hostů,Nerezidenti,69373.0
2023,Praha 1,Turistická ubytovna,Počet přenocování,Celkem,210026.0
2023,Praha 1,Turistická ubytovna,Počet přenocování,Rezidenti,37953.0
2023,Praha 1,Turistická ubytovna,Počet přenocování,Nerezidenti,172073.0
2023,Praha 1,Turistická ubytovna,Průměrný počet přenocování ,Celkem,2.3837606547
2023,Praha 1,Turistická ubytovna,Průměrný počet přenocování ,Rezidenti,2.0258887584
2023,Praha 1,Turistická ubytovna,Průměrný počet přenocování ,Nerezidenti,2.4804030386
2023,Praha 1,Ostatní HUZ,Počet hostů,Celkem,132224.0
2023,Praha 1,Ostatní HUZ,Počet hostů,Rezidenti,19817.0
2023,Praha 1,Ostatní HUZ,Počet hostů,Nerezidenti,112407.0
2023,Praha 1,Ostatní HUZ,Počet přenocování,Celkem,337186.0
2023,Praha 1,Ostatní HUZ,Počet přenocování,Rezidenti,37416.0
2023,Praha 1,Ostatní HUZ,Počet přenocování,Nerezidenti,299770.0
2023,Praha 1,Ostatní HUZ,Průměrný počet přenocování ,Celkem,2.5501119313
2023,Praha 1,Ostatní HUZ,Průměrný počet přenocování ,Rezidenti,1.8880758944
2023,Praha 1,Ostatní HUZ,Průměrný počet přenocování ,Nerezidenti,2.666826799
