Území;Ukazatel;Typ indexu;Očištění;CZ-NACE;Měsíce;value
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2025;104.4899761643
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2025;98.558814945
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2025;99.1675728735
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2024;97.2713049884
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2024;97.6476636133
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2024;98.4199060244
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2024;104.9983712586
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2024;98.859444466
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2024;107.582314022
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2024;91.6842194486
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2024;97.571070305
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2024;109.9330050412
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2024;89.4195659196
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2024;102.0050483393
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2024;100.2532048038
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2023;94.1894318444
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2023;97.1920112949
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2023;107.2747284166
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2023;92.454667812
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2023;97.8479702875
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2023;96.6857729883
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2023;99.9710579072
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2023;97.0735969736
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2023;97.8255146294
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2023;102.1917507855
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2023;101.7125556979
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2023;100.5697369326
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2022;101.578727851
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2022;100.4320960624
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2022;102.6247625994
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2022;107.9828635174
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2022;109.5485491142
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2022;97.7058483072
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2022;103.0493543244
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2022;105.1951797291
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2022;93.8108052194
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2022;99.7671629593
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2022;100.3022799922
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2022;104.377993301
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2021;101.0559636824
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2021;104.2682672647
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2021;93.0490249
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2021;96.7272669873
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2021;102.1387793008
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2021;100.2950951013
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2021;111.952253354
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2021;130.7629067043
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2021;148.9912538947
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2021;116.9156185921
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2021;97.9956067495
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2021;95.4244397479
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2020;107.4218479326
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2020;99.4521000459
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2020;98.0779863535
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2020;98.5912137485
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2020;93.3867739964
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2020;95.8522125166
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2020;95.2002936754
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2020;72.6902421609
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2020;67.7670728017
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2020;91.0068984663
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2020;100.3816594146
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2020;99.3519054746
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2019;99.6689956369
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2019;94.677834274
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2019;97.0897594854
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2019;104.343524633
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2019;96.0450400148
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2019;106.0802788861
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2019;93.7769175251
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2019;102.9379504457
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2019;103.720699543
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2019;100.5860992458
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2019;101.280241871
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2019;99.1021274065
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2018;98.2924923124
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2018;104.6038673977
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2018;106.0293156078
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2018;99.6197517934
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2018;102.0271064703
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2018;110.232011215
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2018;103.4338202914
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2018;100.9249369029
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2018;105.4247833535
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2018;98.6922792063
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2018;102.8973971812
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2018;105.7009281428
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2017;103.4891127255
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2017;108.2393735238
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2017;111.4056029705
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2017;105.148304561
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2017;106.3703370264
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2017;104.7680653418
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2017;104.2661678857
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2017;109.4623470713
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2017;99.1157338064
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2017;110.8183009678
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2017;103.096856175
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2017;111.3196111383
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2016;104.0618727086
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2016;107.6232849869
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2016;99.0493484895
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2016;103.0801651952
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2016;113.6635681415
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2016;87.1419705492
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2016;104.6200182672
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2016;109.3940342823
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2016;104.4106961055
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2016;101.6093615922
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2016;106.1120043731
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2016;101.9235650927
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2015;101.395927195
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2015;104.9440196912
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2015;103.059925425
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2015;100.4557446988
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2015;106.7339292093
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2015;104.3953352608
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2015;108.3913401712
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2015;102.6401068656
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2015;104.9733453492
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2015;106.9075092458
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2015;105.1005346409
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2015;102.7812434775
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2014;106.9543588887
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2014;99.3174990104
