Území;Ukazatel;Týdny;Věkové skupiny (roky);value
Česko;Zemřelí - absolutní údaje; 14. týden 2025;celkem;2113
Česko;Zemřelí - absolutní údaje; 14. týden 2025;0-14;8
Česko;Zemřelí - absolutní údaje; 14. týden 2025;15-44;53
Česko;Zemřelí - absolutní údaje; 14. týden 2025;45-64;252
Česko;Zemřelí - absolutní údaje; 14. týden 2025;65-74;441
Česko;Zemřelí - absolutní údaje; 14. týden 2025;75-84;690
Česko;Zemřelí - absolutní údaje; 14. týden 2025;85 a více;669
Česko;Zemřelí - absolutní údaje; 13. týden 2025;celkem;2203
Česko;Zemřelí - absolutní údaje; 13. týden 2025;0-14;9
Česko;Zemřelí - absolutní údaje; 13. týden 2025;15-44;41
Česko;Zemřelí - absolutní údaje; 13. týden 2025;45-64;276
Česko;Zemřelí - absolutní údaje; 13. týden 2025;65-74;436
Česko;Zemřelí - absolutní údaje; 13. týden 2025;75-84;784
Česko;Zemřelí - absolutní údaje; 13. týden 2025;85 a více;657
Česko;Zemřelí - absolutní údaje; 12. týden 2025;celkem;2218
Česko;Zemřelí - absolutní údaje; 12. týden 2025;0-14;3
Česko;Zemřelí - absolutní údaje; 12. týden 2025;15-44;38
Česko;Zemřelí - absolutní údaje; 12. týden 2025;45-64;255
Česko;Zemřelí - absolutní údaje; 12. týden 2025;65-74;438
Česko;Zemřelí - absolutní údaje; 12. týden 2025;75-84;756
Česko;Zemřelí - absolutní údaje; 12. týden 2025;85 a více;728
Česko;Zemřelí - absolutní údaje; 11. týden 2025;celkem;2184
Česko;Zemřelí - absolutní údaje; 11. týden 2025;0-14;5
Česko;Zemřelí - absolutní údaje; 11. týden 2025;15-44;62
Česko;Zemřelí - absolutní údaje; 11. týden 2025;45-64;235
Česko;Zemřelí - absolutní údaje; 11. týden 2025;65-74;472
Česko;Zemřelí - absolutní údaje; 11. týden 2025;75-84;724
Česko;Zemřelí - absolutní údaje; 11. týden 2025;85 a více;686
Česko;Zemřelí - absolutní údaje; 10. týden 2025;celkem;2358
Česko;Zemřelí - absolutní údaje; 10. týden 2025;0-14;2
Česko;Zemřelí - absolutní údaje; 10. týden 2025;15-44;51
Česko;Zemřelí - absolutní údaje; 10. týden 2025;45-64;278
Česko;Zemřelí - absolutní údaje; 10. týden 2025;65-74;492
Česko;Zemřelí - absolutní údaje; 10. týden 2025;75-84;813
Česko;Zemřelí - absolutní údaje; 10. týden 2025;85 a více;722
Česko;Zemřelí - absolutní údaje; 09. týden 2025;celkem;2435
Česko;Zemřelí - absolutní údaje; 09. týden 2025;0-14;9
Česko;Zemřelí - absolutní údaje; 09. týden 2025;15-44;49
Česko;Zemřelí - absolutní údaje; 09. týden 2025;45-64;301
Česko;Zemřelí - absolutní údaje; 09. týden 2025;65-74;513
Česko;Zemřelí - absolutní údaje; 09. týden 2025;75-84;825
Česko;Zemřelí - absolutní údaje; 09. týden 2025;85 a více;738
Česko;Zemřelí - absolutní údaje; 08. týden 2025;celkem;2338
Česko;Zemřelí - absolutní údaje; 08. týden 2025;0-14;6
Česko;Zemřelí - absolutní údaje; 08. týden 2025;15-44;63
Česko;Zemřelí - absolutní údaje; 08. týden 2025;45-64;302
Česko;Zemřelí - absolutní údaje; 08. týden 2025;65-74;463
Česko;Zemřelí - absolutní údaje; 08. týden 2025;75-84;788
Česko;Zemřelí - absolutní údaje; 08. týden 2025;85 a více;716
