Kumulace měsíců,Kraje,Ukazatel,value
srpen 2024,Hlavní město Praha,Počet stavebních povolení v ČR,1782
srpen 2024,Hlavní město Praha,Počet vydaných stavebních povolení - budovy,1466
srpen 2024,Hlavní město Praha,Počet vydaných stavebních povolení - budovy bytové,950
srpen 2024,Hlavní město Praha,Počet vydaných stavebních povolení - budovy nebytové,516
srpen 2024,Hlavní město Praha,Počet vydaných stavebních povolení - inženýrské stavby,316
srpen 2024,Hlavní město Praha,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",35853
srpen 2024,Hlavní město Praha,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",31933
srpen 2024,Hlavní město Praha,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",21186
srpen 2024,Hlavní město Praha,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",10747
srpen 2024,Hlavní město Praha,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",3920
srpen 2024,Středočeský kraj,Počet stavebních povolení v ČR,9674
srpen 2024,Středočeský kraj,Počet vydaných stavebních povolení - budovy,5369
srpen 2024,Středočeský kraj,Počet vydaných stavebních povolení - budovy bytové,3334
srpen 2024,Středočeský kraj,Počet vydaných stavebních povolení - budovy nebytové,2035
srpen 2024,Středočeský kraj,Počet vydaných stavebních povolení - inženýrské stavby,4305
srpen 2024,Středočeský kraj,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",50193
srpen 2024,Středočeský kraj,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",40004
srpen 2024,Středočeský kraj,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",17219
srpen 2024,Středočeský kraj,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",22785
srpen 2024,Středočeský kraj,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",10189
srpen 2024,Jihočeský kraj,Počet stavebních povolení v ČR,4238
srpen 2024,Jihočeský kraj,Počet vydaných stavebních povolení - budovy,2222
srpen 2024,Jihočeský kraj,Počet vydaných stavebních povolení - budovy bytové,1176
srpen 2024,Jihočeský kraj,Počet vydaných stavebních povolení - budovy nebytové,1046
srpen 2024,Jihočeský kraj,Počet vydaných stavebních povolení - inženýrské stavby,2016
srpen 2024,Jihočeský kraj,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",20461
srpen 2024,Jihočeský kraj,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",13479
srpen 2024,Jihočeský kraj,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",8083
srpen 2024,Jihočeský kraj,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",5396
srpen 2024,Jihočeský kraj,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",6982
srpen 2024,Plzeňský kraj,Počet stavebních povolení v ČR,3446
srpen 2024,Plzeňský kraj,Počet vydaných stavebních povolení - budovy,1742
srpen 2024,Plzeňský kraj,Počet vydaných stavebních povolení - budovy bytové,980
srpen 2024,Plzeňský kraj,Počet vydaných stavebních povolení - budovy nebytové,762
srpen 2024,Plzeňský kraj,Počet vydaných stavebních povolení - inženýrské stavby,1704
srpen 2024,Plzeňský kraj,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",17304
srpen 2024,Plzeňský kraj,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",13394
srpen 2024,Plzeňský kraj,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",7466
srpen 2024,Plzeňský kraj,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",5928
srpen 2024,Plzeňský kraj,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",3910
srpen 2024,Karlovarský kraj,Počet stavebních povolení v ČR,1399
srpen 2024,Karlovarský kraj,Počet vydaných stavebních povolení - budovy,754
srpen 2024,Karlovarský kraj,Počet vydaných stavebních povolení - budovy bytové,369
srpen 2024,Karlovarský kraj,Počet vydaných stavebních povolení - budovy nebytové,385
srpen 2024,Karlovarský kraj,Počet vydaných stavebních povolení - inženýrské stavby,645
srpen 2024,Karlovarský kraj,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",10738
srpen 2024,Karlovarský kraj,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",8046
srpen 2024,Karlovarský kraj,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",1504
srpen 2024,Karlovarský kraj,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",6542
srpen 2024,Karlovarský kraj,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",2692
srpen 2024,Ústecký kraj,Počet stavebních povolení v ČR,2917
srpen 2024,Ústecký kraj,Počet vydaných stavebních povolení - budovy,1798
srpen 2024,Ústecký kraj,Počet vydaných stavebních povolení - budovy bytové,923
srpen 2024,Ústecký kraj,Počet vydaných stavebních povolení - budovy nebytové,875
srpen 2024,Ústecký kraj,Počet vydaných stavebních povolení - inženýrské stavby,1119
srpen 2024,Ústecký kraj,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",15763
srpen 2024,Ústecký kraj,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",10302
srpen 2024,Ústecký kraj,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",3782
srpen 2024,Ústecký kraj,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",6520
srpen 2024,Ústecký kraj,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",5461
srpen 2024,Liberecký kraj,Počet stavebních povolení v ČR,2041
srpen 2024,Liberecký kraj,Počet vydaných stavebních povolení - budovy,1118
srpen 2024,Liberecký kraj,Počet vydaných stavebních povolení - budovy bytové,613
srpen 2024,Liberecký kraj,Počet vydaných stavebních povolení - budovy nebytové,505
srpen 2024,Liberecký kraj,Počet vydaných stavebních povolení - inženýrské stavby,923
srpen 2024,Liberecký kraj,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",8942
srpen 2024,Liberecký kraj,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",7059
srpen 2024,Liberecký kraj,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",3347
srpen 2024,Liberecký kraj,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",3712
srpen 2024,Liberecký kraj,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",1883
srpen 2024,Královéhradecký kraj,Počet stavebních povolení v ČR,2469
srpen 2024,Královéhradecký kraj,Počet vydaných stavebních povolení - budovy,1417
srpen 2024,Královéhradecký kraj,Počet vydaných stavebních povolení - budovy bytové,813
srpen 2024,Královéhradecký kraj,Počet vydaných stavebních povolení - budovy nebytové,604
srpen 2024,Královéhradecký kraj,Počet vydaných stavebních povolení - inženýrské stavby,1052
srpen 2024,Královéhradecký kraj,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",15929
srpen 2024,Královéhradecký kraj,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",10612
srpen 2024,Královéhradecký kraj,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",4631
srpen 2024,Královéhradecký kraj,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",5981
srpen 2024,Královéhradecký kraj,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",5317
srpen 2024,Pardubický kraj,Počet stavebních povolení v ČR,2664
srpen 2024,Pardubický kraj,Počet vydaných stavebních povolení - budovy,1418
srpen 2024,Pardubický kraj,Počet vydaných stavebních povolení - budovy bytové,847
srpen 2024,Pardubický kraj,Počet vydaných stavebních povolení - budovy nebytové,571
srpen 2024,Pardubický kraj,Počet vydaných stavebních povolení - inženýrské stavby,1246
srpen 2024,Pardubický kraj,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",11131
srpen 2024,Pardubický kraj,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",6968
srpen 2024,Pardubický kraj,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",3618
srpen 2024,Pardubický kraj,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",3350
srpen 2024,Pardubický kraj,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",4163
srpen 2024,Kraj Vysočina,Počet stavebních povolení v ČR,3185
srpen 2024,Kraj Vysočina,Počet vydaných stavebních povolení - budovy,1865
srpen 2024,Kraj Vysočina,Počet vydaných stavebních povolení - budovy bytové,1024
srpen 2024,Kraj Vysočina,Počet vydaných stavebních povolení - budovy nebytové,841
srpen 2024,Kraj Vysočina,Počet vydaných stavebních povolení - inženýrské stavby,1320
srpen 2024,Kraj Vysočina,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",17253
srpen 2024,Kraj Vysočina,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",12806
srpen 2024,Kraj Vysočina,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",6586
srpen 2024,Kraj Vysočina,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",6220
srpen 2024,Kraj Vysočina,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",4447
srpen 2024,Jihomoravský kraj,Počet stavebních povolení v ČR,5225
srpen 2024,Jihomoravský kraj,Počet vydaných stavebních povolení - budovy,3435
srpen 2024,Jihomoravský kraj,Počet vydaných stavebních povolení - budovy bytové,2088
srpen 2024,Jihomoravský kraj,Počet vydaných stavebních povolení - budovy nebytové,1347
srpen 2024,Jihomoravský kraj,Počet vydaných stavebních povolení - inženýrské stavby,1790
srpen 2024,Jihomoravský kraj,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",38349
srpen 2024,Jihomoravský kraj,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",32099
srpen 2024,Jihomoravský kraj,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",16448
srpen 2024,Jihomoravský kraj,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",15651
srpen 2024,Jihomoravský kraj,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",6250
srpen 2024,Olomoucký kraj,Počet stavebních povolení v ČR,2764
srpen 2024,Olomoucký kraj,Počet vydaných stavebních povolení - budovy,1734
srpen 2024,Olomoucký kraj,Počet vydaných stavebních povolení - budovy bytové,965
srpen 2024,Olomoucký kraj,Počet vydaných stavebních povolení - budovy nebytové,769
srpen 2024,Olomoucký kraj,Počet vydaných stavebních povolení - inženýrské stavby,1030
srpen 2024,Olomoucký kraj,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",15591
srpen 2024,Olomoucký kraj,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",11657
srpen 2024,Olomoucký kraj,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",5977
srpen 2024,Olomoucký kraj,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",5680
srpen 2024,Olomoucký kraj,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",3934
srpen 2024,Zlínský kraj,Počet stavebních povolení v ČR,2626
srpen 2024,Zlínský kraj,Počet vydaných stavebních povolení - budovy,1641
srpen 2024,Zlínský kraj,Počet vydaných stavebních povolení - budovy bytové,909
srpen 2024,Zlínský kraj,Počet vydaných stavebních povolení - budovy nebytové,732
srpen 2024,Zlínský kraj,Počet vydaných stavebních povolení - inženýrské stavby,985
srpen 2024,Zlínský kraj,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",13407
srpen 2024,Zlínský kraj,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",10476
srpen 2024,Zlínský kraj,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",5024
srpen 2024,Zlínský kraj,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",5452
srpen 2024,Zlínský kraj,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",2931
srpen 2024,Moravskoslezský kraj,Počet stavebních povolení v ČR,4623
srpen 2024,Moravskoslezský kraj,Počet vydaných stavebních povolení - budovy,2787
srpen 2024,Moravskoslezský kraj,Počet vydaných stavebních povolení - budovy bytové,1684
srpen 2024,Moravskoslezský kraj,Počet vydaných stavebních povolení - budovy nebytové,1103
srpen 2024,Moravskoslezský kraj,Počet vydaných stavebních povolení - inženýrské stavby,1836
srpen 2024,Moravskoslezský kraj,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",37471
srpen 2024,Moravskoslezský kraj,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",25729
srpen 2024,Moravskoslezský kraj,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",8380
srpen 2024,Moravskoslezský kraj,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",17349
srpen 2024,Moravskoslezský kraj,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",11742
