Ukazatel,Území,CZ-NACE,Roky,value
Počet aktivních podniků,Česko,Informační a mediální sektor,2005,7439
Počet aktivních podniků,Česko,Informační a mediální sektor,2006,7570
Počet aktivních podniků,Česko,Informační a mediální sektor,2007,7927
Počet aktivních podniků,Česko,Informační a mediální sektor,2008,8237
Počet aktivních podniků,Česko,Informační a mediální sektor,2009,9207
Počet aktivních podniků,Česko,Informační a mediální sektor,2010,9867
Počet aktivních podniků,Česko,Informační a mediální sektor,2011,9693
Počet aktivních podniků,Česko,Informační a mediální sektor,2012,9674
Počet aktivních podniků,Česko,Informační a mediální sektor,2013,9461
Počet aktivních podniků,Česko,Informační a mediální sektor,2014,9353
Počet aktivních podniků,Česko,Informační a mediální sektor,2015,9373
Počet aktivních podniků,Česko,Informační a mediální sektor,2016,9655
Počet aktivních podniků,Česko,Informační a mediální sektor,2017,10020
Počet aktivních podniků,Česko,Informační a mediální sektor,2018,10264
Počet aktivních podniků,Česko,Informační a mediální sektor,2019,10442
Počet aktivních podniků,Česko,Informační a mediální sektor,2020,10717
Počet aktivních podniků,Česko,Informační a mediální sektor,2021,10853
Počet aktivních podniků,Česko,Informační a mediální sektor,2022,10836
Počet aktivních podniků,Česko,Informační a mediální sektor,2023,10951
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2005,3966
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2006,4167
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2007,4455
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2008,4924
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2009,5516
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2010,6021
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2011,5852
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2012,5772
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2013,5572
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2014,5539
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2015,5544
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2016,5725
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2017,6035
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2018,6203
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2019,6294
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2020,6315
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2021,6285
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2022,6295
Počet aktivních podniků,Česko,Vydavatelské a informační činnosti,2023,6405
Počet aktivních podniků,Česko,Audiovizuální činnosti,2005,3473
Počet aktivních podniků,Česko,Audiovizuální činnosti,2006,3403
Počet aktivních podniků,Česko,Audiovizuální činnosti,2007,3472
Počet aktivních podniků,Česko,Audiovizuální činnosti,2008,3313
Počet aktivních podniků,Česko,Audiovizuální činnosti,2009,3691
Počet aktivních podniků,Česko,Audiovizuální činnosti,2010,3846
Počet aktivních podniků,Česko,Audiovizuální činnosti,2011,3841
Počet aktivních podniků,Česko,Audiovizuální činnosti,2012,3902
Počet aktivních podniků,Česko,Audiovizuální činnosti,2013,3889
Počet aktivních podniků,Česko,Audiovizuální činnosti,2014,3814
Počet aktivních podniků,Česko,Audiovizuální činnosti,2015,3829
Počet aktivních podniků,Česko,Audiovizuální činnosti,2016,3930
Počet aktivních podniků,Česko,Audiovizuální činnosti,2017,3985
Počet aktivních podniků,Česko,Audiovizuální činnosti,2018,4061
Počet aktivních podniků,Česko,Audiovizuální činnosti,2019,4148
Počet aktivních podniků,Česko,Audiovizuální činnosti,2020,4402
