Ukazatel;Typ indexu;Území;Klasifikace CZ-CPA;Roky;value
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;2016;100.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;2017;101.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;2018;103.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;2019;105.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;2020;108.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;2021;109.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;2022;115.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;2023;122.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;2024;127.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;2018;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;2019;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;2020;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;2021;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;2022;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;2023;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;2024;125.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Pozemní a potrubní doprava;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Pozemní a potrubní doprava;2016;99.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Pozemní a potrubní doprava;2017;99.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Pozemní a potrubní doprava;2018;100.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Pozemní a potrubní doprava;2019;103.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Pozemní a potrubní doprava;2020;104.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Pozemní a potrubní doprava;2021;106.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Pozemní a potrubní doprava;2022;112.7
