ČR, kraje, okresy;Ukazatel;Odvětví ekonomické činnosti CZ-NACE;Čtvrtletí;value
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;4. čtvrtletí 2022;351930.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;3. čtvrtletí 2022;352422.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;2. čtvrtletí 2022;349732.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;1. čtvrtletí 2022;347007.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;4. čtvrtletí 2021;345959.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;3. čtvrtletí 2021;345031.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;2. čtvrtletí 2021;343609.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;1. čtvrtletí 2021;341483.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1. čtvrtletí 2025;445066.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";4. čtvrtletí 2024;449179.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";3. čtvrtletí 2024;452308.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2. čtvrtletí 2024;458069.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1. čtvrtletí 2024;467555.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";4. čtvrtletí 2023;473632.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";3. čtvrtletí 2023;486473.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2. čtvrtletí 2023;493517.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1. čtvrtletí 2023;512348.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";4. čtvrtletí 2022;562097.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";3. čtvrtletí 2022;571974.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2. čtvrtletí 2022;577902.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1. čtvrtletí 2022;580926.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";4. čtvrtletí 2021;585202.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";3. čtvrtletí 2021;585824.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2. čtvrtletí 2021;588644.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1. čtvrtletí 2021;591983.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;1. čtvrtletí 2025;99291.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;4. čtvrtletí 2024;97207.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;3. čtvrtletí 2024;94937.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2. čtvrtletí 2024;93096.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;1. čtvrtletí 2024;91882.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;4. čtvrtletí 2023;90272.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;3. čtvrtletí 2023;89032.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2. čtvrtletí 2023;87585.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;1. čtvrtletí 2023;88369.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;4. čtvrtletí 2022;91791.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;3. čtvrtletí 2022;90694.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2. čtvrtletí 2022;89343.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;1. čtvrtletí 2022;87816.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;4. čtvrtletí 2021;86449.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;3. čtvrtletí 2021;84431.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2. čtvrtletí 2021;82871.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;1. čtvrtletí 2021;81256.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;1. čtvrtletí 2025;139475.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;4. čtvrtletí 2024;138991.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;3. čtvrtletí 2024;138732.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2. čtvrtletí 2024;138204.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;1. čtvrtletí 2024;138314.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;4. čtvrtletí 2023;138188.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;3. čtvrtletí 2023;140167.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2. čtvrtletí 2023;140386.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;1. čtvrtletí 2023;143936.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;4. čtvrtletí 2022;155890.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;3. čtvrtletí 2022;157187.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2. čtvrtletí 2022;157107.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;1. čtvrtletí 2022;156583.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;4. čtvrtletí 2021;156541.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;3. čtvrtletí 2021;157257.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2. čtvrtletí 2021;157041.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;1. čtvrtletí 2021;156587.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;1. čtvrtletí 2025;96667.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;4. čtvrtletí 2024;95582.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;3. čtvrtletí 2024;94725.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2. čtvrtletí 2024;93623.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;1. čtvrtletí 2024;91194.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;4. čtvrtletí 2023;90044.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;3. čtvrtletí 2023;88110.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2. čtvrtletí 2023;85859.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;1. čtvrtletí 2023;85738.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;4. čtvrtletí 2022;86378.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;3. čtvrtletí 2022;85332.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2. čtvrtletí 2022;84635.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;1. čtvrtletí 2022;82666.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;4. čtvrtletí 2021;81829.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;3. čtvrtletí 2021;80023.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2. čtvrtletí 2021;79003.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;1. čtvrtletí 2021;77494.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;1. čtvrtletí 2025;46530.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;4. čtvrtletí 2024;46615.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;3. čtvrtletí 2024;45730.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2. čtvrtletí 2024;44637.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;1. čtvrtletí 2024;43904.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;4. čtvrtletí 2023;43823.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;3. čtvrtletí 2023;16237.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2. čtvrtletí 2023;15027.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;1. čtvrtletí 2023;15156.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;4. čtvrtletí 2022;16006.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;3. čtvrtletí 2022;15656.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2. čtvrtletí 2022;15689.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;1. čtvrtletí 2022;15026.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;4. čtvrtletí 2021;15078.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;3. čtvrtletí 2021;14906.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2. čtvrtletí 2021;14865.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;1. čtvrtletí 2021;14547.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;1. čtvrtletí 2025;196056.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;4. čtvrtletí 2024;195547.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;3. čtvrtletí 2024;194713.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2. čtvrtletí 2024;194330.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;1. čtvrtletí 2024;193103.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;4. čtvrtletí 2023;192607.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;3. čtvrtletí 2023;193470.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2. čtvrtletí 2023;192656.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;1. čtvrtletí 2023;193196.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;4. čtvrtletí 2022;195256.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;3. čtvrtletí 2022;194760.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2. čtvrtletí 2022;193913.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;1. čtvrtletí 2022;191988.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;4. čtvrtletí 2021;191255.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;3. čtvrtletí 2021;189836.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2. čtvrtletí 2021;188327.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;1. čtvrtletí 2021;184451.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;1. čtvrtletí 2025;374427.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;4. čtvrtletí 2024;373779.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;3. čtvrtletí 2024;372753.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2. čtvrtletí 2024;370700.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;1. čtvrtletí 2024;367954.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;4. čtvrtletí 2023;367354.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;3. čtvrtletí 2023;371175.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2. čtvrtletí 2023;368927.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;1. čtvrtletí 2023;374483.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;4. čtvrtletí 2022;390271.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;3. čtvrtletí 2022;392864.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2. čtvrtletí 2022;392313.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;1. čtvrtletí 2022;390230.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;4. čtvrtletí 2021;390188.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;3. čtvrtletí 2021;388473.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2. čtvrtletí 2021;387256.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;1. čtvrtletí 2021;385563.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;1. čtvrtletí 2025;80285.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;4. čtvrtletí 2024;79099.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;3. čtvrtletí 2024;78017.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2. čtvrtletí 2024;76872.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;1. čtvrtletí 2024;75034.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;4. čtvrtletí 2023;73872.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;3. čtvrtletí 2023;74591.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2. čtvrtletí 2023;73029.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;1. čtvrtletí 2023;73318.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;4. čtvrtletí 2022;75984.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;3. čtvrtletí 2022;75219.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2. čtvrtletí 2022;74299.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;1. čtvrtletí 2022;72443.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;4. čtvrtletí 2021;70826.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;3. čtvrtletí 2021;68803.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2. čtvrtletí 2021;67458.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;1. čtvrtletí 2021;65691.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";1. čtvrtletí 2025;15735.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";4. čtvrtletí 2024;15745.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";3. čtvrtletí 2024;15744.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2. čtvrtletí 2024;15751.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";1. čtvrtletí 2024;15747.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";4. čtvrtletí 2023;15759.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";3. čtvrtletí 2023;15763.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2. čtvrtletí 2023;15759.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";1. čtvrtletí 2023;15757.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";4. čtvrtletí 2022;15763.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";3. čtvrtletí 2022;15733.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2. čtvrtletí 2022;15729.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";1. čtvrtletí 2022;15731.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";4. čtvrtletí 2021;15736.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";3. čtvrtletí 2021;15760.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2. čtvrtletí 2021;15758.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";1. čtvrtletí 2021;15757.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;1. čtvrtletí 2025;61527.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;4. čtvrtletí 2024;60650.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;3. čtvrtletí 2024;59849.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2. čtvrtletí 2024;58702.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;1. čtvrtletí 2024;57750.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;4. čtvrtletí 2023;56813.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;3. čtvrtletí 2023;56721.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2. čtvrtletí 2023;56001.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;1. čtvrtletí 2023;56357.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;4. čtvrtletí 2022;57730.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;3. čtvrtletí 2022;57410.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2. čtvrtletí 2022;56828.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;1. čtvrtletí 2022;56138.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;4. čtvrtletí 2021;55641.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;3. čtvrtletí 2021;55058.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2. čtvrtletí 2021;54363.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;1. čtvrtletí 2021;53675.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;1. čtvrtletí 2025;35897.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;4. čtvrtletí 2024;35794.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;3. čtvrtletí 2024;35504.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2. čtvrtletí 2024;35260.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;1. čtvrtletí 2024;34910.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;4. čtvrtletí 2023;34811.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;3. čtvrtletí 2023;34548.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2. čtvrtletí 2023;34182.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;1. čtvrtletí 2023;34660.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;4. čtvrtletí 2022;36429.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;3. čtvrtletí 2022;35984.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2. čtvrtletí 2022;35855.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;1. čtvrtletí 2022;35390.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;4. čtvrtletí 2021;35370.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;3. čtvrtletí 2021;35186.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2. čtvrtletí 2021;35083.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;1. čtvrtletí 2021;34894.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;1. čtvrtletí 2025;86202.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;4. čtvrtletí 2024;85494.0
