Typ indexu;Ukazatel;Očištění;Území;Odvětví (NACE);Roky;value
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2001;108.4839356822
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2002;101.7228615695
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2003;107.2472215094
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2004;103.8456295539
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2005;108.0641107167
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2006;110.7824457736
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2007;109.9561470011
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2008;102.6819374825
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2009;95.3123643647
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2010;101.4677906831
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2011;101.6869562801
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2012;98.9305236965
