Roky,Ukazatel,Ekonomické subjekty ,Území,Právní forma,value
2023,Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,Celkem,2800294
2023,Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,Fyzické osoby,1968473
2023,Počet ekonomických subjektů celkem,Počet ekonomických subjektů v registru,Česko,Právnické osoby,831821
