Ukazatel,Typ indexu,Území,Klasifikace CZ-CPA,Čtvrtletí,value
Index vývozních cen (%),Mezičtvrtletní index,Česko,Úhrn celkem,4. čtvrtletí 2021,102.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,Úhrn celkem,1. čtvrtletí 2022,102.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,Úhrn celkem,2. čtvrtletí 2022,105.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,Úhrn celkem,3. čtvrtletí 2022,103.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,Úhrn celkem,4. čtvrtletí 2022,98.4
Index vývozních cen (%),Mezičtvrtletní index,Česko,Úhrn celkem,1. čtvrtletí 2023,98.7
Index vývozních cen (%),Mezičtvrtletní index,Česko,Úhrn celkem,2. čtvrtletí 2023,97.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,Úhrn celkem,3. čtvrtletí 2023,100.7
Index vývozních cen (%),Mezičtvrtletní index,Česko,Úhrn celkem,4. čtvrtletí 2023,100.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,Úhrn celkem,1. čtvrtletí 2024,101.7
Index vývozních cen (%),Mezičtvrtletní index,Česko,Úhrn celkem,2. čtvrtletí 2024,100.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,Úhrn celkem,3. čtvrtletí 2024,100.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,Úhrn celkem,4. čtvrtletí 2024,100.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,Úhrn celkem,1. čtvrtletí 2025,100.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,Úhrn celkem,2. čtvrtletí 2025,98.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",4. čtvrtletí 2021,110.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",1. čtvrtletí 2022,112.2
Index vývozních cen (%),Mezičtvrtletní index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",2. čtvrtletí 2022,118.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",3. čtvrtletí 2022,90.7
Index vývozních cen (%),Mezičtvrtletní index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",4. čtvrtletí 2022,97.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",1. čtvrtletí 2023,92.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",2. čtvrtletí 2023,90.1
Index vývozních cen (%),Mezičtvrtletní index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",3. čtvrtletí 2023,93.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",4. čtvrtletí 2023,100.2
Index vývozních cen (%),Mezičtvrtletní index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",1. čtvrtletí 2024,101.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",2. čtvrtletí 2024,100.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",3. čtvrtletí 2024,99.4
Index vývozních cen (%),Mezičtvrtletní index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",4. čtvrtletí 2024,104.0
