Rok sčítání,Ukazatel,Území,Poloha bytu v domě,value
2021,Počet  obydlených bytů,Česká republika,Obydlené byty celkem,4480139
2021,Počet  obydlených bytů,Česká republika,"Suterén, sklep",30094
2021,Počet  obydlených bytů,Česká republika,Přízemí,1836821
2021,Počet  obydlených bytů,Česká republika,1. poschodí,854346
2021,Počet  obydlených bytů,Česká republika,2. poschodí,448357
2021,Počet  obydlených bytů,Česká republika,3. poschodí,347497
2021,Počet  obydlených bytů,Česká republika,4. poschodí,207392
2021,Počet  obydlených bytů,Česká republika,5. poschodí,140305
2021,Počet  obydlených bytů,Česká republika,6. poschodí,98842
2021,Počet  obydlených bytů,Česká republika,7. poschodí,85657
2021,Počet  obydlených bytů,Česká republika,8. a vyšší poschodí,89757
2021,Počet  obydlených bytů,Česká republika,Nezjištěno,341071
2021,Počet  obydlených bytů,Hlavní město Praha,Obydlené byty celkem,627705
2021,Počet  obydlených bytů,Hlavní město Praha,"Suterén, sklep",6197
2021,Počet  obydlených bytů,Hlavní město Praha,Přízemí,112204
2021,Počet  obydlených bytů,Hlavní město Praha,1. poschodí,106009
2021,Počet  obydlených bytů,Hlavní město Praha,2. poschodí,90311
2021,Počet  obydlených bytů,Hlavní město Praha,3. poschodí,80460
2021,Počet  obydlených bytů,Hlavní město Praha,4. poschodí,60379
2021,Počet  obydlených bytů,Hlavní město Praha,5. poschodí,39980
2021,Počet  obydlených bytů,Hlavní město Praha,6. poschodí,25742
2021,Počet  obydlených bytů,Hlavní město Praha,7. poschodí,18773
2021,Počet  obydlených bytů,Hlavní město Praha,8. a vyšší poschodí,30713
2021,Počet  obydlených bytů,Hlavní město Praha,Nezjištěno,56937
2021,Počet  obydlených bytů,Středočeský kraj,Obydlené byty celkem,561642
2021,Počet  obydlených bytů,Středočeský kraj,"Suterén, sklep",3173
2021,Počet  obydlených bytů,Středočeský kraj,Přízemí,312902
2021,Počet  obydlených bytů,Středočeský kraj,1. poschodí,95287
2021,Počet  obydlených bytů,Středočeský kraj,2. poschodí,38951
2021,Počet  obydlených bytů,Středočeský kraj,3. poschodí,25440
2021,Počet  obydlených bytů,Středočeský kraj,4. poschodí,12878
2021,Počet  obydlených bytů,Středočeský kraj,5. poschodí,8721
2021,Počet  obydlených bytů,Středočeský kraj,6. poschodí,6991
2021,Počet  obydlených bytů,Středočeský kraj,7. poschodí,6430
2021,Počet  obydlených bytů,Středočeský kraj,8. a vyšší poschodí,5845
2021,Počet  obydlených bytů,Středočeský kraj,Nezjištěno,45024
2021,Počet  obydlených bytů,Jihočeský kraj,Obydlené byty celkem,265601
2021,Počet  obydlených bytů,Jihočeský kraj,"Suterén, sklep",1421
2021,Počet  obydlených bytů,Jihočeský kraj,Přízemí,113011
2021,Počet  obydlených bytů,Jihočeský kraj,1. poschodí,56047
2021,Počet  obydlených bytů,Jihočeský kraj,2. poschodí,27196
2021,Počet  obydlených bytů,Jihočeský kraj,3. poschodí,17549
2021,Počet  obydlených bytů,Jihočeský kraj,4. poschodí,12077
2021,Počet  obydlených bytů,Jihočeský kraj,5. poschodí,6390
2021,Počet  obydlených bytů,Jihočeský kraj,6. poschodí,5072
2021,Počet  obydlených bytů,Jihočeský kraj,7. poschodí,3501
2021,Počet  obydlených bytů,Jihočeský kraj,8. a vyšší poschodí,4138
2021,Počet  obydlených bytů,Jihočeský kraj,Nezjištěno,19199
2021,Počet  obydlených bytů,Plzeňský kraj,Obydlené byty celkem,247030
2021,Počet  obydlených bytů,Plzeňský kraj,"Suterén, sklep",1480
2021,Počet  obydlených bytů,Plzeňský kraj,Přízemí,109787
2021,Počet  obydlených bytů,Plzeňský kraj,1. poschodí,48566
2021,Počet  obydlených bytů,Plzeňský kraj,2. poschodí,24611
2021,Počet  obydlených bytů,Plzeňský kraj,3. poschodí,17718
2021,Počet  obydlených bytů,Plzeňský kraj,4. poschodí,8737
2021,Počet  obydlených bytů,Plzeňský kraj,5. poschodí,6400
2021,Počet  obydlených bytů,Plzeňský kraj,6. poschodí,4145
2021,Počet  obydlených bytů,Plzeňský kraj,7. poschodí,3429
2021,Počet  obydlených bytů,Plzeňský kraj,8. a vyšší poschodí,2101
2021,Počet  obydlených bytů,Plzeňský kraj,Nezjištěno,20056
2021,Počet  obydlených bytů,Karlovarský kraj,Obydlené byty celkem,125299
2021,Počet  obydlených bytů,Karlovarský kraj,"Suterén, sklep",767
2021,Počet  obydlených bytů,Karlovarský kraj,Přízemí,38960
2021,Počet  obydlených bytů,Karlovarský kraj,1. poschodí,26518
2021,Počet  obydlených bytů,Karlovarský kraj,2. poschodí,17209
2021,Počet  obydlených bytů,Karlovarský kraj,3. poschodí,12277
2021,Počet  obydlených bytů,Karlovarský kraj,4. poschodí,6442
2021,Počet  obydlených bytů,Karlovarský kraj,5. poschodí,4140
2021,Počet  obydlených bytů,Karlovarský kraj,6. poschodí,2596
2021,Počet  obydlených bytů,Karlovarský kraj,7. poschodí,1930
2021,Počet  obydlených bytů,Karlovarský kraj,8. a vyšší poschodí,1499
2021,Počet  obydlených bytů,Karlovarský kraj,Nezjištěno,12961
2021,Počet  obydlených bytů,Ústecký kraj,Obydlené byty celkem,353285
2021,Počet  obydlených bytů,Ústecký kraj,"Suterén, sklep",2259
2021,Počet  obydlených bytů,Ústecký kraj,Přízemí,116936
2021,Počet  obydlených bytů,Ústecký kraj,1. poschodí,68737
2021,Počet  obydlených bytů,Ústecký kraj,2. poschodí,40035
2021,Počet  obydlených bytů,Ústecký kraj,3. poschodí,30861
2021,Počet  obydlených bytů,Ústecký kraj,4. poschodí,17057
2021,Počet  obydlených bytů,Ústecký kraj,5. poschodí,13544
2021,Počet  obydlených bytů,Ústecký kraj,6. poschodí,11388
2021,Počet  obydlených bytů,Ústecký kraj,7. poschodí,10304
2021,Počet  obydlených bytů,Ústecký kraj,8. a vyšší poschodí,5673
2021,Počet  obydlených bytů,Ústecký kraj,Nezjištěno,36491
2021,Počet  obydlených bytů,Liberecký kraj,Obydlené byty celkem,187627
2021,Počet  obydlených bytů,Liberecký kraj,"Suterén, sklep",1543
2021,Počet  obydlených bytů,Liberecký kraj,Přízemí,70938
2021,Počet  obydlených bytů,Liberecký kraj,1. poschodí,40343
2021,Počet  obydlených bytů,Liberecký kraj,2. poschodí,18664
2021,Počet  obydlených bytů,Liberecký kraj,3. poschodí,13145
