Kraje,Dvouleté období (kraje),Pohlaví,Věk (roky),Ukazatel,value
Hlavní město Praha,2023-2024,muži,7,Míra úmrtnosti (mx),5.02405e-05
Hlavní město Praha,2023-2024,muži,7,Pravděpodobnost úmrtí (qx),5.02393e-05
Hlavní město Praha,2023-2024,muži,7,Tabulkový počet dožívajících (lx),99767.6825826693
Hlavní město Praha,2023-2024,muži,7,Tabulkový počet zemřelých (dx),5.0122558176
Hlavní město Praha,2023-2024,muži,7,Tabulkový počet žijících (Lx),99765.1764547605
Hlavní město Praha,2023-2024,muži,7,Pomocný ukazatel (Tx),7184233.86782337
Hlavní město Praha,2023-2024,muži,7,Naděje dožití (ex),72.0096295899
Hlavní město Praha,2023-2024,muži,8,Počet zemřelých (Dx),0.0
Hlavní město Praha,2023-2024,muži,8,Počet obyvatel (Px),15248.0
Hlavní město Praha,2023-2024,muži,8,Míra úmrtnosti (mx),4.94424e-05
Hlavní město Praha,2023-2024,muži,8,Pravděpodobnost úmrtí (qx),4.94412e-05
Hlavní město Praha,2023-2024,muži,8,Tabulkový počet dožívajících (lx),99762.6703268517
Hlavní město Praha,2023-2024,muži,8,Tabulkový počet zemřelých (dx),4.9323871256
Hlavní město Praha,2023-2024,muži,8,Tabulkový počet žijících (Lx),99760.2041332889
Hlavní město Praha,2023-2024,muži,8,Pomocný ukazatel (Tx),7084468.69136861
Hlavní město Praha,2023-2024,muži,8,Naděje dožití (ex),71.0132223622
Hlavní město Praha,2023-2024,muži,9,Počet zemřelých (Dx),1.0
Hlavní město Praha,2023-2024,muži,9,Počet obyvatel (Px),15139.0
Hlavní město Praha,2023-2024,muži,9,Míra úmrtnosti (mx),5.21453e-05
Hlavní město Praha,2023-2024,muži,9,Pravděpodobnost úmrtí (qx),5.21439e-05
Hlavní město Praha,2023-2024,muži,9,Tabulkový počet dožívajících (lx),99757.7379397261
Hlavní město Praha,2023-2024,muži,9,Tabulkový počet zemřelých (dx),5.2017576779
Hlavní město Praha,2023-2024,muži,9,Tabulkový počet žijících (Lx),99755.1370608872
Hlavní město Praha,2023-2024,muži,9,Pomocný ukazatel (Tx),6984708.48723532
Hlavní město Praha,2023-2024,muži,9,Naděje dožití (ex),70.0167087936
Hlavní město Praha,2023-2024,muži,10,Počet zemřelých (Dx),2.0
Hlavní město Praha,2023-2024,muži,10,Počet obyvatel (Px),14958.0
Hlavní město Praha,2023-2024,muži,10,Míra úmrtnosti (mx),5.83496e-05
Hlavní město Praha,2023-2024,muži,10,Pravděpodobnost úmrtí (qx),5.83479e-05
Hlavní město Praha,2023-2024,muži,10,Tabulkový počet dožívajících (lx),99752.5361820482
Hlavní město Praha,2023-2024,muži,10,Tabulkový počet zemřelých (dx),5.8203519629
Hlavní město Praha,2023-2024,muži,10,Tabulkový počet žijících (Lx),99749.6260060668
Hlavní město Praha,2023-2024,muži,10,Pomocný ukazatel (Tx),6884953.35017443
Hlavní město Praha,2023-2024,muži,10,Naděje dožití (ex),69.0203338551
Hlavní město Praha,2023-2024,muži,11,Počet zemřelých (Dx),0.0
Hlavní město Praha,2023-2024,muži,11,Počet obyvatel (Px),14807.0
Hlavní město Praha,2023-2024,muži,11,Míra úmrtnosti (mx),6.84787e-05
Hlavní město Praha,2023-2024,muži,11,Pravděpodobnost úmrtí (qx),6.84764e-05
Hlavní město Praha,2023-2024,muži,11,Tabulkový počet dožívajících (lx),99746.7158300853
Hlavní město Praha,2023-2024,muži,11,Tabulkový počet zemřelých (dx),6.8302945749
Hlavní město Praha,2023-2024,muži,11,Tabulkový počet žijících (Lx),99743.3006827979
Hlavní město Praha,2023-2024,muži,11,Pomocný ukazatel (Tx),6785203.72416836
Hlavní město Praha,2023-2024,muži,11,Naděje dožití (ex),68.0243321066
Hlavní město Praha,2023-2024,muži,12,Počet zemřelých (Dx),1.0
Hlavní město Praha,2023-2024,muži,12,Počet obyvatel (Px),14856.0
Hlavní město Praha,2023-2024,muži,12,Míra úmrtnosti (mx),8.33609e-05
Hlavní město Praha,2023-2024,muži,12,Pravděpodobnost úmrtí (qx),8.33575e-05
