Kraje,Dvouleté období (kraje),Pohlaví,Věk (roky),Ukazatel,value
Hlavní město Praha,2023-2024,muži,35,Naděje dožití (ex),44.6264995678
Hlavní město Praha,2023-2024,muži,36,Počet zemřelých (Dx),24.0
Hlavní město Praha,2023-2024,muži,36,Počet obyvatel (Px),22393.0
Hlavní město Praha,2023-2024,muži,36,Míra úmrtnosti (mx),0.0010404383
Hlavní město Praha,2023-2024,muži,36,Pravděpodobnost úmrtí (qx),0.0010398973
Hlavní město Praha,2023-2024,muži,36,Tabulkový počet dožívajících (lx),98530.8525422664
Hlavní město Praha,2023-2024,muži,36,Tabulkový počet zemřelých (dx),102.4619688359
Hlavní město Praha,2023-2024,muži,36,Tabulkový počet žijících (Lx),98479.6215578484
Hlavní město Praha,2023-2024,muži,36,Pomocný ukazatel (Tx),4302695.06514796
Hlavní město Praha,2023-2024,muži,36,Naděje dožití (ex),43.6685053882
Hlavní město Praha,2023-2024,muži,37,Počet zemřelých (Dx),29.0
Hlavní město Praha,2023-2024,muži,37,Počet obyvatel (Px),22456.0
Hlavní město Praha,2023-2024,muži,37,Míra úmrtnosti (mx),0.0011310396
Hlavní město Praha,2023-2024,muži,37,Pravděpodobnost úmrtí (qx),0.0011304003
Hlavní město Praha,2023-2024,muži,37,Tabulkový počet dožívajících (lx),98428.3905734304
Hlavní město Praha,2023-2024,muži,37,Tabulkový počet zemřelých (dx),111.2634814205
Hlavní město Praha,2023-2024,muži,37,Tabulkový počet žijících (Lx),98372.7588327202
Hlavní město Praha,2023-2024,muži,37,Pomocný ukazatel (Tx),4204215.44359011
Hlavní město Praha,2023-2024,muži,37,Naděje dožití (ex),42.7134429314
Hlavní město Praha,2023-2024,muži,38,Počet zemřelých (Dx),29.0
Hlavní město Praha,2023-2024,muži,38,Počet obyvatel (Px),22427.0
Hlavní město Praha,2023-2024,muži,38,Míra úmrtnosti (mx),0.0012192003
Hlavní město Praha,2023-2024,muži,38,Pravděpodobnost úmrtí (qx),0.0012184575
Hlavní město Praha,2023-2024,muži,38,Tabulkový počet dožívajících (lx),98317.1270920099
Hlavní město Praha,2023-2024,muži,38,Tabulkový počet zemřelých (dx),119.7952436892
Hlavní město Praha,2023-2024,muži,38,Tabulkový počet žijících (Lx),98257.2294701653
Hlavní město Praha,2023-2024,muži,38,Pomocný ukazatel (Tx),4105842.68475739
Hlavní město Praha,2023-2024,muži,38,Naděje dožití (ex),41.7612150212
Hlavní město Praha,2023-2024,muži,39,Počet zemřelých (Dx),28.0
Hlavní město Praha,2023-2024,muži,39,Počet obyvatel (Px),22068.0
Hlavní město Praha,2023-2024,muži,39,Míra úmrtnosti (mx),0.0013037335
Hlavní město Praha,2023-2024,muži,39,Pravděpodobnost úmrtí (qx),0.0013028842
Hlavní město Praha,2023-2024,muži,39,Tabulkový počet dožívajících (lx),98197.3318483208
Hlavní město Praha,2023-2024,muži,39,Tabulkový počet zemřelých (dx),127.9397473655
Hlavní město Praha,2023-2024,muži,39,Tabulkový počet žijících (Lx),98133.361974638
Hlavní město Praha,2023-2024,muži,39,Pomocný ukazatel (Tx),4007585.45528722
Hlavní město Praha,2023-2024,muži,39,Naděje dožití (ex),40.811551392
Hlavní město Praha,2023-2024,muži,40,Počet zemřelých (Dx),37.0
Hlavní město Praha,2023-2024,muži,40,Počet obyvatel (Px),21883.0
Hlavní město Praha,2023-2024,muži,40,Míra úmrtnosti (mx),0.0013842665
Hlavní město Praha,2023-2024,muži,40,Pravděpodobnost úmrtí (qx),0.001383309
Hlavní město Praha,2023-2024,muži,40,Tabulkový počet dožívajících (lx),98069.3921009552
Hlavní město Praha,2023-2024,muži,40,Tabulkový počet zemřelých (dx),135.6602753075
Hlavní město Praha,2023-2024,muži,40,Tabulkový počet žijících (Lx),98001.5619633015
Hlavní město Praha,2023-2024,muži,40,Pomocný ukazatel (Tx),3909452.09331259
Hlavní město Praha,2023-2024,muži,40,Naděje dožití (ex),39.8641411919
Hlavní město Praha,2023-2024,muži,41,Počet zemřelých (Dx),34.0
Hlavní město Praha,2023-2024,muži,41,Počet obyvatel (Px),22107.0
Hlavní město Praha,2023-2024,muži,41,Míra úmrtnosti (mx),0.0014629027
Hlavní město Praha,2023-2024,muži,41,Pravděpodobnost úmrtí (qx),0.0014618334
Hlavní město Praha,2023-2024,muži,41,Tabulkový počet dožívajících (lx),97933.7318256477
Hlavní město Praha,2023-2024,muži,41,Tabulkový počet zemřelých (dx),143.1628031049
Hlavní město Praha,2023-2024,muži,41,Tabulkový počet žijících (Lx),97862.1504240952
Hlavní město Praha,2023-2024,muži,41,Pomocný ukazatel (Tx),3811450.53134928
Hlavní město Praha,2023-2024,muži,41,Naděje dožití (ex),38.918669393
Hlavní město Praha,2023-2024,muži,42,Počet zemřelých (Dx),32.0
Hlavní město Praha,2023-2024,muži,42,Počet obyvatel (Px),22503.0
Hlavní město Praha,2023-2024,muži,42,Míra úmrtnosti (mx),0.0015464399
Hlavní město Praha,2023-2024,muži,42,Pravděpodobnost úmrtí (qx),0.0015452451
Hlavní město Praha,2023-2024,muži,42,Tabulkový počet dožívajících (lx),97790.5690225428
Hlavní město Praha,2023-2024,muži,42,Tabulkový počet zemřelých (dx),151.110401027
Hlavní město Praha,2023-2024,muži,42,Tabulkový počet žijících (Lx),97715.0138220293
Hlavní město Praha,2023-2024,muži,42,Pomocný ukazatel (Tx),3713588.38092519
Hlavní město Praha,2023-2024,muži,42,Naděje dožití (ex),37.9749133075
Hlavní město Praha,2023-2024,muži,43,Počet zemřelých (Dx),39.0
Hlavní město Praha,2023-2024,muži,43,Počet obyvatel (Px),23322.0
Hlavní město Praha,2023-2024,muži,43,Míra úmrtnosti (mx),0.00164367
Hlavní město Praha,2023-2024,muži,43,Pravděpodobnost úmrtí (qx),0.0016423203
Hlavní město Praha,2023-2024,muži,43,Tabulkový počet dožívajících (lx),97639.4586215158
Hlavní město Praha,2023-2024,muži,43,Tabulkový počet zemřelých (dx),160.355263613
Hlavní město Praha,2023-2024,muži,43,Tabulkový počet žijících (Lx),97559.2809897094
Hlavní město Praha,2023-2024,muži,43,Pomocný ukazatel (Tx),3615873.36710316
Hlavní město Praha,2023-2024,muži,43,Naděje dožití (ex),37.0329108554
Hlavní město Praha,2023-2024,muži,44,Počet zemřelých (Dx),38.0
Hlavní město Praha,2023-2024,muži,44,Počet obyvatel (Px),24508.0
Hlavní město Praha,2023-2024,muži,44,Míra úmrtnosti (mx),0.0017628036
Hlavní město Praha,2023-2024,muži,44,Pravděpodobnost úmrtí (qx),0.0017612513
Hlavní město Praha,2023-2024,muži,44,Tabulkový počet dožívajících (lx),97479.1033579029
Hlavní město Praha,2023-2024,muži,44,Tabulkový počet zemřelých (dx),171.6851937072
Hlavní město Praha,2023-2024,muži,44,Tabulkový počet žijících (Lx),97393.2607610493
Hlavní město Praha,2023-2024,muži,44,Pomocný ukazatel (Tx),3518314.08611345
Hlavní město Praha,2023-2024,muži,44,Naděje dožití (ex),36.0930082953
Hlavní město Praha,2023-2024,muži,45,Počet zemřelých (Dx),44.0
Hlavní město Praha,2023-2024,muži,45,Počet obyvatel (Px),25019.0
Hlavní město Praha,2023-2024,muži,45,Míra úmrtnosti (mx),0.0019109701
Hlavní město Praha,2023-2024,muži,45,Pravděpodobnost úmrtí (qx),0.001909146
Hlavní město Praha,2023-2024,muži,45,Tabulkový počet dožívajících (lx),97307.4181641957
Hlavní město Praha,2023-2024,muži,45,Tabulkový počet zemřelých (dx),185.774065842
Hlavní město Praha,2023-2024,muži,45,Tabulkový počet žijících (Lx),97214.5311312747
Hlavní město Praha,2023-2024,muži,45,Pomocný ukazatel (Tx),3420920.8253524
Hlavní město Praha,2023-2024,muži,45,Naděje dožití (ex),35.1558071306
Hlavní město Praha,2023-2024,muži,46,Počet zemřelých (Dx),54.0
Hlavní město Praha,2023-2024,muži,46,Počet obyvatel (Px),24929.0
Hlavní město Praha,2023-2024,muži,46,Míra úmrtnosti (mx),0.0020969516
Hlavní město Praha,2023-2024,muži,46,Pravděpodobnost úmrtí (qx),0.0020947553
Hlavní město Praha,2023-2024,muži,46,Tabulkový počet dožívajících (lx),97121.6440983537
Hlavní město Praha,2023-2024,muži,46,Tabulkový počet zemřelých (dx),203.446078432
Hlavní město Praha,2023-2024,muži,46,Tabulkový počet žijících (Lx),97019.9210591377
Hlavní město Praha,2023-2024,muži,46,Pomocný ukazatel (Tx),3323706.29422113
Hlavní město Praha,2023-2024,muži,46,Naděje dožití (ex),34.2220966817
Hlavní město Praha,2023-2024,muži,47,Počet zemřelých (Dx),44.0
Hlavní město Praha,2023-2024,muži,47,Počet obyvatel (Px),24613.0
Hlavní město Praha,2023-2024,muži,47,Míra úmrtnosti (mx),0.0023258516
Hlavní město Praha,2023-2024,muži,47,Pravděpodobnost úmrtí (qx),0.00232315
Hlavní město Praha,2023-2024,muži,47,Tabulkový počet dožívajících (lx),96918.1980199217
Hlavní město Praha,2023-2024,muži,47,Tabulkový počet zemřelých (dx),225.1555083545
Hlavní město Praha,2023-2024,muži,47,Tabulkový počet žijících (Lx),96805.6202657445
Hlavní město Praha,2023-2024,muži,47,Pomocný ukazatel (Tx),3226686.37316199
Hlavní město Praha,2023-2024,muži,47,Naděje dožití (ex),33.2928845055
Hlavní město Praha,2023-2024,muži,48,Počet zemřelých (Dx),69.0
Hlavní město Praha,2023-2024,muži,48,Počet obyvatel (Px),24240.0
Hlavní město Praha,2023-2024,muži,48,Míra úmrtnosti (mx),0.0025981816
Hlavní město Praha,2023-2024,muži,48,Pravděpodobnost úmrtí (qx),0.0025948107
Hlavní město Praha,2023-2024,muži,48,Tabulkový počet dožívajících (lx),96693.0425115673
Hlavní město Praha,2023-2024,muži,48,Tabulkový počet zemřelých (dx),250.9001375773
Hlavní město Praha,2023-2024,muži,48,Tabulkový počet žijících (Lx),96567.5924427786
Hlavní město Praha,2023-2024,muži,48,Pomocný ukazatel (Tx),3129880.75289624
Hlavní město Praha,2023-2024,muži,48,Naděje dožití (ex),32.3692446902
Hlavní město Praha,2023-2024,muži,49,Počet zemřelých (Dx),75.0
Hlavní město Praha,2023-2024,muži,49,Počet obyvatel (Px),23453.0
Hlavní město Praha,2023-2024,muži,49,Míra úmrtnosti (mx),0.0029128605
Hlavní město Praha,2023-2024,muži,49,Pravděpodobnost úmrtí (qx),0.0029086243
Hlavní město Praha,2023-2024,muži,49,Tabulkový počet dožívajících (lx),96442.14237399
Hlavní město Praha,2023-2024,muži,49,Tabulkový počet zemřelých (dx),280.513961649
Hlavní město Praha,2023-2024,muži,49,Tabulkový počet žijících (Lx),96301.8853931655
Hlavní město Praha,2023-2024,muži,49,Pomocný ukazatel (Tx),3033313.16045347
Hlavní město Praha,2023-2024,muži,49,Naděje dožití (ex),31.4521544813
Hlavní město Praha,2023-2024,muži,50,Počet zemřelých (Dx),77.0
Hlavní město Praha,2023-2024,muži,50,Počet obyvatel (Px),21863.0
Hlavní město Praha,2023-2024,muži,50,Míra úmrtnosti (mx),0.0032694343
Hlavní město Praha,2023-2024,muži,50,Pravděpodobnost úmrtí (qx),0.0032640984
Hlavní město Praha,2023-2024,muži,50,Tabulkový počet dožívajících (lx),96161.6284123409
Hlavní město Praha,2023-2024,muži,50,Tabulkový počet zemřelých (dx),313.8810152455
Hlavní město Praha,2023-2024,muži,50,Tabulkový počet žijících (Lx),96004.6879047182
Hlavní město Praha,2023-2024,muži,50,Pomocný ukazatel (Tx),2937011.2750603
Hlavní město Praha,2023-2024,muži,50,Naděje dožití (ex),30.5424452929
Hlavní město Praha,2023-2024,muži,51,Počet zemřelých (Dx),64.0
Hlavní město Praha,2023-2024,muži,51,Počet obyvatel (Px),19847.0
Hlavní město Praha,2023-2024,muži,51,Míra úmrtnosti (mx),0.0036669154
Hlavní město Praha,2023-2024,muži,51,Pravděpodobnost úmrtí (qx),0.0036602045
Hlavní město Praha,2023-2024,muži,51,Tabulkový počet dožívajících (lx),95847.7473970955
Hlavní město Praha,2023-2024,muži,51,Tabulkový počet zemřelých (dx),350.8223588204
Hlavní město Praha,2023-2024,muži,51,Tabulkový počet žijících (Lx),95672.3362176853
Hlavní město Praha,2023-2024,muži,51,Pomocný ukazatel (Tx),2841006.58715558
Hlavní město Praha,2023-2024,muži,51,Naděje dožití (ex),29.6408279204
Hlavní město Praha,2023-2024,muži,52,Počet zemřelých (Dx),68.0
Hlavní město Praha,2023-2024,muži,52,Počet obyvatel (Px),18411.0
Hlavní město Praha,2023-2024,muži,52,Míra úmrtnosti (mx),0.0041019865
Hlavní město Praha,2023-2024,muži,52,Pravděpodobnost úmrtí (qx),0.0040935905
Hlavní město Praha,2023-2024,muži,52,Tabulkový počet dožívajících (lx),95496.9250382751
Hlavní město Praha,2023-2024,muži,52,Tabulkový počet zemřelých (dx),390.9253088173
Hlavní město Praha,2023-2024,muži,52,Tabulkový počet žijících (Lx),95301.4623838665
Hlavní město Praha,2023-2024,muži,52,Pomocný ukazatel (Tx),2745334.2509379
Hlavní město Praha,2023-2024,muži,52,Naděje dožití (ex),28.7478811474
Hlavní město Praha,2023-2024,muži,53,Počet zemřelých (Dx),84.0
Hlavní město Praha,2023-2024,muži,53,Počet obyvatel (Px),17215.0
Hlavní město Praha,2023-2024,muži,53,Míra úmrtnosti (mx),0.0045689918
Hlavní město Praha,2023-2024,muži,53,Pravděpodobnost úmrtí (qx),0.0045585777
Hlavní město Praha,2023-2024,muži,53,Tabulkový počet dožívajících (lx),95105.9997294578
Hlavní město Praha,2023-2024,muži,53,Tabulkový počet zemřelých (dx),433.5480913915
Hlavní město Praha,2023-2024,muži,53,Tabulkový počet žijících (Lx),94889.2256837621
Hlavní město Praha,2023-2024,muži,53,Pomocný ukazatel (Tx),2650032.78855403
Hlavní město Praha,2023-2024,muži,53,Naděje dožití (ex),27.8639917155
Hlavní město Praha,2023-2024,muži,54,Počet zemřelých (Dx),94.0
Hlavní město Praha,2023-2024,muži,54,Počet obyvatel (Px),16060.0
Hlavní město Praha,2023-2024,muži,54,Míra úmrtnosti (mx),0.0050590836
Hlavní město Praha,2023-2024,muži,54,Pravděpodobnost úmrtí (qx),0.0050463187
Hlavní město Praha,2023-2024,muži,54,Tabulkový počet dožívajících (lx),94672.4516380663
Hlavní město Praha,2023-2024,muži,54,Tabulkový počet zemřelých (dx),477.7473612686
Hlavní město Praha,2023-2024,muži,54,Tabulkový počet žijících (Lx),94433.577957432
Hlavní město Praha,2023-2024,muži,54,Pomocný ukazatel (Tx),2555143.56287027
Hlavní město Praha,2023-2024,muži,54,Naděje dožití (ex),26.9893038435
Hlavní město Praha,2023-2024,muži,55,Počet zemřelých (Dx),86.0
Hlavní město Praha,2023-2024,muži,55,Počet obyvatel (Px),15376.0
Hlavní město Praha,2023-2024,muži,55,Míra úmrtnosti (mx),0.0055633584
Hlavní město Praha,2023-2024,muži,55,Pravděpodobnost úmrtí (qx),0.0055479259
Hlavní město Praha,2023-2024,muži,55,Tabulkový počet dožívajících (lx),94194.7042767977
Hlavní město Praha,2023-2024,muži,55,Tabulkový počet zemřelých (dx),522.5852387904
Hlavní město Praha,2023-2024,muži,55,Tabulkový počet žijících (Lx),93933.4116574025
Hlavní město Praha,2023-2024,muži,55,Pomocný ukazatel (Tx),2460709.98491284
Hlavní město Praha,2023-2024,muži,55,Naděje dožití (ex),26.1236552926
Hlavní město Praha,2023-2024,muži,56,Počet zemřelých (Dx),92.0
Hlavní město Praha,2023-2024,muži,56,Počet obyvatel (Px),15030.0
Hlavní město Praha,2023-2024,muži,56,Míra úmrtnosti (mx),0.0060833322
Hlavní město Praha,2023-2024,muži,56,Pravděpodobnost úmrtí (qx),0.0060648848
Hlavní město Praha,2023-2024,muži,56,Tabulkový počet dožívajících (lx),93672.1190380073
Hlavní město Praha,2023-2024,muži,56,Tabulkový počet zemřelých (dx),568.1106114755
Hlavní město Praha,2023-2024,muži,56,Tabulkový počet žijících (Lx),93388.0637322696
Hlavní město Praha,2023-2024,muži,56,Pomocný ukazatel (Tx),2366776.57325543
Hlavní město Praha,2023-2024,muži,56,Naděje dožití (ex),25.266606516
Hlavní město Praha,2023-2024,muži,57,Počet zemřelých (Dx),95.0
Hlavní město Praha,2023-2024,muži,57,Počet obyvatel (Px),14899.0
Hlavní město Praha,2023-2024,muži,57,Míra úmrtnosti (mx),0.0066251574
Hlavní město Praha,2023-2024,muži,57,Pravděpodobnost úmrtí (qx),0.0066032835
Hlavní město Praha,2023-2024,muži,57,Tabulkový počet dožívajících (lx),93104.0084265318
Hlavní město Praha,2023-2024,muži,57,Tabulkový počet zemřelých (dx),614.7921627953
Hlavní město Praha,2023-2024,muži,57,Tabulkový počet žijících (Lx),92796.6123451342
Hlavní město Praha,2023-2024,muži,57,Pomocný ukazatel (Tx),2273388.50952316
Hlavní město Praha,2023-2024,muži,57,Naděje dožití (ex),24.4177296761
Hlavní město Praha,2023-2024,muži,58,Počet zemřelých (Dx),111.0
Hlavní město Praha,2023-2024,muži,58,Počet obyvatel (Px),15291.0
Hlavní město Praha,2023-2024,muži,58,Míra úmrtnosti (mx),0.007198407
Hlavní město Praha,2023-2024,muži,58,Pravděpodobnost úmrtí (qx),0.0071725913
Hlavní město Praha,2023-2024,muži,58,Tabulkový počet dožívajících (lx),92489.2162637366
Hlavní město Praha,2023-2024,muži,58,Tabulkový počet zemřelých (dx),663.3873517887
Hlavní město Praha,2023-2024,muži,58,Tabulkový počet žijících (Lx),92157.5225878422
Hlavní město Praha,2023-2024,muži,58,Pomocný ukazatel (Tx),2180591.89717803
Hlavní město Praha,2023-2024,muži,58,Naděje dožití (ex),23.5767150514
Hlavní město Praha,2023-2024,muži,59,Počet zemřelých (Dx),127.0
Hlavní město Praha,2023-2024,muži,59,Počet obyvatel (Px),15539.0
Hlavní město Praha,2023-2024,muži,59,Míra úmrtnosti (mx),0.007817124
Hlavní město Praha,2023-2024,muži,59,Pravděpodobnost úmrtí (qx),0.0077866893
Hlavní město Praha,2023-2024,muži,59,Tabulkový počet dožívajících (lx),91825.8289119478
Hlavní město Praha,2023-2024,muži,59,Tabulkový počet zemřelých (dx),715.0191965532
Hlavní město Praha,2023-2024,muži,59,Tabulkový počet žijících (Lx),91468.3193136712
Hlavní město Praha,2023-2024,muži,59,Pomocný ukazatel (Tx),2088434.37459019
Hlavní město Praha,2023-2024,muži,59,Naděje dožití (ex),22.7434306811
Hlavní město Praha,2023-2024,muži,60,Počet zemřelých (Dx),121.0
Hlavní město Praha,2023-2024,muži,60,Počet obyvatel (Px),14875.0
Hlavní město Praha,2023-2024,muži,60,Míra úmrtnosti (mx),0.0084999045
Hlavní město Praha,2023-2024,muži,60,Pravděpodobnost úmrtí (qx),0.0084639332
Hlavní město Praha,2023-2024,muži,60,Tabulkový počet dožívajících (lx),91110.8097153947
Hlavní město Praha,2023-2024,muži,60,Tabulkový počet zemřelých (dx),771.1558054407
Hlavní město Praha,2023-2024,muži,60,Tabulkový počet žijících (Lx),90725.2318126743
Hlavní město Praha,2023-2024,muži,60,Pomocný ukazatel (Tx),1996966.05527652
Hlavní město Praha,2023-2024,muži,60,Naděje dožití (ex),21.9179926236
Hlavní město Praha,2023-2024,muži,61,Počet zemřelých (Dx),114.0
Hlavní město Praha,2023-2024,muži,61,Počet obyvatel (Px),13543.0
Hlavní město Praha,2023-2024,muži,61,Míra úmrtnosti (mx),0.009266694
Hlavní město Praha,2023-2024,muži,61,Pravděpodobnost úmrtí (qx),0.0092239562
Hlavní město Praha,2023-2024,muži,61,Tabulkový počet dožívajících (lx),90339.6539099539
Hlavní město Praha,2023-2024,muži,61,Tabulkový počet zemřelých (dx),833.2890131013
Hlavní město Praha,2023-2024,muži,61,Tabulkový počet žijících (Lx),89923.0094034033
Hlavní město Praha,2023-2024,muži,61,Pomocný ukazatel (Tx),1906240.82346384
Hlavní město Praha,2023-2024,muži,61,Naděje dožití (ex),21.1008205252
Hlavní město Praha,2023-2024,muži,62,Počet zemřelých (Dx),143.0
Hlavní město Praha,2023-2024,muži,62,Počet obyvatel (Px),12503.0
Hlavní město Praha,2023-2024,muži,62,Míra úmrtnosti (mx),0.0101368364
Hlavní město Praha,2023-2024,muži,62,Pravděpodobnost úmrtí (qx),0.0100857177
Hlavní město Praha,2023-2024,muži,62,Tabulkový počet dožívajících (lx),89506.3648968526
Hlavní město Praha,2023-2024,muži,62,Tabulkový počet zemřelých (dx),902.7359329884
Hlavní město Praha,2023-2024,muži,62,Tabulkový počet žijících (Lx),89054.9969303584
Hlavní město Praha,2023-2024,muži,62,Pomocný ukazatel (Tx),1816317.81406044
Hlavní město Praha,2023-2024,muži,62,Naděje dožití (ex),20.2926106557
Hlavní město Praha,2023-2024,muži,63,Počet zemřelých (Dx),127.0
Hlavní město Praha,2023-2024,muži,63,Počet obyvatel (Px),11834.0
Hlavní město Praha,2023-2024,muži,63,Míra úmrtnosti (mx),0.011133549
Hlavní město Praha,2023-2024,muži,63,Pravděpodobnost úmrtí (qx),0.0110719141
Hlavní město Praha,2023-2024,muži,63,Tabulkový počet dožívajících (lx),88603.6289638642
Hlavní město Praha,2023-2024,muži,63,Tabulkový počet zemřelých (dx),981.0117700713
Hlavní město Praha,2023-2024,muži,63,Tabulkový počet žijících (Lx),88113.1230788285
Hlavní město Praha,2023-2024,muži,63,Pomocný ukazatel (Tx),1727262.81713008
Hlavní město Praha,2023-2024,muži,63,Naděje dožití (ex),19.4942671912
Hlavní město Praha,2023-2024,muži,64,Počet zemřelých (Dx),125.0
Hlavní město Praha,2023-2024,muži,64,Počet obyvatel (Px),11443.0
Hlavní město Praha,2023-2024,muži,64,Míra úmrtnosti (mx),0.0122763512
Hlavní město Praha,2023-2024,muži,64,Pravděpodobnost úmrtí (qx),0.0122014565
Hlavní město Praha,2023-2024,muži,64,Tabulkový počet dožívajících (lx),87622.6171937929
Hlavní město Praha,2023-2024,muži,64,Tabulkový počet zemřelých (dx),1069.1235503113
Hlavní město Praha,2023-2024,muži,64,Tabulkový počet žijících (Lx),87088.0554186372
Hlavní město Praha,2023-2024,muži,64,Pomocný ukazatel (Tx),1639149.69405125
Hlavní město Praha,2023-2024,muži,64,Naděje dožití (ex),18.7069246109
Hlavní město Praha,2023-2024,muži,65,Počet zemřelých (Dx),157.0
Hlavní město Praha,2023-2024,muži,65,Počet obyvatel (Px),11575.0
Hlavní město Praha,2023-2024,muži,65,Míra úmrtnosti (mx),0.0135788783
Hlavní město Praha,2023-2024,muži,65,Pravděpodobnost úmrtí (qx),0.0134873071
Hlavní město Praha,2023-2024,muži,65,Tabulkový počet dožívajících (lx),86553.4936434815
Hlavní město Praha,2023-2024,muži,65,Tabulkový počet zemřelých (dx),1167.373546093
Hlavní město Praha,2023-2024,muži,65,Tabulkový počet žijících (Lx),85969.806870435
Hlavní město Praha,2023-2024,muži,65,Pomocný ukazatel (Tx),1552061.63863261
Hlavní město Praha,2023-2024,muži,65,Naděje dožití (ex),17.9318196562
Hlavní město Praha,2023-2024,muži,66,Počet zemřelých (Dx),182.0
Hlavní město Praha,2023-2024,muži,66,Počet obyvatel (Px),11899.0
Hlavní město Praha,2023-2024,muži,66,Míra úmrtnosti (mx),0.0150538961
Hlavní město Praha,2023-2024,muži,66,Pravděpodobnost úmrtí (qx),0.0149414327
Hlavní město Praha,2023-2024,muži,66,Tabulkový počet dožívajících (lx),85386.1200973886
Hlavní město Praha,2023-2024,muži,66,Tabulkový počet zemřelých (dx),1275.7909671126
Hlavní město Praha,2023-2024,muži,66,Tabulkový počet žijících (Lx),84748.2246138323
Hlavní město Praha,2023-2024,muži,66,Pomocný ukazatel (Tx),1466091.83176218
Hlavní město Praha,2023-2024,muži,66,Naděje dožití (ex),17.1701422912
Hlavní město Praha,2023-2024,muži,67,Počet zemřelých (Dx),212.0
Hlavní město Praha,2023-2024,muži,67,Počet obyvatel (Px),12133.0
Hlavní město Praha,2023-2024,muži,67,Míra úmrtnosti (mx),0.0167080747
Hlavní město Praha,2023-2024,muži,67,Pravděpodobnost úmrtí (qx),0.0165696512
Hlavní město Praha,2023-2024,muži,67,Tabulkový počet dožívajících (lx),84110.329130276
Hlavní město Praha,2023-2024,muži,67,Tabulkový počet zemřelých (dx),1393.6788192238
Hlavní město Praha,2023-2024,muži,67,Tabulkový počet žijících (Lx),83413.4897206641
Hlavní město Praha,2023-2024,muži,67,Pomocný ukazatel (Tx),1381343.60714835
Hlavní město Praha,2023-2024,muži,67,Naděje dožití (ex),16.4229960985
Hlavní město Praha,2023-2024,muži,68,Počet zemřelých (Dx),223.0
Hlavní město Praha,2023-2024,muži,68,Počet obyvatel (Px),12302.0
Hlavní město Praha,2023-2024,muži,68,Míra úmrtnosti (mx),0.0185405631
Hlavní město Praha,2023-2024,muži,68,Pravděpodobnost úmrtí (qx),0.0183702656
Hlavní město Praha,2023-2024,muži,68,Tabulkový počet dožívajících (lx),82716.6503110522
Hlavní město Praha,2023-2024,muži,68,Tabulkový počet zemřelých (dx),1519.526836988
Hlavní město Praha,2023-2024,muži,68,Tabulkový počet žijících (Lx),81956.8868925582
Hlavní město Praha,2023-2024,muži,68,Pomocný ukazatel (Tx),1297930.11742768
Hlavní město Praha,2023-2024,muži,68,Naděje dožití (ex),15.6912799605
Hlavní město Praha,2023-2024,muži,69,Počet zemřelých (Dx),259.0
Hlavní město Praha,2023-2024,muži,69,Počet obyvatel (Px),12438.0
Hlavní město Praha,2023-2024,muži,69,Míra úmrtnosti (mx),0.0205460238
Hlavní město Praha,2023-2024,muži,69,Pravděpodobnost úmrtí (qx),0.0203371006
Hlavní město Praha,2023-2024,muži,69,Tabulkový počet dožívajících (lx),81197.1234740643
Hlavní město Praha,2023-2024,muži,69,Tabulkový počet zemřelých (dx),1651.314064872
Hlavní město Praha,2023-2024,muži,69,Tabulkový počet žijících (Lx),80371.4664416283
Hlavní město Praha,2023-2024,muži,69,Pomocný ukazatel (Tx),1215973.23053512
Hlavní město Praha,2023-2024,muži,69,Naděje dožití (ex),14.9755702974
Hlavní město Praha,2023-2024,muži,70,Počet zemřelých (Dx),283.0
Hlavní město Praha,2023-2024,muži,70,Počet obyvatel (Px),12389.0
Hlavní město Praha,2023-2024,muži,70,Míra úmrtnosti (mx),0.0227310455
Hlavní město Praha,2023-2024,muži,70,Pravděpodobnost úmrtí (qx),0.0224755986
Hlavní město Praha,2023-2024,muži,70,Tabulkový počet dožívajících (lx),79545.8094091923
Hlavní město Praha,2023-2024,muži,70,Tabulkový počet zemřelých (dx),1787.839682575
Hlavní město Praha,2023-2024,muži,70,Tabulkový počet žijících (Lx),78651.8895679048
Hlavní město Praha,2023-2024,muži,70,Pomocný ukazatel (Tx),1135601.7640935
Hlavní město Praha,2023-2024,muži,70,Naděje dožití (ex),14.2760727753
Hlavní město Praha,2023-2024,muži,71,Počet zemřelých (Dx),310.0
Hlavní město Praha,2023-2024,muži,71,Počet obyvatel (Px),12126.0
Hlavní město Praha,2023-2024,muži,71,Míra úmrtnosti (mx),0.0251086273
Hlavní město Praha,2023-2024,muži,71,Pravděpodobnost úmrtí (qx),0.0247973141
Hlavní město Praha,2023-2024,muži,71,Tabulkový počet dožívajících (lx),77757.9697266173
Hlavní město Praha,2023-2024,muži,71,Tabulkový počet zemřelých (dx),1928.1887982604
Hlavní město Praha,2023-2024,muži,71,Tabulkový počet žijících (Lx),76793.8753274871
Hlavní město Praha,2023-2024,muži,71,Pomocný ukazatel (Tx),1056949.87452559
Hlavní město Praha,2023-2024,muži,71,Naděje dožití (ex),13.5928172796
Hlavní město Praha,2023-2024,muži,72,Počet zemřelých (Dx),328.0
Hlavní město Praha,2023-2024,muži,72,Počet obyvatel (Px),11645.0
Hlavní město Praha,2023-2024,muži,72,Míra úmrtnosti (mx),0.0276956747
