Rok sčítání;Území;Ukazatel;value
2011;Česká republika;Vyjíždějící celkem;2846076
2011;Česká republika;Vyjíždějící do zaměstnání;2062124
2011;Česká republika;Vyjíždějící do zaměstnání v rámci obce;924948
2011;Česká republika;Vyjíždějící do zaměstnání do jiné obce okresu;596686
2011;Česká republika;Vyjíždějící do zaměstnání do jiného okresu kraje;254617
2011;Česká republika;Vyjíždějící do zaměstnání do jiného kraje;248625
2011;Česká republika;Vyjíždějící do zaměstnání do zahraničí;37248
2011;Česká republika;Vyjíždějící do škol;783952
2011;Česká republika;Vyjíždějící do škol v rámci obce;354218
2011;Česká republika;Vyjíždějící do škol mimo obec;429734
2011;Hlavní město Praha;Vyjíždějící celkem;363057
2011;Hlavní město Praha;Vyjíždějící do zaměstnání;274568
2011;Hlavní město Praha;Vyjíždějící do zaměstnání v rámci obce;250277
2011;Hlavní město Praha;Vyjíždějící do zaměstnání do jiné obce okresu;0
2011;Hlavní město Praha;Vyjíždějící do zaměstnání do jiného okresu kraje;0
2011;Hlavní město Praha;Vyjíždějící do zaměstnání do jiného kraje;19615
2011;Hlavní město Praha;Vyjíždějící do zaměstnání do zahraničí;4676
2011;Hlavní město Praha;Vyjíždějící do škol;88489
2011;Hlavní město Praha;Vyjíždějící do škol v rámci obce;82806
2011;Hlavní město Praha;Vyjíždějící do škol mimo obec;5683
2011;Středočeský kraj;Vyjíždějící celkem;367980
2011;Středočeský kraj;Vyjíždějící do zaměstnání;271378
2011;Středočeský kraj;Vyjíždějící do zaměstnání v rámci obce;57680
2011;Středočeský kraj;Vyjíždějící do zaměstnání do jiné obce okresu;78688
2011;Středočeský kraj;Vyjíždějící do zaměstnání do jiného okresu kraje;25861
2011;Středočeský kraj;Vyjíždějící do zaměstnání do jiného kraje;106645
2011;Středočeský kraj;Vyjíždějící do zaměstnání do zahraničí;2504
2011;Středočeský kraj;Vyjíždějící do škol;96602
2011;Středočeský kraj;Vyjíždějící do škol v rámci obce;26416
2011;Středočeský kraj;Vyjíždějící do škol mimo obec;70186
2011;Jihočeský kraj;Vyjíždějící celkem;172169
2011;Jihočeský kraj;Vyjíždějící do zaměstnání;122918
2011;Jihočeský kraj;Vyjíždějící do zaměstnání v rámci obce;48181
2011;Jihočeský kraj;Vyjíždějící do zaměstnání do jiné obce okresu;48648
2011;Jihočeský kraj;Vyjíždějící do zaměstnání do jiného okresu kraje;13561
2011;Jihočeský kraj;Vyjíždějící do zaměstnání do jiného kraje;8829
2011;Jihočeský kraj;Vyjíždějící do zaměstnání do zahraničí;3699
2011;Jihočeský kraj;Vyjíždějící do škol;49251
2011;Jihočeský kraj;Vyjíždějící do škol v rámci obce;17074
2011;Jihočeský kraj;Vyjíždějící do škol mimo obec;32177
2011;Plzeňský kraj;Vyjíždějící celkem;157987
2011;Plzeňský kraj;Vyjíždějící do zaměstnání;116786
2011;Plzeňský kraj;Vyjíždějící do zaměstnání v rámci obce;47851
2011;Plzeňský kraj;Vyjíždějící do zaměstnání do jiné obce okresu;30368
2011;Plzeňský kraj;Vyjíždějící do zaměstnání do jiného okresu kraje;27693
2011;Plzeňský kraj;Vyjíždějící do zaměstnání do jiného kraje;7691
2011;Plzeňský kraj;Vyjíždějící do zaměstnání do zahraničí;3183
2011;Plzeňský kraj;Vyjíždějící do škol;41201
2011;Plzeňský kraj;Vyjíždějící do škol v rámci obce;17441
2011;Plzeňský kraj;Vyjíždějící do škol mimo obec;23760
2011;Karlovarský kraj;Vyjíždějící celkem;64822
2011;Karlovarský kraj;Vyjíždějící do zaměstnání;47793
2011;Karlovarský kraj;Vyjíždějící do zaměstnání v rámci obce;18276
