Území,Ukazatel,Kategorie ubytovacího zařízení,Roky,value
Česko,Počet lůžek v hromadných ubytovacích zařízeních,HUZ celkem,2012,560401
Česko,Počet lůžek v hromadných ubytovacích zařízeních,HUZ celkem,2013,554523
Česko,Počet lůžek v hromadných ubytovacích zařízeních,HUZ celkem,2014,519909
Česko,Počet lůžek v hromadných ubytovacích zařízeních,HUZ celkem,2015,529250
Česko,Počet lůžek v hromadných ubytovacích zařízeních,HUZ celkem,2016,533507
Česko,Počet lůžek v hromadných ubytovacích zařízeních,HUZ celkem,2017,526788
Česko,Počet lůžek v hromadných ubytovacích zařízeních,HUZ celkem,2018,537603
Česko,Počet lůžek v hromadných ubytovacích zařízeních,HUZ celkem,2019,539685
Česko,Počet lůžek v hromadných ubytovacích zařízeních,HUZ celkem,2020,592314
Česko,Počet lůžek v hromadných ubytovacích zařízeních,HUZ celkem,2021,586061
Česko,Počet lůžek v hromadných ubytovacích zařízeních,HUZ celkem,2022,586836
Česko,Počet lůžek v hromadných ubytovacích zařízeních,HUZ celkem,2023,567195
Česko,Počet lůžek v hromadných ubytovacích zařízeních,HUZ celkem,2024,559870
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel *****,2012,12431
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel *****,2013,12417
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel *****,2014,12661
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel *****,2015,12561
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel *****,2016,13146
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel *****,2017,13579
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel *****,2018,14188
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel *****,2019,14701
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel *****,2020,15669
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel *****,2021,15486
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel *****,2022,16502
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel *****,2023,16610
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel *****,2024,17298
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ****",2012,68575
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ****",2013,70557
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ****",2014,71970
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ****",2015,75921
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ****",2016,78054
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ****",2017,80221
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ****",2018,83498
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ****",2019,85173
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ****",2020,95695
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ****",2021,94144
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ****",2022,99630
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ****",2023,97764
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ****",2024,100008
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ***",2012,105848
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ***",2013,105186
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ***",2014,102581
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ***",2015,103466
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ***",2016,103868
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ***",2017,103160
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ***",2018,106281
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ***",2019,105989
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ***",2020,116109
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ***",2021,113940
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ***",2022,114995
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ***",2023,109195
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel ***",2024,106874
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel **",2012,15526
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel **",2013,14996
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel **",2014,14178
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel **",2015,14530
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel **",2016,13852
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel **",2017,12797
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel **",2018,11827
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel **",2019,11220
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel **",2020,14118
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel **",2021,13884
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel **",2022,14905
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel **",2023,13457
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel **",2024,12400
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel *",2012,9732
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel *",2013,9314
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel *",2014,8555
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel *",2015,8693
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel *",2016,8075
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel *",2017,7124
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel *",2018,6374
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel *",2019,5872
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel *",2020,6065
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel *",2021,6016
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel *",2022,5776
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel *",2023,5079
Česko,Počet lůžek v hromadných ubytovacích zařízeních,"Hotel, motel, botel *",2024,4916
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel garni,2012,7108
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel garni,2013,7353
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel garni,2014,6983
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel garni,2015,7417
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel garni,2016,6836
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel garni,2017,6956
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel garni,2018,6968
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel garni,2019,6787
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel garni,2020,11273
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel garni,2021,8349
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel garni,2022,8193
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel garni,2023,7815
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Hotel garni,2024,7659
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Penzion,2012,100472
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Penzion,2013,98052
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Penzion,2014,89502
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Penzion,2015,91622
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Penzion,2016,93925
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Penzion,2017,93524
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Penzion,2018,98436
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Penzion,2019,98759
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Penzion,2020,127608
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Penzion,2021,130583
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Penzion,2022,127487
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Penzion,2023,121476
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Penzion,2024,117455
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Kemp,2012,31208
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Kemp,2013,31472
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Kemp,2014,31917
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Kemp,2015,32406
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Kemp,2016,33042
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Kemp,2017,33473
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Kemp,2018,34509
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Kemp,2019,34279
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Kemp,2020,36073
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Kemp,2021,36622
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Kemp,2022,36771
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Kemp,2023,36139
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Kemp,2024,36197
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Chatová osada,2012,30899
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Chatová osada,2013,30487
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Chatová osada,2014,29948
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Chatová osada,2015,28796
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Chatová osada,2016,28976
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Chatová osada,2017,27342
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Chatová osada,2018,28216
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Chatová osada,2019,28908
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Chatová osada,2020,27299
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Chatová osada,2021,27158
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Chatová osada,2022,26313
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Chatová osada,2023,24893
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Chatová osada,2024,24464
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Turistická ubytovna,2012,38770
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Turistická ubytovna,2013,39636
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Turistická ubytovna,2014,32736
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Turistická ubytovna,2015,34314
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Turistická ubytovna,2016,34926
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Turistická ubytovna,2017,34063
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Turistická ubytovna,2018,33195
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Turistická ubytovna,2019,33226
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Turistická ubytovna,2020,39009
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Turistická ubytovna,2021,38043
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Turistická ubytovna,2022,37340
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Turistická ubytovna,2023,34521
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Turistická ubytovna,2024,34446
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Ostatní HUZ,2012,139832
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Ostatní HUZ,2013,135053
