Ukazatel,Rok sčítání,Území,Hlavní dopravní prostředek,value
Vyjíždějící do zaměstnání,2021,Česká republika,Vyjíždějící celkem,3642644
Vyjíždějící do zaměstnání,2021,Česká republika,Automobil-řidič,1874806
Vyjíždějící do zaměstnání,2021,Česká republika,Automobil-spolucestující,182918
Vyjíždějící do zaměstnání,2021,Česká republika,Městská hromadná doprava (MHD),530890
Vyjíždějící do zaměstnání,2021,Česká republika,Autobus (kromě MHD),199755
Vyjíždějící do zaměstnání,2021,Česká republika,Vlak,116155
Vyjíždějící do zaměstnání,2021,Česká republika,Motocykl,8415
Vyjíždějící do zaměstnání,2021,Česká republika,Jízdní kolo,133629
Vyjíždějící do zaměstnání,2021,Česká republika,Jiný dopravní prostředek,15459
Vyjíždějící do zaměstnání,2021,Česká republika,Žádný dopravní prostředek (pouze pěšky),356109
Vyjíždějící do zaměstnání,2021,Česká republika,Nezjištěno,224508
Vyjíždějící do zaměstnání,2021,Hlavní město Praha,Vyjíždějící celkem,496421
Vyjíždějící do zaměstnání,2021,Hlavní město Praha,Automobil-řidič,136938
Vyjíždějící do zaměstnání,2021,Hlavní město Praha,Automobil-spolucestující,9075
Vyjíždějící do zaměstnání,2021,Hlavní město Praha,Městská hromadná doprava (MHD),253765
Vyjíždějící do zaměstnání,2021,Hlavní město Praha,Autobus (kromě MHD),5537
Vyjíždějící do zaměstnání,2021,Hlavní město Praha,Vlak,5449
Vyjíždějící do zaměstnání,2021,Hlavní město Praha,Motocykl,1448
Vyjíždějící do zaměstnání,2021,Hlavní město Praha,Jízdní kolo,7017
Vyjíždějící do zaměstnání,2021,Hlavní město Praha,Jiný dopravní prostředek,2166
Vyjíždějící do zaměstnání,2021,Hlavní město Praha,Žádný dopravní prostředek (pouze pěšky),34511
Vyjíždějící do zaměstnání,2021,Hlavní město Praha,Nezjištěno,40515
Vyjíždějící do zaměstnání,2021,Středočeský kraj,Vyjíždějící celkem,505933
Vyjíždějící do zaměstnání,2021,Středočeský kraj,Automobil-řidič,297586
Vyjíždějící do zaměstnání,2021,Středočeský kraj,Automobil-spolucestující,24514
Vyjíždějící do zaměstnání,2021,Středočeský kraj,Městská hromadná doprava (MHD),32942
Vyjíždějící do zaměstnání,2021,Středočeský kraj,Autobus (kromě MHD),32897
Vyjíždějící do zaměstnání,2021,Středočeský kraj,Vlak,32451
Vyjíždějící do zaměstnání,2021,Středočeský kraj,Motocykl,1269
Vyjíždějící do zaměstnání,2021,Středočeský kraj,Jízdní kolo,12585
Vyjíždějící do zaměstnání,2021,Středočeský kraj,Jiný dopravní prostředek,2076
Vyjíždějící do zaměstnání,2021,Středočeský kraj,Žádný dopravní prostředek (pouze pěšky),38596
Vyjíždějící do zaměstnání,2021,Středočeský kraj,Nezjištěno,31017
Vyjíždějící do zaměstnání,2021,Jihočeský kraj,Vyjíždějící celkem,208298
Vyjíždějící do zaměstnání,2021,Jihočeský kraj,Automobil-řidič,122147
Vyjíždějící do zaměstnání,2021,Jihočeský kraj,Automobil-spolucestující,10671
Vyjíždějící do zaměstnání,2021,Jihočeský kraj,Městská hromadná doprava (MHD),12686
Vyjíždějící do zaměstnání,2021,Jihočeský kraj,Autobus (kromě MHD),10929
Vyjíždějící do zaměstnání,2021,Jihočeský kraj,Vlak,3719
Vyjíždějící do zaměstnání,2021,Jihočeský kraj,Motocykl,534
Vyjíždějící do zaměstnání,2021,Jihočeský kraj,Jízdní kolo,10554
Vyjíždějící do zaměstnání,2021,Jihočeský kraj,Jiný dopravní prostředek,946
Vyjíždějící do zaměstnání,2021,Jihočeský kraj,Žádný dopravní prostředek (pouze pěšky),23523
Vyjíždějící do zaměstnání,2021,Jihočeský kraj,Nezjištěno,12589
Vyjíždějící do zaměstnání,2021,Plzeňský kraj,Vyjíždějící celkem,208122
Vyjíždějící do zaměstnání,2021,Plzeňský kraj,Automobil-řidič,122977
Vyjíždějící do zaměstnání,2021,Plzeňský kraj,Automobil-spolucestující,10916
Vyjíždějící do zaměstnání,2021,Plzeňský kraj,Městská hromadná doprava (MHD),20727
Vyjíždějící do zaměstnání,2021,Plzeňský kraj,Autobus (kromě MHD),9557
Vyjíždějící do zaměstnání,2021,Plzeňský kraj,Vlak,5470
Vyjíždějící do zaměstnání,2021,Plzeňský kraj,Motocykl,342
