Kategorie;Čtvrtletí;Oblasti destinačního managementu nečleněné;Ukazatel;Rezidence;value
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Praha;Počet hostů;Celkem;2162608.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Praha;Počet hostů;Rezidenti;433924.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Praha;Počet hostů;Nerezidenti;1728684.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Praha;Počet přenocování;Celkem;4888288.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Praha;Počet přenocování;Rezidenti;697764.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Praha;Počet přenocování;Nerezidenti;4190524.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Praha;Průměrný počet přenocování ;Celkem;2.2603671123
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Praha;Průměrný počet přenocování ;Rezidenti;1.6080327431
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Praha;Průměrný počet přenocování ;Nerezidenti;2.4241122148
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Berounsko;Počet hostů;Celkem;17127.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Berounsko;Počet hostů;Rezidenti;11763.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Berounsko;Počet hostů;Nerezidenti;5364.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Berounsko;Počet přenocování;Celkem;32012.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Berounsko;Počet přenocování;Rezidenti;20491.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Berounsko;Počet přenocování;Nerezidenti;11521.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Berounsko;Průměrný počet přenocování ;Celkem;1.8690955801
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Berounsko;Průměrný počet přenocování ;Rezidenti;1.7419875882
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Berounsko;Průměrný počet přenocování ;Nerezidenti;2.1478374348
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brdy a Podbrdsko;Počet hostů;Celkem;30880.0
